Title,Artist,Year
A Trick Of The Tail,Genesis,1976
Achilles Last Stand,Led Zeppelin,1976
Afternoon Delight,Starland Vocal Band,1976
Ain't That A Bitch,"Johnny ""Guitar"" Watson",1976
All I Wanna Do In Life,Marianne Faithfull,1976
All You Wanna Do Is Dance,Billy Joel,1976
All-American Alien Boy,Ian Hunter,1976
Amelia,Joni Mitchell,1976
American Girl,Tom Petty & The Heartbreakers,1976
Another Star,Stevie Wonder,1976
Any Other Woman,Greg Kihn,1976
Anything That's Rock 'N' Roll,Tom Petty & The Heartbreakers,1976
Art For Art's Sake,10cc,1976
As,Stevie Wonder,1976
Ask The Angels,Patti Smith,1976
Astral Plane,The Modern Lovers,1976
"Baby, I Need Your Loving",The Heptones,1976
Back In The Saddle,Aerosmith,1976
Back To Schooldays,Graham Parker & The Rumor,1976
Backs Turned Looking Down The Path,Warren Zevon,1976
Bad Liver And A Broken Heart (In Lowell),Tom Waits,1976
Beat On The Brat,The Ramones,1976
Beth,Kiss,1976
Black Crow,Joni Mitchell,1976
Black Market,Weather Report,1976
Blinded By The Light,Manfred Mann,1976
Blitzkrieg Bop,The Ramones,1976
Blue Motel Room,Joni Mitchell,1976
Boogie Nights,Heatwave,1976
Book Of Rules,The Heptones,1976
Breakdown,Tom Petty & The Heartbreakers,1976
Breezin',George Benson,1976
Burial,Peter Tosh,1976
Calling Occupants Of Interplanetary Craft,Klaatu,1976
Can't Stop My Love,Andy Pratt,1976
Car Wash,Rose Royce,1976
Carmelita,Warren Zevon,1976
Carnival,Eric Clapton,1976
Carolina In My Mind,James Taylor,1976
Carry On Wayward Son,Kansas,1976
Chain Saw,The Ramones,1976
Chase The Devil,Max Romeo,1976
Cherry Bomb,The Runaways,1976
Cherry Oh Baby,The Rolling Stones,1976
Cherry Oh Baby,The Rolling Stones,1976
Cocaine,J. J. Cale,1976
Come Dancing,Jeff Beck,1976
"Come On, Come Over",Jaco Pastorius,1976
Come Together,Brothers Johnson,1976
Confusion,Stevie Wonder,1976
Couldn't Get It Right,Climax Blues Band,1976
Cowboy Song,Thin Lizzy,1976
Coyote,Joni Mitchell,1976
Crackerbox Palace,George Harrison,1976
Crazy Baldhead,Bob Marley & The Wailers,1976
Crazy Mama,The Rolling Stones,1976
Crazy On You,Heart,1976
Cry For The Bad Man,Lynyrd Skynyrd,1976
Cry Tough,Nils Lofgren,1976
Da Do Ron Ron,Shaun Cassidy,1976
Dance On A Volcano,Genesis,1976
Dance Sister Dance,Santana,1976
Dancing Queen,Abba,1976
"Darlin' Darlin' Baby (Sweet, Tender, Love)",The O'Jays,1976
Dazz,Brick,1976
Dead End Justice,The Runaways,1976
Desperados Under The Eaves,Warren Zevon,1976
Detroit Rock City,Kiss,1976
Dirty Deeds Done Dirt Cheap,AC/DC,1976
Disco Boy,Frank Zappa,1976
Disco Lady,Johnnie Taylor,1976
Do That Stuff,Parliament,1976
Do Ya,Electric Light Orchestra,1976
Do You Feel Like We Do,Peter Frampton,1976
Do You Love Me?,Kiss,1976
Don't Ask Me Questions,Graham Parker,1976
Don't Give Up On Us,David Soul,1976
Don't Leave Me This Way,Thelma Houston,1976
Don't Let Me Be Lonely Tonight,James Taylor,1976
Don't Take Me Alive,Steely Dan,1976
Double Trouble,Lynyrd Skynyrd,1976
Drivin' Wheel,Foghat,1976
E.T.I. (Extra Terrestrial Intelligence),Blue Oyster Cult,1976
Eggplant,Michael Franks,1976
El Diablo,ZZ Top,1976
Eleventh Earl Of Mar,Genesis,1976
Enjoy Yourself,The Jacksons,1976
Evergreen (Love Theme from A Star Is Born),Barbra Streisand,1976
Everybody Loves The Sunshine,Roy Ayers,1976
Flaming Youth,Kiss,1976
