Title,Artist,Letter
A Calling-On Song,Steeleye Span,A
A Case Of You,Joni Mitchell,A
A Clue,Boz Scaggs,A
A Dream Goes On Forever,Todd Rundgren,A
A Gift,Lou Reed,A
A Good Feelin' To Know,Poco,A
A Little Less Conversation,Mac Davis,A
A Man Needs A Maid,Neil Young,A
A Natural Man,Lou Rawls,A
A New Career In A New Town,David Bowie,A
A Place In The Sun,Pablo Cruise,A
A Real Mother For Ya,"Johnny ""Guitar"" Watson",A
A Remark You Made,Weather Report,A
A Sailor's Life,Fairport Convention,A
A Salty Dog,Procol Harum,A
A Simple Twist Of Fate,Joan Baez,A
A Song For Richard And His Friends,Chicago,A
A Song For You,Donny Hathaway,A
A Song For You,Leon Russell,A
A Trick Of The Tail,Genesis,A
A Wonderfull Day In A One-Way World,Peter Gabriel,A
Abandoned Luncheonette,Hall & Oates,A
ABC,Jackson 5,A
Abracadabra (Have You Seen Her?),Blue Ash,A
Acadian Driftwood,The Band,A
Accidently Like A Martyr,Warren Zevon,A
Accidents Will Happen,Elvis Costello,A
Ace Of Spades,Motorhead,A
Ace Of Spades,O.V. Wright,A
Ace Supreme,Silverhead,A
Achilles Last Stand,Led Zeppelin,A
Across 110th Street,Bobby Womack,A
Across The Universe,David Bowie,A
Across The Universe,The Beatles,A
Adam Raised A Cain,Bruce Springsteen,A
Africa,The Meters,A
Africa Talks To You (The Asphalt Jungle),Sly & The Family Stone,A
Afro Strut,Nite-Liters,A
After Forever,Black Sabbath,A
After Last Night,The A's,A
After Midnight,Eric Clapton,A
After Midnight,J. J. Cale,A
After The Goldrush,Neil Young,A
After The Love Has Gone,Earth Wind & Fire,A
Afternoon Delight,Starland Vocal Band,A
Ain't Gonna Hurt Nobody,Brick,A
Ain't Gwine Whistle Dixie,Taj Mahal,A
Ain't It Funky Now,Grant Green,A
Ain't No Love In The Heart Of The City,"Bobby ""Blue"" Bland",A
Ain't No Mountain High Enough,Diana Ross,A
Ain't No Stoppin' Us Now,McFadden & Whitehead,A
Ain't No Sunshine,Bill Withers,A
Ain't No Woman (Like The One I've Got),Four Tops,A
Ain't Nobody,Rufus,A
Ain't Nothin' But A Houseparty,The J. Geils Band,A
Ain't Nothin' To Do,Dead Boys,A
Ain't Talkin' 'bout Love,Van Halen,A
Ain't That A Bitch,"Johnny ""Guitar"" Watson",A
Ain't That Loving You,Isaac Hayes,A
Ain't Too Proud To Beg,The Rolling Stones,A
Ain't Understanding Mellow,Jerry Butler,A
Ain't Wastin' Time No More,The Allman Brothers,A
Ain't We Funkin' Now,Brothers Johnson,A
Airlane,Gary Numan,A
Airport,The Motors,A
Aja,Steely Dan,A
Alabama,Neil Young,A
Aladdin Sane,David Bowie,A
Albuquerque,Neil Young,A
Alien,20/20,A
Alison,Elvis Costello,A
Alison Gross,Steeleye Span,A
All Along The Watchtower,Bob Dylan And The Band,A
All Around The World,The Jam,A
All At Sea,Budgie,A
All Day Music,War,A
All Down The Line,The Rolling Stones,A
All For The Love Of Rock & Roll,Tuff Darts,A
All I Know,Art Garfunkel,A
All I Wanna Do In Life,Marianne Faithfull,A
All I Want,Joni Mitchell,A
All In Your Mind,Stray,A
All Mixed Up,The Cars,A
All My Life,Uriah Heep,A
All My Love,Led Zeppelin,A
All Reved Up With No Place To Go,Meatloaf,A
All Right Now,Free,A
All That You Dream,Little Feat,A
