Title,Artist,Letter
B.A.B.Y.,Rachel Sweet,B
Baba O'Riley,The Who,B
Babe,Styx,B
Baby Blue,Badfinger,B
Baby Boomerang,T Rex,B
Baby Come Back,Player,B
Baby Don't Get Hooked On Me,Mac Davis,B
Baby Don't You Know,Wild Cherry,B
Baby Hold On,Eddie Money,B
Baby I Love You,Dave Edmunds,B
Baby I'm A-Want You,Bread,B
Baby Lemonade,Syd Barrett,B
Baby Let's Swing/The Last Thing You Said/Don't Tie My Hands,Todd Rundgren,B
Baby Stop Crying,Bob Dylan,B
"Baby, I Need Your Loving",The Heptones,B
Baby's A Rock N' Roller,Tom Petty & The Heartbreakers,B
Babylon,New York Dolls,B
Back In '72,Bob Seger,B
Back In Love Again,L.T.D.,B
Back In N.Y.C.,Genesis,B
Back In Our Minds,Funkadelic,B
Back In The Saddle,Aerosmith,B
Back In The USA,MC5,B
Back It Up,Nils Lofgren,B
Back Of A Car,Big Star,B
Back Of My Hand,The Jags,B
Back Off Boogaloo,Ringo Starr,B
Back Stabbers,The O'Jays,B
Back Street Luv,Curved Air,B
Back To Schooldays,Graham Parker & The Rumor,B
Back To The Island,Leon Russell,B
Backs Turned Looking Down The Path,Warren Zevon,B
Backstreets,Bruce Springsteen,B
Bad 'N' Ruin,Faces,B
Bad Blood,Neil Sedaka,B
Bad Case of Loving You,Moon Martin,B
Bad Company,Bad Company,B
Bad Company,Bad Company,B
Bad Girls,Donna Summer,B
Bad Liver And A Broken Heart (In Lowell),Tom Waits,B
Bad Luck,Harold Melvin & The Bluenotes,B
Bad Motor Scooter,Montrose,B
Bad Penny,Rory Gallagher,B
Bad Sneakers,Steely Dan,B
Bad Time,Grand Funk Railroad,B
"Bad, Bad Leroy Brown",Jim Croce,B
Badlands,Bruce Springsteen,B
Baker Street,Gerry Rafferty,B
Ball Of Confusion,The Temptations,B
Ballad Of A Well-Known Gun,Elton John,B
Ballad Of El Goodo,Big Star,B
Ballrooms Of Mars,T Rex,B
Baltimore,Randy Newman,B
Banapple Gas,Cat Stevens,B
Band Of Gold,Freda Payne,B
Band On The Run,Paul McCartney & Wings,B
Bang A Gong (Get It On),T Rex,B
Barbecutie,Sparks,B
Bare Trees,Fleetwood Mac,B
Bargain,The Who,B
Barracuda,Heart,B
Barrytown,Steely Dan,B
Basketball Jones,Cheech & Chong,B
Bastard,Ian Hunter,B
Bastille Day,Rush,B
