Title,Artist,Letter
Ca Plane Pour Moi,Plastic Bertrand,C
Cadillac Walk,Mink DeVille,C
Cakewalk Into Town,Taj Mahal,C
Caldonia,B. B. King,C
Caledonia Mission,The Band,C
California,Joni Mitchell,C
California,The Beach Boys,C
California Blues,Dickey Betts & Great Southern,C
California Man,Cheap Trick,C
California Sun,The Ramones,C
California Uber Alles,Dead Kennedys,C
Call Me,Aretha Franklin,C
Call Me (Come Back Home),Al Green,C
Call Me Back Again,Wings,C
Call Me the Breeze,J. J. Cale,C
Call Me the Breeze,Lynyrd Skynyrd,C
Call Me Up In Dreamland,Van Morrison,C
Call On Me,Chicago,C
Calling Occupants Of Interplanetary Craft,Klaatu,C
Calypso,John Denver,C
Camarillo Brillo,Frank Zappa,C
Camellia,Hall & Oates,C
Campaigner,Neil Young,C
Can I Put You On,Elton John,C
Can We Still Be Friends,Todd Rundgren,C
Can You Get to That,Funkadelic,C
Can You Understand,Renaissance,C
Can't Be Satisfied,"Muddy Waters, Johnny Winter & James Cotton",C
Can't Get It Out Of My Head,Electric Light Orchestra,C
Can't Go Halfway,Harmonettes,C
Can't Hide Love,Earth Wind & Fire,C
Can't Keep It In,Cat Stevens,C
Can't Lose What You Never Had,The Allman Brothers,C
Can't Say Nothin',Curtis Mayfield,C
Can't Stand Losing You,The Police,C
Can't Stop My Love,Andy Pratt,C
Can't You Hear Me Knockin',The Rolling Stones,C
Can't You See,Marshall Tucker Band,C
Candle In The Wind,Elton John,C
Candy's Room,Bruce Springsteen,C
Candyman,Grateful Dead,C
Canned Music,Dan Hicks & The Hot Licks,C
Captain Fantastic And The Brown Dirt Cowboy,Elton John,C
Captain Jack,Billy Joel,C
Car On A Hill,Joni Mitchell,C
Car Wash,Rose Royce,C
Caravan,The Band,C
Caravan,Van Morrison,C
Career Opportunites,The Clash,C
Careering,Public Image Ltd.,C
Carefree Highway,Gordon Lightfoot,C
Carey,Joni Mitchell,C
Carmelita,Warren Zevon,C
Carnival,Eric Clapton,C
Carol,The Rolling Stones,C
Carolina In My Mind,James Taylor,C
Caroline,Jefferson Starship,C
Carouselambra,Led Zeppelin,C
Carpet Of The Sun,Renaissance,C
Carry Me,Crosby & Nash,C
Carry On,Crosby Stills Nash & Young,C
