Title,Artist,Letter
D.I.Y.,Peter Gabriel,D
D.O.A.,Bloodrock,D
D'yer Mak'er,Led Zeppelin,D
Da Do Ron Ron,Dave Edmunds,D
Da Do Ron Ron,Shaun Cassidy,D
Daisy Jane,America,D
Damaged Goods,Gang Of Four,D
Dance Away,Roxy Music,D
Dance Little Sister,The Rolling Stones,D
Dance On A Volcano,Genesis,D
Dance Sister Dance,Santana,D
Dance This Mess Around,B-52's,D
Dance With Me,Orleans,D
Dancin' Fool,Frank Zappa,D
Dancin' In The Streets,Grateful Dead,D
Dancing Barefoot,Patti Smith,D
Dancing Days,Led Zeppelin,D
Dancing In The Moonlight,King Harvest,D
Dancing In The Moonlight,Thin Lizzy,D
Dancing Machine,Jackson 5,D
Dancing Madly Backwards,Captain Beyond,D
Dancing Queen,Abba,D
Dancing With Mr. D,The Rolling Stones,D
Dancing With The Moonlight Knight,Genesis,D
Danger Man,David Bromberg,D
Dangerous Type,The Cars,D
Daniel,Elton John,D
Danny's All-Star Joint,Rickie Lee Jones,D
Dark Eyed Cajun Woman,The Doobie Brothers,D
Dark Horse,George Harrison,D
Dark Lady,Cher,D
Dark Star,Crosby Stills & Nash,D
Darkness On The Edge Of Town,Bruce Springsteen,D
"Darlin' Darlin' Baby (Sweet, Tender, Love)",The O'Jays,D
Dave,Cheech & Chong,D
David Watts,The Jam,D
Day After Day,Badfinger,D
Day By Day,Godspell Cast,D
Day Dreaming,Aretha Franklin,D
Day Of The Eagle,Robin Trower,D
Day Or Night,Little Feat,D
Dayride,Return To Forever,D
Days,Television,D
Dazz,Brick,D
Deacon Blues,Steely Dan,D
Dead End Justice,The Runaways,D
Dead Flowers,The Rolling Stones,D
Dead Skunk,Loudon Wainwright III,D
Deal,Jerry Garcia,D
Deal With The Preacher,Bad Company,D
Dealer,Deep Purple,D
Dealer,John Martyn,D
Dean,Terry Reid,D
Dear Abby,John Prine,D
Death Disco,Public Image Ltd.,D
Death May Be Your Santa Claus,Mott The Hoople,D
Death or Glory,The Clash,D
"December, 1963 (Oh What A Night)",The Four Seasons,D
Dedication,Pat Travers,D
Deep Down In Florida,Muddy Waters,D
Deja Vu,Crosby Stills Nash & Young,D
Delta Dawn,Helen Reddy,D
Delta Lady,Leon Russell,D
Denis,Blondie,D
Dependin' On You,The Doobie Brothers,D
Desperado,The Eagles,D
Desperados Under The Eaves,Warren Zevon,D
Desperados Waiting For The Train,Jerry Jeff Walker,D
Deteriorata,National Lampoon,D
