Title,Artist,Letter
Face The Fire,Dan Fogelberg,F
Factory,Bruce Springsteen,F
Fade Away And Radiate,Blondie,F
Fairies Wear Boots,Black Sabbath,F
Fairytale In The Supermarket,The Raincoats,F
Fall In Philadelphia,Hall & Oates,F
Fallen Eagle,Stephen Stills,F
Fallin' In Love,"Hamilton, Joe Frank & Reynolds",F
Fallin' In Love,The Souther-Hillman-Furay Band,F
Fallin' Rain,Link Wray,F
Fame,David Bowie,F
Family Affair,Sly & The Family Stone,F
Famous Blue Raincoat,Leonard Cohen,F
Fan Club,The Damned,F
Fantastic Man,William Onyeabor,F
Fantasy Satisfier,Spooky Tooth,F
Far Away Eyes,The Rolling Stones,F
Far East Man,George Harrison,F
Fascination,David Bowie,F
Fast Buck Freddie,Jefferson Starship,F
Fat Man In The Bathtub,Little Feat,F
Father & Son,Cat Stevens,F
Father To Son,Queen,F
Fear Is A Man's Best Friend,John Cale,F
Fearless,Pink Floyd,F
Feats Don't Fail Me Now,Little Feat,F
Feel,Big Star,F
Feel Flows,The Beach Boys,F
Feel Like A Number,Bob Seger & The Silver Bullet Band,F
Feel Like Makin' Love,Roberta Flack,F
Feelin' Alright,Joe Cocker,F
Feelin' Alright With The Crew,Nine Nine Nine,F
Feeling That Way,Journey,F
Feelings,Morris Albert,F
Feels So Good,Chuck Mangione,F
Fencewalk,Mandrill,F
Ffun,Con Funk Shun,F
Fight From The Inside,Queen,F
Fight The Power (Parts 1 & 2),The Isley Brothers,F
Find The Cost of Freedom,Crosby Stills Nash & Young,F
Fingerprint File,The Rolling Stones,F
Fins,Jimmy Buffett,F
Fire,Ohio Players,F
Fire,The Pointer Sisters,F
Fire And Rain,James Taylor,F
Fire And Water,Free,F
Fire Eater,Three Dog Night,F
Fire In The Hole,Steely Dan,F
Fire On High,Electric Light Orchestra,F
Fire On The Mountain,Grateful Dead,F
First I Look At The Purse,The J. Geils Band,F
Firth of Fifth,Genesis,F
Fish,The Damned,F
Fish And Whistle,John Prine,F
Fisherman,The Congos,F
Five Years,David Bowie,F
Flaming Youth,Kiss,F
Flashlight,Parliament,F
Flat-Foot Flewzy,NRBQ,F
Flight Time,Donald Byrd,F
Flow Motion,Can,F
Fly By Night,Rush,F
Fly Like An Eagle,Steve Miller,F
Fly Robin Fly,Silver Convention,F
Flyin' High (In The Friendly Sky),Marvin Gaye,F
Flyin' Shoes,Townes Van Zandt,F
Flying,Strawbs,F
Flying Saucer Blues,Joy Of Cooking,F
Flying Turkey Trot,REO Speedwagon,F
FM,Steely Dan,F
Follow You Follow Me,Genesis,F
Fool For The City,Foghat,F
Fool In The Rain,Led Zeppelin,F
Fool To Cry,The Rolling Stones,F
Fool's Gold,Graham Parker,F
Fooled Again (I Don't Like It),Tom Petty & The Heartbreakers,F
Fooled Around & Fell In Love,Elvin Bishop,F
Fools In Love,Joe Jackson,F
Footstompin' Music,Grand Funk Railroad,F
Fopp,Ohio Players,F
For A Dancer,Jackson Browne,F
For Everyman,Jackson Browne,F
For The Good Times,Kris Kristofferson,F
For The Love Of Money,The O'Jays,F
For The Love Of You,John Holt,F
For The Love Of You,The Isley Brothers,F
For The Roses,Joni Mitchell,F
For The Turnstiles,Neil Young,F
For You,Bruce Springsteen,F
For You,Greg Kihn,F
For You Blue,The Beatles,F
For Your Life,Led Zeppelin,F
Foreplay / Long Time,Boston,F
Forever Young,Bob Dylan,F
Fountain Of Sorrow,Jackson Browne,F
Four Sticks,Led Zeppelin,F
Fourty Days,Billy Brooks,F
Fox Hole,Television,F
Fox On The Run,Sweet,F
Foxy Foxy,Mott The Hoople,F
Frankenstein,Edgar Winter Group,F
Franklin's Tower,Grateful Dead,F
Franz Schubert,Kraftwerk,F
Freddie's Dead,Curtis Mayfield,F
Frederick,Patti Smith,F
Free Bird,Lynyrd Skynyrd,F
Free Four,Pink Floyd,F
Free Man In Paris,Joni Mitchell,F
Free Money,Patti Smith,F
Free Ride,Edgar Winter,F
Free Ride,Nick Drake,F
Freeway Jam,Jeff Beck,F
Frenchette,David Johansen,F
Fresh Air,Quicksilver Messenger Service,F
Friction,Television,F
Friend Of The Devil,Grateful Dead,F
Friends,Led Zeppelin,F
Friends & Strangers,Ronnie Laws,F
Frightened,The Fall,F
From A Whisper To A Scream,Robert Palmer,F
From The Beginning,Emerson Lake & Palmer,F
From The Morning,Nick Drake,F
From The Sun To The World,Electric Light Orchestra,F
Frustrated,The Knack,F
Full Force Gale,Van Morrison,F
Full Moon Turn My Head Around,Off Broadway,F
Full Of Fire,Al Green,F
Fundamentally Yours,Stackridge,F
Funeral For A Friend/Love Lies Bleeding,Elton John,F
Funeral For A Friend/Love Lies Bleeding,Elton John,F
Funk #49,James Gang,F
Funkentelechy,Parliament,F
Funkier Than A Mosquito's Tweeter,Ike & Tina Turner,F
Funky,Chambers Brothers,F
Funky But Chic,David Johansen,F
Funky Drummer,James Brown,F
Funky Kingston,Toots & The Maytals,F
Funky Music (Is A Part Of Me),Luther,F
Funky Music Sho' Nuff Turns Me On,Edwin Starr,F
Funky Nassau,The Beginning Of The End,F
Funky President,James Brown,F
Funky Pretty,The Beach Boys,F
Funky Stuff,Kool & The Gang,F
Funky Worm,Ohio Players,F
Funkytown,"Lipps, Inc.",F
Funny How Love Is,Queen,F
Funtime,Iggy Pop,F
Future Games,Fleetwood Mac,F
Future Shock,Curtis Mayfield,F
Future Shock,The Hello People,F
