Title,Artist,Letter
Gamblin' Man,Bonnie Raitt,G
Games People Play,The Spinners,G
Garden Party,Ricky Nelson,G
Gasoline Alley,Rod Stewart,G
Gator Country,Molly Hatchet,G
Generation Landslide,Alice Cooper,G
Georgia On My Mind,Willie Nelson,G
Georgy Porgy,Toto,G
Get 'em Out By Friday,Genesis,G
Get Back,The Beatles,G
Get Closer,Seals & Crofts,G
Get Down,Curtis Mayfield,G
Get Down,War,G
Get Down And Get With It,Slade,G
Get Down Tonight,KC and the Sunshine Band,G
"Get Down, Get Down",Joe Simon,G
"Get Down, Make Love",Queen,G
"Get Down, Make Love",Queen,G
Get It Right The First Time,Billy Joel,G
Get It While You Can,Janis Joplin,G
"Get Me Back On Time, Engine Number 9",Wilson Pickett,G
Get Off,Foxy,G
Get On The Good Foot,James Brown,G
Get Out Of Denver,Bob Seger,G
Get Out Of My Life Woman,Mighty Diamonds,G
Get Over You,The Undertones,G
Get Ready,Eric Clapton,G
Get Ready For The Get Down,Willie Hutch,G
Get Rhythm,NRBQ,G
Get The Funk Out Ma Face,Brothers Johnson,G
Get Up & Get Down,The Dramatics,G
Get Up I Feel Like Being A Sex Machine,James Brown,G
Get Up Offa That Thing,James Brown,G
"Get Up, Get Into It, And Get Involved",James Brown,G
"Get Up, Stand Up",Bob Marley & The Wailers,G
Get Used To It,Roger Voudouris,G
Getaway,Earth Wind & Fire,G
Gettin' In Tune,The Who,G
Ghost Dance,Patti Smith,G
Ghost Rider,Suicide,G
Ghostwriter,Garland Jeffreys,G
Gimme Back My Bullets,Lynyrd Skynyrd,G
Gimme Danger,Iggy & The Stooges,G
Gimme Dat Ding,The Pipkins,G
Gimme Gimme Shock Treatment,The Ramones,G
Gimme Shelter,Merry Clayton,G
Gimme Some Truth,John Lennon,G
Gimme The Goods,Boz Scaggs,G
Gimme Three Steps,Lynyrd Skynyrd,G
Gimme Your Money Please,Bachman-Turner Overdrive,G
Girl Of My Dreams,Bram Tchaikovsky,G
Girlfriend,The Modern Lovers,G
Girls Don't Like It,The Undertones,G
Girls Don't Like It,The Undertones,G
Girls Talk,Dave Edmunds,G
Give A Little Bit,Supertramp,G
Give It To Me,The J. Geils Band,G
Give It Up,Curtis Mayfield,G
Give It Up Or Let Me Go,Bonnie Raitt,G
Give Me An Inch,Robert Palmer,G
Give Me Just A Little More Time,Chairmen Of The Board,G
Give Me Love,George Harrison,G
Give Me Strength,Eric Clapton,G
Give The People What They Want,The O'Jays,G
Give Up The Funk (Tear The Roof Off The Sucker),Parliament,G
Glad,Traffic,G
Glad All Over,The Rezillos,G
Glad And Sorry,Faces,G
Glad Tidings,Van Morrison,G
Glendale Train,New Riders Of The Purple Sage,G
Gloria,Patti Smith,G
Glory,Television,G
Go All The Way,The Raspberries,G
Go Away Little Girl,Donny Osmond,G
Go Back Home,Stephen Stills,G
Go Your Own Way,Fleetwood Mac,G
God,John Lennon,G
God Gave Rock And Roll To You,Argent,G
God Is Love,Marvin Gaye,G
God Save The Queen,The Sex Pistols,G
Godzilla,Blue Oyster Cult,G
Goin' Back,Nils Lofgren,G
Goin' Down To Laurel,Steve Forbert,G
Goin' To Acapulco,Bob Dylan And The Band,G
Going Down,Freddie King,G
Going Down,Jeff Beck,G
Going For The One,Yes,G
Going Mobile,The Who,G
Going To California,Led Zeppelin,G
Going To The Country,Steve Miller Band,G
"Going, Going, Gone",Bob Dylan,G
Gold,John Stewart,G
Gold Dust Woman,Fleetwood Mac,G
Golden Lady,Stevie Wonder,G
Golden Years,David Bowie,G
Golf Girl,Caravan,G
Gone At Last,Paul Simon,G
Gone Dead Train,Crazy Horse,G
Gone Gone Gone,Bad Company,G
Gonna Change My Way Of Thinking,Bob Dylan,G
Good Company,Queen,G
Good Day In Hell,The Eagles,G
Good Enough,Bonnie Raitt,G
Good Girls Don't,The Knack,G
Good Love,Isaac Hayes,G
Good Lovin',Grateful Dead,G
Good Morning Heartache,Diana Ross,G
Good Morning Little School Girl,Muddy Waters,G
Good News,The American Dream,G
Good Rocking Tonight,Montrose,G
Good Times,Chic,G
Good Times Roll,The Cars,G
Good Vibrations,Todd Rundgren,G
Goodbye Girl,Squeeze,G
Goodbye Pork Pie Hat,Jeff Beck,G
Goodbye Stranger,Supertramp,G
Goodbye To Love,The Carpenters,G
Goodbye Toulouse,The Stranglers,G
Goodbye Yellow Brick Road,Elton John,G
Goon Squad,Elvis Costello,G
Got No Place To Go,John Hartford,G
Got The Love,Average White Band,G
Got The Time,Joe Jackson,G
Got To Get You Into My Life,Earth Wind & Fire,G
Got To Give It Up,Marvin Gaye,G
Gotta Find A Way,Bloodrock,G
Gotta Get Up,Harry Nilsson,G
Gotta Serve Somebody,Bob Dylan,G
Government Center,The Modern Lovers,G
Grandma's Hands,Bill Withers,G
Grandmother's Song,Steve Martin,G
Grease,Frankie Valli,G
Great White Buffalo,Ted Nugent,G
Great White Buffalo,Ted Nugent,G
Greatest Story Ever Told,Bob Weir,G
Green Earrings,Steely Dan,G
Green Grass & High Tides,The Outlaws,G
Green Onions,Roy Buchanan,G
Green Shirt,Elvis Costello,G
Green-Eyed Lady,Sugarloaf,G
Groove Me,King Floyd,G
