Title,Artist,Letter
I Ain't Living Long Like This,Emmylou Harris,I
I Ain't Living Long Like This,Rodney Crowell,I
I Ain't Searchin,The American Dream,I
I Ain't Superstitious,Willie Dixon,I
I Ain't The One,Lynyrd Skynyrd,I
I Am A Poseur,X-Ray Spex,I
I Am The Cosmos,Chris Bell,I
I Am The Fly,Wire,I
I Am Woman,Helen Reddy,I
I Am... I Said,Neil Diamond,I
I Been Hoodood,Dr. John,I
I Believe In Love,Kenny Loggins,I
I Believe In You,Bob Dylan,I
I Believe In You,Neil Young,I
I Came To Dance,Nils Lofgren,I
I Can Feel The Fire,Ron Wood,I
I Can Get Off On You,Waylon Jennings & Willie Nelson,I
I Can Help,Billy Swan,I
I Can See Clearly Now,Johnny Nash,I
I Can't Be Satisfied,Muddy Waters,I
I Can't Get Next To You,Al Green,I
I Can't Hold Out,Eric Clapton,I
I Can't See My Feelings,Budgie,I
I Can't Stand It No More,Peter Frampton,I
I Can't Stand The Rain,Ann Peebles,I
I Can't Tell You Why,The Eagles,I
I Can't Wait To Get Off Work,Tom Waits,I
I Can't Write Left-Handed,Bill Withers,I
I Dig Love,George Harrison,I
I Do It For Your Love,Paul Simon,I
I Do The Rock,Tim Curry,I
I Don't Know You,New Riders Of The Purple Sage,I
I Don't Like Mondays,The Boomtown Rats,I
I Don't Love You Anymore,Teddy Pendergrass,I
I Don't Need No Doctor,Humble Pie,I
I Don't Wanna Go Down To The Basement,The Ramones,I
I Don't Wanna Walk Around With You,The Ramones,I
I Don't Want It,Montrose,I
I Don't Want Nobody,Randy California,I
I Don't Want To Go Home,Southside Johnny & The Asbury Jukes,I
I Don't Want To Know,Fleetwood Mac,I
I Don't Want To Talk About It,Crazy Horse,I
I Feel A Song (In My Heart),Gladys Knight & the Pips,I
I Feel Good,Al Green,I
I Feel Love,Donna Summer,I
I Feel The Earth Move,Carole King,I
I Fought The Law,The Clash,I
I Found That Essence Rare,Gang Of Four,I
I Get Lifted,George McCrae,I
I Give You Give Blind,Crosby Stills & Nash,I
I Go To Rio,Pablo Cruise,I
I Got A Rocket In My Pocket,NRBQ,I
I Got The News,Steely Dan,I
I Gotcha,Joe Tex,I
I Had A Talk With My Woman,Tim Buckley,I
I Hear You Knockin',Dave Edmunds,I
I Heard It Through The Grapevine,Creedence Clearwater Revival,I
I Heard It Through The Grapevine,The Slits,I
I Honestly Love You,Olivia Newton-John,I
I Hope That I Don't Fall In Love With You,Tom Waits,I
I Just Can't Be Happy Today,The Damned,I
I Just Want To Be,Cameo,I
I Just Want To Be Your Everything,Andy Gibb,I
I Just Want To Celebrate,Rare Earth,I
I Just Want To Have Something To Do,The Ramones,I
I Just Want To See His Face,The Rolling Stones,I
I Knew The Bride (When She Used To Rock & Roll),Dave Edmunds,I
I Know,Bonnie Raitt,I
I Know (I Know),John Lennon,I
I Know A Little,Lynyrd Skynyrd,I
I Know But I Don't Know,Blondie,I
I Know What I Like,Genesis,I
I Know What I Like,Genesis,I
I Like It Like That,Brinsley Schwarz,I
I Like to Rock,April Wine,I
I Looked Away,Derek & The Dominos,I
I Love Her More Than You'll Ever Know,Donny Hathaway,I
I Love Music,The O'Jays,I
I Love Rock & Roll,The Arrows,I
I Love The Dead,Alice Cooper,I
I Me Mine,The Beatles,I
I Need A Million,The Laughing Dogs,I
I Need A Miracle,Grateful Dead,I
I Need Somebody,Iggy & The Stooges,I
I Need To Know,Tom Petty & The Heartbreakers,I
I Need You (For Someone),The Jam,I
I Read It In The Rolling Stone,CHIP TAYLOR,I
I Remember You,The Ramones,I
I Robot,The Alan Parsons Project,I
I Robot,The Alan Parsons Project,I
I Saw the Light,Todd Rundgren,I
I Scare Myself,Dan Hicks & The Hot Licks,I
I See The Light,Hot Tuna,I
I Shall Be Released,The Band,I
I Shot The Sheriff,Bob Marley & The Wailers,I
I Shot The Sheriff,Eric Clapton,I
I Should Have Known Better,Wire,I
I Thank You,Bonnie Raitt,I
I Thank You,ZZ Top,I
I Think I Love You,The Partridge Family,I
I Think I See The Light,Cat Stevens,I
I Think You Know,Todd Rundgren,I
I Thought I Was A Child,Jackson Browne,I
I Wanna Be Loved,The Heartbreakers,I
I Wanna Be Sedated,The Ramones,I
I Wanna Be With You,The Isley Brothers,I
I Wanna Be With You,The Raspberries,I
I Wanna Be Your Boyfriend,The Ramones,I
I Wanna Be Your Lover,Prince,I
I Wanna Do Something Freaky To You,Leon Haywood,I
I Wanna Get Next To You,Rose Royce,I
I Wanna Go To The Sun,Peter Frampton,I
I Wanna Grow Up to be a Politician,The Byrds,I
I Want To Be Loved,Muddy Waters,I
I Want To Know If It's Good To You,Funkadelic,I
I Want To See The Bright Lights Tonight,Richard Thompson,I
I Want You,Marvin Gaye,I
I Want You Around,The Ramones,I
I Want You Bad,NRBQ,I
I Want You To Want Me,Cheap Trick,I
I Was A Fool To Care,James Taylor,I
I Was Made For Lovin' You,Kiss,I
I Was One,The Babys,I
I Will Be There,Van Morrison,I
I Will Survive,Gloria Gaynor,I
I Wish,Stevie Wonder,I
I Wish I Was In New Orleans,Tom Waits,I
I Wish I Was Your Mother,Mott The Hoople,I
I Won't Let It 'Appen Agen,Slade,I
I Wonder Who's Kissing Her Now,Harry Nilsson,I
I Wouldn't Want To Be Like You,The Alan Parsons Project,I
I Write The Songs,Barry Manilow,I
I Zimbra,Talking Heads,I
I'd Have You Anytime,George Harrison,I
I'd Like To Teach The World To Sing (in Perfect Harmony),The New Seekers,I
I'd Love To Change The World,Ten Years After,I
I'd Rather Be With You,Bootsy's Rubber Band,I
I'd Really Love To See You Tonight,England Dan & John Ford Coley,I
I'll Always Love My Mama,The Intruders,I
I'll Be Around,The Spinners,I
I'll Be Creeping,Three Dog Night,I
I'll Be Good To You,Brothers Johnson,I
I'll Be There,Jackson 5,I
I'll Come Running,Brian Eno,I
I'll Play The Blues For You,Albert King,I
I'll Sleep When I'm Dead,Warren Zevon,I
I'll Take You There,The Staple Singers,I
I'm A Believer,Tin Huey,I
I'm A Changed Man (Finally Got Myself Together),The Impressions,I
I'm A Ramblin' Man,Waylon Jennings,I
I'm A Rocker,The Raspberries,I
I'm Against It,The Ramones,I
"I'm Bad, I'm Nationwide",ZZ Top,I
I'm Bored,Iggy Pop,I
I'm Carrying,Wings,I
I'm Coming Back For You,Elf,I
I'm Doin' Fine Now,New York City,I
I'm Eighteen,Alice Cooper,I
I'm Glad You're Mine,Al Green,I
I'm Going To Be A Teenage Idol,Elton John,I
"I'm Gonna Love You Just A Little More, Baby",Barry White,I
I'm Gonna Love You Too,Blondie,I
I'm In Disgrace,The Kinks,I
I'm In Love,Aretha Franklin,I
I'm In Love With A Girl,Big Star,I
I'm In Love With My Car,Queen,I
I'm In You,Peter Frampton,I
I'm Just A Kid (Don't Make me Feel like a Man),Hall & Oates,I
I'm Just A Singer (in A Rock And Roll Band),The Moody Blues,I
I'm Not Angry,Elvis Costello,I
I'm Not Down,The Clash,I
I'm Not In Love,10cc,I
I'm Not In Love,Talking Heads,I
I'm On Fire,Dwight Twilley Band,I
