Title,Artist,Letter
Jack Straw,Grateful Dead,J
Jack Straw,Grateful Dead,J
Jackie Blue,Ozark Mountain Daredevils,J
Jackie Wilson Said (I'm In Heaven When You Smile),Van Morrison,J
Jackson Kent Blues,Steve Miller Band,J
Jaco,Pat Metheny Group,J
Jailbreak,Thin Lizzy,J
Jam Jam Jam (All Night Long),Peoples Chocie,J
Jamaica Say You Will,Jackson Browne,J
James,Billy Joel,J
James Dean,The Eagles,J
Jamie's Cryin',Van Halen,J
Jamming,Bob Marley & The Wailers,J
Jealous Guy,John Lennon,J
Jeepster,T Rex,J
Jerry's Pigeons,Genya Raven,J
Jessica,The Allman Brothers,J
Jesus Christ,Big Star,J
Jesus Is Just Alright With Me,The Doobie Brothers,J
Jesus Just Left Chicago,ZZ Top,J
Jesus Was A Capricorn,Kris Kristofferson,J
Jet,Paul McCartney & Wings,J
Jet Airliner,Steve Miller Band,J
Jet Boy,New York Dolls,J
Jimmy Jazz,The Clash,J
Jimmy Jimmy,The Undertones,J
Jive,Michael Franks,J
Jive Talkin',Bee Gees,J
Joanne,Michael Nesmith & The First National Band,J
Joe Hill,Joan Baez,J
Joe The Lion,David Bowie,J
Joe's Garage,Frank Zappa,J
Joey,Bob Dylan,J
Johannesburg,Gil Scott-Heron,J
John Mclaughlin,Miles Davis,J
"John, I'm Only Dancing",David Bowie,J
Johnny B Goode,Grateful Dead,J
Johnny Hold Back,Charlie,J
Johnny Hold Back,Charlie,J
Johnny Strikes Up The Band,Warren Zevon,J
Johnny Too Bad,The Slickers,J
Join Me In L.A.,Warren Zevon,J
Join The Boys,Joan Armatrading,J
Join Together,The Who,J
Jolene,Dolly Parton,J
Jolene,Olivia Newton-John,J
Josie,Steely Dan,J
Journey To Saturn,Sun Ra,J
Joy,Isaac Hayes,J
Joy To The World,Three Dog Night,J
Judy Is A Punk,The Ramones,J
Juke Box Music,The Kinks,J
"Julie, Do Ya Love Me?",Bobby Sherman,J
Julie's In The Drug Squad,The Clash,J
Jump Into The Fire,Harry Nilsson,J
Jump Street,Boz Scaggs,J
Jumping Someone Else's Train,The Cure,J
June Bug,Leo Kottke,J
Jungle Boogie,Kool & The Gang,J
Jungle Fever,Chakachas,J
Jungle Jazz,Kool & The Gang,J
Jungleland,Bruce Springsteen,J
Junior's Farm,Paul McCartney,J
Junk,Paul McCartney,J
Just Ain't Easy,The Allman Brothers,J
Just Another High,Roxy Music,J
Just Another Night,Ian Hunter,J
Just Don't Want To Be Lonely,The Main Ingredient,J
Just Kissed My Baby,The Meters,J
Just Like A Baby,Sly & The Family Stone,J
Just Like A Woman,Bob Dylan,J
Just Like This Train,Joni Mitchell,J
Just My Imagination (Running Away With Me),The Temptations,J
Just One Victory,Todd Rundgren,J
Just Remember I Love You,Firefall,J
Just Seven Numbers (Can Straighten Out My Life),Four Tops,J
Just The Other Side Of Nowhere,Kris Kristofferson,J
Just To Be Close To You,The Commodores,J
Just What I Needed,The Cars,J
