Title,Artist,Letter
L-O-V-E (Love),Al Green,L
L. A. Woman,The Doors,L
L.A.,Neil Young,L
L.A. Connection,Rainbow,L
LA Freeway,Jerry Jeff Walker,L
La Grange,ZZ Top,L
La Malanga,Bobby Hutcherson,L
La-la For You,Al Green,L
Ladies Of The Road,King Crimson,L
Ladies' Night,Kool & The Gang,L
Lady,Fela Kuti,L
Lady Blue,Leon Russell,L
Lady Bump,Penny McLean,L
Lady Doctor,Graham Parker,L
Lady Grinning Soul,David Bowie,L
Lady Love,Robin Trower,L
Lady Marmalade,Labelle,L
Lady Stardust,David Bowie,L
Lady Writer,Dire Straits,L
Lakeside Park,Rush,L
Land,Patti Smith,L
Land Ho!,The Doors,L
Landslide,Fleetwood Mac,L
Las Vegas Turnaround,Hall & Oates,L
Last Child,Aerosmith,L
Last Gang In Town,The Clash,L
Late For The Sky,Jackson Browne,L
Late November,Sandy Denny,L
Laughter in the Rain,Neil Sedaka,L
Laundromat,Rory Gallagher,L
"Lawyers, Guns, And Money",Warren Zevon,L
Lay A Little Lovin' On Me,Robin McNamara,L
Lay Down,Strawbs,L
Lay Down (Candles In The Rain),Melanie,L
Lay Down Sally,Eric Clapton,L
Layla,Derek & The Dominos,L
Lazing on a Sunday Afternoon,Queen,L
Lazy,Deep Purple,L
Lazy Lightnin',Kingfish,L
Le Freak,Chic,L
Lean On Me,Bill Withers,L
Learn How To Boogie,Leon Russell & Marc Benno,L
Leather Jacket,Mick Taylor,L
Leave Me Alone,Lou Reed,L
Leaving Green Sleeves,Leonard Cohen,L
Leaving Louisiana In The Broad Daylight,Emmylou Harris,L
Led Boots,Jeff Beck,L
Lee Remick,The Go-Betweens,L
Legalize It,Peter Tosh,L
Less Than Zero,Elvis Costello,L
Let Em In,Wings,L
Let It Be,Aretha Franklin,L
Let It Be,The Beatles,L
"Let It Go, Let It Flow",Dave Mason,L
Let It Grow,Eric Clapton,L
Let It Rain,Eric Clapton,L
Let It Ride,Bachman-Turner Overdrive,L
Let Me Dream If I Want To,Mink DeVille,L
Let Me In,Bonnie Raitt,L
Let Me Out,The Knack,L
Let Me Roll It,Paul McCartney & Wings,L
Let Me Swim,Cactus,L
Let The Good Times Roll,Harry Nilsson,L
Let There Be Rock,AC/DC,L
Let Your Love Flow,Bellamy Brothers,L
Let's Dance,The Ramones,L
Let's Dance Tonight,Poco,L
Let's Do It Again,The Staple Singers,L
Let's Get It On,Marvin Gaye,L
Let's Get Married,Al Green,L
Let's Go,Montrose,L
Let's Go,The Cars,L
Let's See Action,Pete Townshend,L
Let's Spend The Night Together,David Bowie,L
Let's Stay Together,Al Green,L
Let's Stick Together,Bryan Ferry,L
Let's Talk About Us,Dave Edmunds,L
Let's Work Together,Canned Heat,L
Letting Go,Wings,L
Levon,Elton John,L
Lexicon Devil,The Germs,L
Liar,Queen,L
Liar,Three Dog Night,L
Lido Shuffle,Boz Scaggs,L
Lies,J. J. Cale,L
Life Begins At The Hop,XTC,L
Life Beyond L.A.,Ambrosia,L
Life During Wartime,Talking Heads,L
Life In The Air Age,Be Bop Deluxe,L
Life In The Fast Lane,The Eagles,L
Life In The Foodchain,Tonio K.,L
Life Is A Carnival,The Band,L
Life Is A Minestrone,10cc,L
Life Is A Rock (But The Radio Rolled Me),Reunion,L
Life On Mars?,David Bowie,L
Life's A Gas,T Rex,L
Life's A Long Song,Jethro Tull,L
Life's Been Good,Joe Walsh,L
Light Of Love,T Rex,L
Light Up Or Leave Me Alone,Traffic,L
Lighten Up McGraw,Crack The Sky,L
Lights Out,U.F.O.,L
Like A Hurricane,Neil Young,L
"Lily, Rosemary And The Jack Of Hearts",Bob Dylan,L
Linda Paloma,Jackson Browne,L
Lip Service,Elvis Costello,L
Lipstick Vogue,Elvis Costello,L
Listen To Her Heart,Tom Petty & The Heartbreakers,L
Listen To My Heart,The Ramones,L
Listen To The Music,The Isley Brothers,L
Listen To What The Man Said,Paul McCartney & Wings,L
Little Bit Of Sympathy,Robin Trower,L
Little Child Runnin' Wild,Curtis Mayfield,L
Little Criminals,Randy Newman,L
Little Darling (I Need You),The Doobie Brothers,L
Little Girl,Muddy Waters,L
Little Green,Joni Mitchell,L
Little Queen,Heart,L
Little Sister,Ry Cooder,L
Little Triggers,Elvis Costello,L
Little Willy,Sweet,L
Little Wing,Derek & The Dominos,L
Live And Let Die,Paul McCartney & Wings,L
Live With Me,Humble Pie,L
Lively Up Yourself,Bob Marley & The Wailers,L
Lively Up Yourself,Bob Marley & The Wailers,L
Lively Up Yourself,Bob Marley & The Wailers,L
Livin' For The Weekend,The O'Jays,L
Livin' For You,Al Green,L
Livin' On The Fault Line,The Doobie Brothers,L
Livin' Thing,Electric Light Orchestra,L
Living For The City,Stevie Wonder,L
Living In The Material World,George Harrison,L
Living In The Past,Jethro Tull,L
Living On An Island,The Boomtown Rats,L
Living On Your Own,Budgie,L
Lo And Behold,Bob Dylan And The Band,L
Local Girls,Graham Parker,L
Lock It In The Pocket,Grover Washington Jr.,L
Locomotive Breath,Jethro Tull,L
Lola,The Kinks,L
Lola,The Raincoats,L
Lon Chaney,Garland Jeffreys,L
London Calling,The Clash,L
London Girl,The Jam,L
Lonely Boy,Andrew Gold,L
"Lonely Days, Lonely Nights",Bee Gees,L
Lonesome Cowboy Bill,The Velvet Underground,L
"Lonesome, On'ry And Mean",Waylon Jennings,L
Long Ago And Far Away,James Taylor,L
Long As I Can See The Light,Creedence Clearwater Revival,L
Long Cool Woman (In a Black Dress),The Hollies,L
Long Distance Love,Little Feat,L
Long Distance Runaround,Yes,L
Long Live Rock,The Who,L
Long May You Run,The Stills-Young Band,L
Long Promised Road,The Beach Boys,L
Long Train Runnin',The Doobie Brothers,L
"Long, Long Way From Home",Foreigner,L
Look Back In Anger,David Bowie,L
Look Out For My Love,Neil Young,L
Look Sharp,Joe Jackson,L
Look What You've Done For Me,Al Green,L
Lookin' After No. 1,The Boomtown Rats,L
Lookin' Out My Back Door,Creedence Clearwater Revival,L
Looking For A Kiss,New York Dolls,L
Looking For A Love,The J. Geils Band,L
Lookout Joe,Neil Young,L
Looks Like Rain,Bob Weir,L
Looks Like We Made It,Barry Manilow,L
Loose,The Stooges,L
Loose Booty,Sly & The Family Stone,L
Lose Again,Linda Ronstadt,L
Losin' End,The Doobie Brothers,L
Lost In A Lost World,The Moody Blues,L
Lost In The Flood,Bruce Springsteen,L
Lost In The Supermarket,The Clash,L
Lotta Love,Neil Young,L
Lotta Love,Nicolette Larson,L
Loudmouth,The Ramones,L
Louie Louie,Motorhead,L
Louie Louie,Toots & The Maytals,L
Louisiana 1927,Randy Newman,L
Louisiana Rain,Tom Petty & The Heartbreakers,L
Love,John Lennon,L
Love & Affection,Joan Armatrading,L
Love Ain't For Keeping,The Who,L
Love And Happiness,Al Green,L
Love Ballad,L.T.D.,L
Love Ballad,L.T.D.,L
Love For You And Me,Budgie,L
Love Grows (Where My Rosemary Goes),Edison Lighthouse,L
Love Hangover,Diana Ross,L
Love Has Brought Me Around,James Taylor,L
Love Has No Pride,Bonnie Raitt,L
Love Has No Pride,Linda Ronstadt,L
Love Her Madly,The Doors,L
Love Hurts,Gram Parsons,L
Love In Action,Utopia,L
Love In Song,Wings,L
Love Is A Rose,Linda Ronstadt,L
Love Is Alive,Gary Wright,L
Love Is Like Oxygen,Sweet,L
