Title,Artist,Letter
Ma,Rare Earth,M
Ma-ma-ma Belle,Electric Light Orchestra,M
MacArthur Park,Donna Summer,M
Machine Gun,Jimi Hendrix,M
Machine Gun,The Commodores,M
Mad Man Moon,Genesis,M
Madman Across The Water,Elton John,M
Maggie May,Rod Stewart,M
Magic Man,Heart,M
Magic Mountain,Eric Burdon & War,M
Magnet,NRBQ,M
Magnet And Steel,Walter Egan,M
Magneto And Titanium Man,Wings,M
Magnolia,J. J. Cale,M
Magnolia,Tom Petty & The Heartbreakers,M
Mail Box,Frankie Miller,M
Main Title (The Godfather Waltz),Nino Rota,M
Mainline Florida,Eric Clapton,M
Majestic Dance,Return To Forever,M
Make It Funky,James Brown,M
Make It Last,Montrose,M
Make It With You,Bread,M
Make Me Down A Pallet On Your Floor,Lucinda Williams,M
Make Me Smile,Chicago,M
Make Me Smile (Come Up And See Me),Steve Harley & Cockney Rebel,M
Make Up Your Mind,The J. Geils Band,M
Making Plans For Nigel,XTC,M
Mama Say,The Heptones,M
Mama Told Me (Not To Come),Three Dog Night,M
Mama Told Me Not To Come,Randy Newman,M
Mama Tried,Grateful Dead,M
Mama Weer All Crazee Now,Slade,M
Mambo Sun,T Rex,M
Mamunia,Paul McCartney & Wings,M
Man Gave Names To All The Animals,Bob Dylan,M
Man in the Mirror/Below the Surface,Dan Fogelberg,M
"Man Smart, Woman Smarter",Robert Palmer,M
Man We Was Lonely,Paul McCartney,M
Mandolin Wind,Rod Stewart,M
Mandy,Barry Manilow,M
Manic Mechanic,ZZ Top,M
Mannish Boy,Muddy Waters,M
Mannish Boy,The Band,M
Many Rivers To Cross,Harry Nilsson,M
Many Rivers To Cross,Jimmy Cliff,M
Map Ref. 41 Degrees N 93 Degrees W,Wire,M
Marcus Garvey,Burning Spear,M
Margaritaville,Jimmy Buffett,M
Marie,Randy Newman,M
Marquee Moon,Television,M
Mary Lou,John Cale,M
Mary Of The 4th Form,The Boomtown Rats,M
Mary Provost,Nick Lowe,M
Mary Queen Of Arkansas,Bruce Springsteen,M
Master Of The Universe,Hawkwind,M
Max's Kansas City,Wayne County & The Back Street Boys,M
May You Never,Eric Clapton,M
May You Never,John Martyn,M
Maybe I'm Amazed,Paul McCartney,M
Me & Baby Jane,Leon Russell,M
Me And Baby Brother,War,M
Me And Bobby McGee,Janis Joplin,M
Me And Bobby McGee,Kris Kristofferson,M
Me And Julio Down By The Schoolyard,Paul Simon,M
Me and Mrs. Jones,Billy Paul,M
Me And My Arrow,Harry Nilsson,M
Meadows,Joe Walsh,M
Mean Mistreater,Grand Funk Railroad,M
Mean Old Frisco,Eric Clapton,M
Meat City,John Lennon,M
Medicine Jar,Paul McCartney & Wings,M
Meet Me In The Morning,Bob Dylan,M
