Title,Artist,Letter
Racing In The Streets,Bruce Springsteen,R
Racing In The Streets,Bruce Springsteen,R
Radar Love,Golden Earring,R
Radio Heart,Willie Alexander And The Boom Boom Band,R
Radio In Motion,XTC,R
Radio In Motion,XTC,R
"Radio, Radio",Elvis Costello,R
Rain In Spain,Sea Level,R
Rainy Night House,Joni Mitchell,R
Rainy Night In Georgia,Brook Benton,R
Raised On Robbery,Joni Mitchell,R
Ramble Tamble,Creedence Clearwater Revival,R
Ramblin' Man,The Allman Brothers,R
Ramblin' On My Mind,Lucinda Williams,R
Ramones Medley,The Ramones,R
Rapper's Delight,Sugarhill Gang,R
Rat Trap,The Boomtown Rats,R
Rat Trap,The Boomtown Rats,R
Rats In The Cellar,Aerosmith,R
Raw Power,Iggy & The Stooges,R
Re-Make/Re-Model,Roxy Music,R
Reach For It,George Duke,R
Read It In Books,Echo & The Bunnymen,R
Ready,Cat Stevens,R
Ready For Love,Bad Company,R
Ready Or Not,Jackson Browne,R
Ready Or Not,Jackson Browne,R
"Ready, Steady, Go!",Generation X,R
Real Good Time Together,Lou Reed,R
Real Man,Todd Rundgren,R
Real Turned On,Uriah Heep,R
Reasons,Earth Wind & Fire,R
Rebel Music,Bob Marley & The Wailers,R
Rebel Rebel,David Bowie,R
Rebel Rouser,Bob Welch,R
Reconnez Cherie,Wreckless Eric,R
Reconsider Baby,Freddie King,R
Reconsider Baby,Freddie King,R
Red,King Crimson,R
Red Clay,Freddie Hubbard,R
Red Hot,Robert Gordon with Link Wray,R
Red Streamliner,Little Feat,R
Rednecks,Randy Newman,R
Redondo Beach,Patti Smith,R
Reelin' & Rockin',Chuck Berry,R
Reelin' In The Years,Steely Dan,R
Reflections Of My Life,Marmalade,R
Refrigerator Heaven,Alice Cooper,R
Refuge Of The Roads,Joni Mitchell,R
Refugee,Tom Petty & The Heartbreakers,R
Reggae On Broadway,Johnny Nash,R
Release Yourself,Graham Central Station,R
"Release, Release",Yes,R
Remember The Future (Part 1),NEKTAR,R
Reminiscing,Little River Band,R
Renegade,Styx,R
Repetition,The Fall,R
Respect Yourself,The Staple Singers,R
Respectable,The Rolling Stones,R
Restless,Tom Petty & The Heartbreakers,R
Return Of The Grievous Angel,Gram Parsons,R
Return The Gift,Gang Of Four,R
Reunited,Peaches & Herb,R
Reuters,Wire,R
Rev On The Red Line,Foreigner,R
Reverand Lee,Roberta Flack,R
Revival,The Allman Brothers,R
Revolution Blues,Neil Young,R
Revolution Rock,The Clash,R
Rhiannon,Fleetwood Mac,R
Rhinestone Cowboy,Glen Campbell,R
Rhumba Man,Jesse Winchester,R
Rich Girl,Hall & Oates,R
Ride A White Swan,T Rex,R
Ride Captain Ride,Blues Image,R
Ride On,Luther Grovesnor,R
Ride On,Parliament,R
Ride On Josephine,George Thorogood & The Destroyers,R
Ride The Tiger,Jefferson Starship,R
Riders On The Storm,The Doors,R
Ridgetop,Jesse Colin Young,R
Ridin' The Storm Out,REO Speedwagon,R
Right,David Bowie,R
Right Back Where We Started From,Maxine Nightingale,R
Right Down The Line,Gerry Rafferty,R
Right On,Marvin Gaye,R
Right On,Syl Johnson,R
Right On!,Clarence Wheeler & The Enforcers,R
Right Place Wrong Time,Dr. John,R
Right To Work,Chelsea,R
Rigor Mortis,Cameo,R
Riki Tivi Tavi,Donovan,R
Rikki Don't Lose That Number,Steely Dan,R
Ring My Bell,Anita Ward,R
Rip Off,T Rex,R
Rip This Joint,The Rolling Stones,R
Ripple,Grateful Dead,R
Ripples,Genesis,R
Rivendell,Rush,R
Rivers of Babylon,The Melodians,R
Roadhouse Blues,The Doors,R
Roadrunner,The Modern Lovers,R
Roads To Moscow,Al Stewart,R
"Robbery, Assault & Battery",Genesis,R
Rock 'N Roll With Me,David Bowie,R
Rock 'N' Roll Suicide,David Bowie,R
Rock & Roll,The Velvet Underground,R
Rock & Roll All Nite,Kiss,R
Rock & Roll Love Letter,Bay City Rollers,R
Rock & Roll Lullaby,B.J. Thomas,R
Rock & Roll Music To The World,Ten Years After,R
Rock & Roll Outlaw,Rose Tattoo,R
Rock And Roll,Led Zeppelin,R
Rock And Roll Doctor,Little Feat,R
Rock And Roll High School,The Ramones,R
Rock And Roll Queen,Mott The Hoople,R
Rock And Roll Stew,Traffic,R
"Rock and Roll, Hoochie Koo",Johnny Winter,R
"Rock and Roll, Hoochie Koo",Rick Derringer,R
Rock Creek Park,The Blackbyrds,R
Rock Fight,Cheech & Chong,R
"Rock Is My Life, And This Is My Song",Bachman-Turner Overdrive,R
Rock Lobster,B-52's,R
Rock Me,Muddy Waters,R
Rock Me Again And Again And Again And Again,Lyn Collins,R
Rock Me Gently,Andy Kim,R
Rock Me On The Water,Jackson Browne,R
Rock Music,Jefferson Starship,R
Rock N Roll Band,Boston,R
Rock On,David Essex,R
Rock On,T Rex,R
Rock Steady,Aretha Franklin,R
Rock The Boat,Hues Corporation,R
Rock The Nation,Montrose,R
Rock Your Baby,George McCrae,R
Rock'n Me,Steve Miller Band,R
Rockaria!,Electric Light Orchestra,R
Rockaway Beach,The Ramones,R
Rockers Rock,Augustus Pablo,R
Rockestra Theme,Paul McCartney & Wings,R
Rocket In My Pocket,Little Feat,R
Rocket Man,Elton John,R
Rocket U.S.A.,Suicide,R
Rockin' Around (With You),Tom Petty & The Heartbreakers,R
Rockin' Down The Highway,The Doobie Brothers,R
Rocks Off,The Rolling Stones,R
Rocky Mountain High,John Denver,R
Rocky Mountain Way,Joe Walsh,R
Roland The Headless Thompson Gunner,Warren Zevon,R
Roll Another Number (For The Road),Neil Young,R
Roll Away The Stone,Leon Russell,R
Roll Away The Stone,Mott The Hoople,R
Roll It,Eric Clapton,R
Roll It Over,Derek & The Dominos,R
Roll On Down The Highway,Bachman-Turner Overdrive,R
Roll Over Beethoven,Electric Light Orchestra,R
Roll Um Easy,Little Feat,R
Roll With The Changes,REO Speedwagon,R
Roller Derby Queen,Jim Croce,R
Rollers Show,Nick Lowe,R
Romance Dance,Little Feat,R
Romeo & The Lonely Girl,Ernie Graham,R
Romeo's Tune,Steve Forbert,R
"Roots, Rock, Reggae",Bob Marley & The Wailers,R
Rope Ladder To The Moon,Brian Auger & Julie Tippetts,R
Rosalita,Bruce Springsteen,R
Rosie,Jackson Browne,R
Roundabout,Yes,R
Row Jimmy,Grateful Dead,R
Roxanne,The Police,R
Rubber Biscuit,The Blues Brothers,R
Rubber Bullets,10cc,R
Rubberband Man,The Spinners,R
"Rudy, A Message To You",The Specials,R
Run,David Sancious,R
Run And Hide,Blackfoot,R
Run Home Girl,Sad Cafe,R
Run Joey Run,David Geddes,R
Run Like A Thief,J.D. Souther,R
Run Like Hell,Pink Floyd,R
Run Through The Jungle,Creedence Clearwater Revival,R
Run To Me,Bee Gees,R
Run With The Pack,Bad Company,R
Runaway,Jefferson Starship,R
Runnin' With The Devil,Van Halen,R
Running Away,Roy Ayers,R
Running Back,Thin Lizzy,R
