Title,Artist,Letter
S.O.S.,Abba,S
Sabre Dance,Love Sculpture,S
Sacred Songs,Daryl Hall,S
Sad And Deep As You,Dave Mason,S
Sad Eyes,Robert John,S
Sad Song,Lou Reed,S
Saddle Up The Palomino,Neil Young,S
Safe European Home,The Clash,S
Sail Away,Randy Newman,S
Sail On,The Commodores,S
"Sail On, Sailor",The Beach Boys,S
Sailin' Shoes,Little Feat,S
Sailing Shoes/Hey Julia/Sneakin' Sally Through The Alley,Robert Palmer,S
Saint Dominic's Preview,Van Morrison,S
Sally Can't Dance,Lou Reed,S
Sam Stone,John Prine,S
Samba Pa Ti,Santana,S
Same Situation,Joni Mitchell,S
Samson & Delilah,Grateful Dead,S
San Ber'dino,Frank Zappa,S
San Diego Serenade,Tom Waits,S
San Tropez,Pink Floyd,S
Sandman,America,S
Sands of Time,Fleetwood Mac,S
Sanford & Son Theme (The Streetbeater),Quincy Jones,S
Sara,Bob Dylan,S
Sara,Fleetwood Mac,S
Sara Smile,Hall & Oates,S
Satellite Of Love,Lou Reed,S
Saturday Gigs,Mott The Hoople,S
Saturday In The Park,Chicago,S
Saturday Night,Bay City Rollers,S
Saturday Night's Alright For Fighting,Elton John,S
Saturday Nite Is Dead,Graham Parker,S
Saturday's Kids,The Jam,S
Save The Children,Marvin Gaye,S
Save The Country,The 5th Dimension,S
Say Goodbye To Hollywood,Billy Joel,S
Say You Love Me,Fleetwood Mac,S
Scarlet Begonias,Grateful Dead,S
Scenes From An Italian Restaurant,Billy Joel,S
School,Supertramp,S
School Boy Crush,Average White Band,S
School Days,Stanley Clarke,S
School's Out,Alice Cooper,S
Science Fiction Double Feature,Rocky Horror Picture Show Cast,S
Science Friction,XTC,S
Scorpio,Dennis Coffey,S
Screaming Through December,Hall & Oates,S
Search And Destroy,Iggy & The Stooges,S
Seasons In The Sun,Terry Jacks,S
Second Hand News,Fleetwood Mac,S
Secret Agent Man,Devo,S
Secret O'Life,James Taylor,S
See No Evil,Television,S
See The Changes,Crosby Stills & Nash,S
See The Sky About To Rain,Neil Young,S
See What Love,Grin,S
Senior Service,Elvis Costello,S
Senor (tales Of Yankee Power),Bob Dylan,S
Sensitive Kind,J. J. Cale,S
Sentimental Lady,Bob Welch,S
Sentimental Lady,Fleetwood Mac,S
September,Earth Wind & Fire,S
September Gurls,Big Star,S
September Morn,Neil Diamond,S
September Song,Willie Nelson,S
Serpentine Fire,Earth Wind & Fire,S
Seven Bridges Road,Iain Matthews,S
Seven Days,Ron Wood,S
Seventeen,The Sex Pistols,S
Sex & Drugs & Rock & Roll,Ian Dury & The Blockheads,S
Shack Up,Banbarra,S
Shadow Captain,Crosby Stills & Nash,S
Shadow Dancing,Andy Gibb,S
Shadow Of A Doubt,Tom Petty & The Heartbreakers,S
Shadows In The Moonlight,Anne Murray,S
Shake Some Action,Flamin' Groovies,S
Shake That Rat,Nick Lowe,S
Shake The Devil,Tommy Bolin,S
Shake Your Rump To The Funk,The Bar-Kays,S
Shakedown Street,Grateful Dead,S
Shakey Ground,The Temptations,S
Shakin' All Over,The Who,S
Shakin' Street,MC5,S
Shambala,Three Dog Night,S
Shame,"Evelyn ""Champagne"" King",S
"Shame, Shame, Shame",Shirley & Company,S
Shapes Of Things,David Bowie,S
Sharon,David Bromberg,S
Shattered,The Rolling Stones,S
She,Gram Parsons,S
She Cracked,The Modern Lovers,S
She Does It Right,Dr. Feelgood,S
She Loves My Automobile,ZZ Top,S
She Loves To Be In Love,Charlie,S
She Sells,Roxy Music,S
She's A Heartbreaker,ZZ Top,S
She's A Lover,Pretty Things,S
She's Gone,Hound Dog Taylor,S
She's Gone,Hall & Oates,S
She's Gone,Tavares,S
She's Got A Way,Billy Joel,S
She's Lost Control,Joy Division,S
She's My Best Friend,Lou Reed,S
She's Not Just Another Woman,The 8th Day,S
She's Not There,Santana,S
She's Not There,U.K. Subs,S
She's So Modern,The Boomtown Rats,S
She's So Yough,Mink DeVille,S
She's The One,Bruce Springsteen,S
Sheena Is A Punk Rocker,The Ramones,S
Sheep,Pink Floyd,S
Sheep,Pink Floyd,S
Sheer Heart Attack,Queen,S
Shelter From The Storm,Bob Dylan,S
Shine A Light,The Rolling Stones,S
Shine On,Humble Pie,S
Shine On,Peter Frampton,S
Shine On You Crazy Diamond (part 1),Pink Floyd,S
Shine Silently,Nils Lofgren,S
Shinin' On,Grand Funk Railroad,S
Shining Star,Earth Wind & Fire,S
Ship Of Fools,The Doors,S
Ship Of Fools,Grateful Dead,S
Shoeshine Boy,Eddie Kendricks,S
Shoot Out On The Plantation,Leon Russell,S
Shooting Star,Bad Company,S
Shooting Star,Lou Reed,S
Shootout At The Fantasy Factory,Traffic,S
Short People,Randy Newman,S
Shot By Both Sides,Magazine,S
Shouldn't Have Took More Than You Gave,Dave Mason,S
Show And Tell,Al Wilson,S
Show Some Emotion,Joan Armatrading,S
Showbiz Kids,Steely Dan,S
Showdown,Electric Light Orchestra,S
Shower The People,James Taylor,S
Siberian Khatru,Yes,S
Sick Again,Led Zeppelin,S
Sick As A Dog,Aerosmith,S
Sideshow,Blue Magic,S
Sigmund Freud's Impersonation Of Albert Einstein In America,Randy Newman,S
"Signed, Sealed, Delivered I'm Yours",Stevie Wonder,S
"Signed, Sealed, Delivered I'm Yours",Stevie Wonder,S
Signs,Five Man Electrical Band,S
Silly Love Songs,Wings,S
Silver Lady,Intergalactic Touring Band,S
Silver Machine,Hawkwind,S
Silver Machine,Hawkwind,S
Silver Paper,Mountain,S
Silver Train,The Rolling Stones,S
Simple Man,Lynyrd Skynyrd,S
Simple Twist Of Fate,Bob Dylan,S
Sin's A Good Man's Brother,Grand Funk Railroad,S
Since I Fell For You,Bonnie Raitt,S
Since I've Been Loving You,Led Zeppelin,S
Sing A Song,Earth Wind & Fire,S
Sing My Songs To Me/for Everyman,Jackson Browne,S
Sip The Wine,Rick Danko,S
Sir Duke,Stevie Wonder,S
Sister Golden Hair,America,S
Sister Midnight,Iggy Pop,S
Sister Moonshine,Supertramp,S
Sisters Of The Moon,Fleetwood Mac,S
Sitting In Limbo,Jimmy Cliff,S
Six Days On The Road,The Flying Burrito Brothers,S
Sixty Years On,Elton John,S
Skating Away On The Thin Ice Of The New Day,Jethro Tull,S
Skin & Bone,The Kinks,S
Skin It Back,Little Feat,S
Skin Tight,Ohio Players,S
Sky High Percentage,Budgie,S
Sky Saw,Brian Eno,S
Sleeping On The Sidewalk,Queen,S
Slip Kid,The Who,S
Slippery When Wet,The Commodores,S
Slippin' Into Darkness,War,S
Slow Death,Flamin' Groovies,S
Slow Ride,Foghat,S
Slow Train Coming,Bob Dylan,S
Slunky,Eric Clapton,S
Smack Dab In The Middle,Ry Cooder,S
Smackwater Jack,Carole King,S
Smackwater Jack,Quincy Jones,S
Small Town Talk,Rick Danko,S
Smart Patrol/Mr. DNA,Devo,S
Smelly Tongues,The Residents,S
Smile,Laura Nyro,S
Smile Away,Paul & Linda McCartney,S
Smiling Faces Sometimes,The Undisputed Truth,S
Smoke From A Distant Fire,Sanford Townsend Band,S
Smoke On The Water,Deep Purple,S
Smokin' In The Boy's Room,Brownsville Station,S
Sneaky Feelings,Elvis Costello,S
So,War,S
So Far Away,Carole King,S
So Fine,Electric Light Orchestra,S
So High (Rock Me Baby And Roll Me Away),Dave Mason,S
So Into You,Atlanta Rhythm Section,S
So It Goes,Nick Lowe,S
So Lonely,The Police,S
"So Long, Frank Lloyd Wright",Simon & Garfunkel,S
So Much Things To Say,Bob Marley & The Wailers,S
So Very Hard To Go,Tower Of Power,S
So You Want To Be A Rock And Roll Star,Patti Smith,S
So You're Leaving,Al Green,S
Sodom And Gomorrah,The Village People,S
Soft and Wet,Prince,S
Solid Air,John Martyn,S
Solsbury Hill,Peter Gabriel,S
Some Kind Of Wonderful,Grand Funk Railroad,S
Some Misunderstanding,Gene Clark,S
Some Of Them Are Old,Brian Eno,S
Some Weird Sin,Iggy Pop,S
Somebody,Geils,S
Somebody Get Me A Doctor,Van Halen,S
