Title,Artist,Letter
The Runner,Patrick Cowley,T
T. S. O. P. (The Sound Of Philadelphia),M. F. S. B.,T
T.N.T.,AC/DC,T
T.V. Eye,The Stooges,T
Tables Are Turned,Amon Duul II,T
Take It Easy,Jackson Browne,T
Take It Easy,The Eagles,T
Take It To The Limit,The Eagles,T
"Take Me Home, Country Roads",John Denver,T
Take Me To The Mardis Gras,Paul Simon,T
Take Me To The Next Phase,The Isley Brothers,T
Take Me To The Pilot,Elton John,T
Take Me To The River,Al Green,T
Take Me To The River,Syl Johnson,T
Take Me To The River,Talking Heads,T
Take Me To Your Leader,The Sinceros,T
Take The Cash (K.A.S.H.),Wreckless Eric,T
Take The Highway,Marshall Tucker Band,T
Take The Long Way Home,Supertramp,T
Take The Money & Run,Steve Miller Band,T
Takin' Care Of Business,Bachman-Turner Overdrive,T
Takin' It To The Streets,The Doobie Brothers,T
Takin' Me Back,Cheap Trick,T
Talk To Me,Joni Mitchell,T
Talkin' Loud And Sayin' Nothing,James Brown,T
Tallahassee Lassie,Flamin' Groovies,T
Tangerine,Led Zeppelin,T
Tangled Up In Blue,Bob Dylan,T
Tattler,Ry Cooder,T
Taxes On The Farmer Feeds Us All,Ry Cooder,T
Taxi,Harry Chapin,T
"Taxman, Mr. Thief",Cheap Trick,T
Tea & Sympathy,Janis Ian,T
Teach Your Children,Crosby Stills Nash & Young,T
Teacher,Jethro Tull,T
Tears In My Eyes,Uriah Heep,T
Tears Of A Clown,Smokey Robinson & The Miracles,T
Teenage Crutch,The Shirts,T
Teenage Depression,Eddie & The Hot Rods,T
Teenage Kicks,The Undertones,T
Teenage Lobotomy,The Ramones,T
Telegram Sam,T Rex,T
Telephone Line,Electric Light Orchestra,T
Telephone Man,Meri Wilson,T
Tell Mama,Savoy Brown,T
Tell Me a Story,Iggy Pop,T
Tell Me Something Good,Rufus,T
Tell Me To My Face,Dan Fogelberg & Tim Weisberg,T
Tell Me Tonight,The Paley Brothers,T
Tell Me When The Whistle Blows,Elton John,T
Tell Me Why,Neil Young,T
Tell The Truth,Derek & The Dominos,T
Ten Years Are Gone,John Mayall,T
Ten Years Gone,Led Zeppelin,T
Tend My Garden,James Gang,T
Tenderness On The Block,Warren Zevon,T
Tennessee Jed,Grateful Dead,T
Tenth Avenue Freeze Out,Bruce Springsteen,T
Tequila Sunrise,The Eagles,T
Terrapin Station,Grateful Dead,T
Texas Girl At The Funeral Of Her Father,Randy Newman,T
Thank God I'm A Country Boy,John Denver,T
Thank You,Bonnie Raitt,T
Thank You for Being a Friend,Andrew Gold,T
Thank You For Sending Me An Angel,Talking Heads,T
Thank You For Talkin' To Me Africa,Sly & The Family Stone,T
Thank You Friends,Big Star,T
Thanks For Saving My Life,Billy Paul,T
That Lady (Parts 1 & 2),The Isley Brothers,T
That Smell,Lynyrd Skynyrd,T
That Would Be Something,Paul McCartney,T
That's All For Everyone,Fleetwood Mac,T
That's The Way,Led Zeppelin,T
That's The Way (I Like It),KC and the Sunshine Band,T
That's The Way I Feel About 'cha,Bobby Womack,T
That's The Way I've Always Heard It Should Be,Carly Simon,T
That's The Way Of The World,Earth Wind & Fire,T
That's When Miracles Occur,Andy Pratt,T
That's Your Secret,Sea Level,T
The Air That I Breathe,The Hollies,T
The American Ruse,MC5,T
The Angel,Bruce Springsteen,T
The Answer,Frank Marino & Mahogany Rush,T
The Art Of Dying,George Harrison,T
The Back Seat Of My Car,Paul McCartney,T
The Balance,The Moody Blues,T
The Ballad Of Billy The Kid,Billy Joel,T
The Ballad Of Curtis Loew,Lynyrd Skynyrd,T
The Ballad Of Penny Evans,Steve Goodman,T
The Ballroom Blitz,Sweet,T
