Title,Artist,Letter
U.S. Blues,Grateful Dead,U
Uh-oh Love Comes To Town,Talking Heads,U
Uhh Parts 1 & 2,Dyke & The Blazers,U
Unbroken Chain,Grateful Dead,U
Unchained Melody,Willie Nelson,U
Uncle Albert / Admiral Halsey,Paul McCartney,U
Uncle John's Band,Grateful Dead,U
Uncle Salty,Aerosmith,U
Uncontrollable Urge,Devo,U
Under My Wheels,Alice Cooper,U
Under The Falling Sky,Bonnie Raitt,U
Under The Falling Sky,Jackson Browne,U
Undercover Angel,Alan O'Day,U
Underground,Curtis Mayfield,U
Une Nuit A Paris,10cc,U
Until You Come Back To Me (That's What I'm Gonna Do),Aretha Franklin,U
Up Against the Wall,Tom Robinson Band,U
Up Around The Bend,Creedence Clearwater Revival,U
