Title,Artist,Letter
Ya Ya,Lee Dorsey,Y
Year Of The Cat,Al Stewart,Y
Yellow Pills,20/20,Y
Yellow River,Christie,Y
Yellow Roses,Ry Cooder,Y
Yes We Can Can,Lee Dorsey,Y
Yes We Can Can,The Pointer Sisters,Y
YMCA,The Village People,Y
You & I,Rick James,Y
You Ain't Seen Nothing Yet,Bachman-Turner Overdrive,Y
You And Your Sister,Chris Bell,Y
You Are Everything,The Stylistics,Y
You Are So Beautiful,Joe Cocker,Y
You Are The Sunshine Of My Life,Stevie Wonder,Y
You Belong To Me,Carly Simon,Y
You Belong To Me,Elvis Costello,Y
You Belong To Me,The Doobie Brothers,Y
You Can Close Your Eyes,James Taylor,Y
You Can Get It If You Really Want,Jimmy Cliff,Y
You Can Leave Your Hat On,Randy Newman,Y
You Can't Change That,Raydio,Y
You Can't Fool The Fat Man,Randy Newman,Y
You Can't Put Your Arms Around A Memory,Johnny Thunders,Y
You Cannot Win If You Do Not Play,Steve Forbert,Y
You Could Have Been A Lady,April Wine,Y
You Cried Wolf,Todd Rundgren,Y
You Don't Bring Me Flowers,Neil Diamond,Y
You Don't Have to Be a Star (To Be In My Show),"Marilyn McCoo and Billy Davis, Jr.",Y
You Don't Mess Around With Jim,Jim Croce,Y
You Gave Me The Answer,Wings,Y
You Gonna Make Me Love Somebody Else,The Jones Girls,Y
You Got That Right,Lynyrd Skynyrd,Y
You Got The Love,Rufus,Y
You Gotta Move,The Rolling Stones,Y
You Haven't Done Nothin',Stevie Wonder,Y
You Just Can't Stop It,The Doobie Brothers,Y
You Just Don't Wanna Know,Jules And The Polar Bears,Y
"You Know, You Know",Mahavishnu Orchestra,Y
You Lie Down With Dogs,The Alan Parsons Project,Y
You Light Up My Life,Debby Boone,Y
You Love The Thunder,Jackson Browne,Y
You Make It So Hard,Boz Scaggs,Y
You Make Loving Fun,Fleetwood Mac,Y
You Make Me Feel Like Dancing,Leo Sayer,Y
You Make Me Real,The Doors,Y
You Must Be Good For Something,Hall & Oates,Y
You Needed Me,Anne Murray,Y
You Ought to Be with Me,Al Green,Y
You Really Got Me,Van Halen,Y
You Really Rock Me,Nick Gilder,Y
You Sexy Thing,Hot Chocolate,Y
You Should Be Dancing,Bee Gees,Y
You Tell Me,Tom Petty & The Heartbreakers,Y
You Took The Words Right Out Of My Mouth (hot Summer Night),Meatloaf,Y
"You Turn Me On, I'm A Radio",Joni Mitchell,Y
You Wear It Well,Rod Stewart,Y
You Win Again,Grateful Dead,Y
You'll Never Get To Heaven (If You Break My Heart),The Stylistics,Y
You're A Big Girl Now,Bob Dylan,Y
You're All I've Got Tonight,The Cars,Y
You're Gonna Get It,Tom Petty & The Heartbreakers,Y
You're Gonna Get What's Coming,Robert Palmer,Y
You're Gonna Make Me Lonesome When You Go,Bob Dylan,Y
You're In My Heart,Rod Stewart,Y
You're Insane,Rod Stewart,Y
You're Made That Way,The Doobie Brothers,Y
You're Made That Way,The Doobie Brothers,Y
You're Moving Out Today,Carole Bayer Sager,Y
You're Much Too Soon,Hall & Oates,Y
You're My Best Friend,Queen,Y
You're My Home,Billy Joel,Y
You're My Home,Billy Joel,Y
You're No Good,Linda Ronstadt,Y
You're Only Lonely,J.D. Souther,Y
You're Sixteen,Ringo Starr,Y
You're So Vain,Carly Simon,Y
"You're The First, The Last, My Everything",Barry White,Y
You're The One (Pts One & 2),Little Sister,Y
You're The One That I Want,Olivia Newton-John & John Travolta,Y
You've Been In Love Too Long,Bonnie Raitt,Y
You've Got A Friend,Carole King,Y
You've Got A Friend,James Taylor,Y
You've Got It Bad Girl,Stevie Wonder,Y
Young Americans,David Bowie,Y
Young Blood,Bad Company,Y
Young Gifted and Black,Aretha Franklin,Y
Young Hearts Run Free,Candi Staton,Y
Your Bright Baby Blues,Jackson Browne,Y
Your Flag Decal Won't Get You Into Heaven Anymore,John Prine,Y
Your Gold Teeth,Steely Dan,Y
Your Love,Graham Central Station,Y
Your Love Is Good,Bunny Sigler,Y
Your Love Is Stranger Than Mine,Camel,Y
Your Love Is Stranger Than Mine,Camel,Y
Your Own Special Way,Genesis,Y
Your Song,Elton John,Y
Yours Is No Disgrace,Yes,Y
Youth Youth Youth,Generation X,Y
