Artist,Title
Dante Bucci,HangFunk
Kerry Hallett & Friends,A Million Years
Toshi Reagon,How Long
Bobbi Carmitchell,Simple Song
Bobbie Carmitchell,Life On the Greener Side
Holly Near & Emma's Revolution,1000 Grandmothers
Sufjan Stevens,Year Of The Ox
Roger Miller,Dang Me
Richie Stearns & Rosie Newton,Lost Goose
Tin Bird Choir,Treat You Right
Al Scorch,Insomnia
Kaia Kater,Paradise Fell
Bob Dylan,A Hard Rain's A-Gonna Fall
Phil Ochs,When I'm Gone
Lead Belly,Hitler Song
Billy Bragg,There Is Power In A Union
Mischief Brew,The Preacher And The Slave
Utah Phillips,Joe Hill
Mipso,Down In The Water
Upstate Rubdown,No Slack
The Mike + Ruthy Band,Bright As You Can
Silver City Bound,Don't You Wait
Wood Brothers,Postcards From Hell
Ray LaMontagne,Trouble
Cat Stevens,Trouble
Josh White,Trouble
Greenbriar Boys,Shackles and Chains
The Memphis Jug Band,He's In The Jailhouse Now
Loretta Lynn,Women's Prison
Mose Allison,Parchman Farm
Primal Scream,"If They Move, Kill 'Em"
The Bostweeds,Faster Pussycat Kill Kill
Amanda Shires,When You're Gone
Mondo Cozmo,Shine
Timmy Thomas,Why Can't We Live Together
Houndmouth,On the Road
Joseph,SOS (Overboard)
Solange,Cranes In The Sky
Bonnie Raitt,Something To Talk About
Sylvan Esso,Radio
The Pretenders,Holy Commotion
Bruce Springsteen,The Fever
Brent Cobb,Solving Problems
Milky Chance,Cocoon
Parquet Courts,Berlin Got Blurry
Joe Jackson,Is She Really Going Out With Him
Steve Earle,City Of Immigrants
Aaron Lee Tasjan,Little Movies
Frank Ocean,Pink + White
Sonic Youth,Bull In The Heather
Balance and Composure,Call It Losing Touch
LVL UP,Hidden Driver
Queen,Tie Your Mother Down
Dr. Dog,That Old Black Hole
Warpaint,New Song
Foxygen,Follow The Leader
Madisen Ward and the Mama Bear,Silent Movies
The Replacements,I Will Dare
Neil Young,Peace Trail
Hamilton Leithauser + Rostam,A 1000 Times
The Kinks,Dedicated Follower Of Fashion
Nick Waterhouse,Katchi
Camper Van Beethoven,Take The Skinheads Bowling
The Beatles,Everybody's Got Something To Hide Except Me and My Monkey
Loamlands,Little River
Sam Cooke,Having A Party
Michael Kiwanuka,Love & Hate
Paul Simon,The Afterlife
The Shins,Dead Alive
Dawg Yawp,Lost At Sea
Creedence Clearwater Revival,Midnight Special
Jim James,Here In Spirit
Darlingside,1979
PJ Harvey,Down By The Water
The Marcus King Band,Ain't Nothing Wrong With That
Talking Heads,Burning Down The House
Kings Of Leon,Waste A Moment
Cake,Frank Sinatra
Beach Slang,Spin The Dial
The xx,On Hold
The Stone Roses,She Bangs The Drums
Chuck Prophet,Bad Year for Rock and Roll
Bash & Pop,On The Rocks
The Who,The Kids Are Alright
Ride,Twisterella
Fujiya & Miyagi,Outstripping (The Speed Of Light)
The Record Company,Off The Ground
Diego Garcia,All Eyes On You
Norah Jones,Flipside
The Frightnrs,Nothing More To Say
The Black Keys,Lonely Boy
Sharon Jones & The Dap-Kings,Inspiration Information
The Band,Acadian Driftwood
The Band,The Last Waltz Suite: The Weight (feat. The Staples)
Julia Jacklin,Elizabeth
Bonnie Raitt,Thank You
Dr. John & Terence Blanchard,Rain
Leon Russell,The Ballad of Mad Dogs and Englishmen
Jan Johansson,A + B
case/lang/veirs,Honey and Smoke
The Band,Furry Sings the Blues (w/ Joni Mitchell & Neil Young)
Agnes Obel,Golden Green
