Artist,Title
Blue Oyster Cult,(Don't Fear) The Reaper
Dawg Yawp,Lost At Sea
Neil Young,Peace Trail
Patti Smith,Gloria
Patti Smith,Gloria
The xx,On Hold
Mumford & Sons,Believe
Amanda Shires,When You're Gone
Red Hot Chili Peppers,Dark Necessities
Damien Rice,Volcano
Joe Cocker,Cry Me A River
Dawes,Roll With The Punches
Barns Courtney,Fire
Chris Isaak,Wicked Game
Brent Cobb,Solving Problems
Cat Stevens,Was Dog A Doughnut?
Ben Arnold,The More Things Change
Ton-Taun,Reasons
Sharon Little,Hole In My Heart
Thought Culture,Forest Fire
The Districts,Lover Lover Lover
Ron Gallo,"Young Lady, You're Scaring Me"
Ron Gallo,Key Studio Session 11/22/16 (pt 1)
Swift Technique,Jay's The Name
Railroad Earth,Chasin' a Rainbow
Christie Lenee,Stay
David Wilson,Railroad Man
The Applejacks,It Don't Happen Overnight
Jose Gonzalez,Heartbeats
Fine Young Cannibals,Johnny Come Home
Jim James,Here In Spirit
Blue Oyster Cult,Born To Be Wild (LIVE)
Heart,Straight On
Dwight Twilley Band,I'm On Fire
Peter Frampton,I Wanna Go To The Sun
Kings Of Leon,Waste A Moment
The Waterboys,Church Not Made With Hands
Wilco,What Light
Leif Vollebekk,All Night Sedans
The Heptones,Mama Say
LL Cool J,Mama Said Knock You Out
David Bowie,Cat People (Putting Out Fire)
The Pretenders,Holy Commotion
B-52's,Love Shack
Carsie Blanton,Ravenous
Joseph,SOS (Overboard)
Sister Sledge,He's The Greatest Dancer
Wilson Phillips,Hold On
Kate & Anna McGarrigle,Kiss And Say Goodbye
Dixie Chicks,Truth No. 2
Dr. John,Goin' Back To New Orleans
Canned Heat,Going Up The Country
Mondo Cozmo,Shine
The English Beat,I Confess
Talking Heads,Pulled Up
Bash & Pop,On The Rocks
Yeasayer,2080
Dawg Yawp,Lost At Sea
Flo Morrissey & Matthew E. White,Look At What The Light Did Now
Sleater-Kinney,Oh!
Honus Honus,Oh No!
Nick Waterhouse,Katchi
The Temptations,Psychedelic Shack
Thundercat,Them Changes
Robert Palmer,You're Gonna Get What's Coming
Ron Gallo,"Young Lady, You're Scaring Me"
Shovels & Rope,I Know
Dawes,Roll With The Punches
Joe Bonamassa,Dust Bowl
Norah Jones,Flipside
Marshall Tucker Band,Can't You See
Sharon Little,Hole In My Heart
Danielia Cotton,It's Only Life
Joseph,SOS (Overboard)
Jerry Butler,Only The Strong Survive
Amanda Shires,When You're Gone
Gomez,See The World
Daft Punk,Fragments of Time
The Rolling Stones,Just Your Fool
Kate Bush,Hounds Of Love
The Civil Wars,Poison & Wine
Valerie June,Astral Plane
Steve Winwood,Night Train
Little Feat,Two Trains
Tracy Chapman,She's Got Her Ticket
Arcade Fire,No Cars Go
The Beatles,Drive My Car
Gary Numan,Airplane
The Hollies,Bus Stop
Leonard Cohen,You Want It Darker
Ramsey Lewis Trio,"The ""In"" Crowd"
Langhorne Slim,Say Yes
K. T. Tunstall,Black Horse & The Cherry Tree
Big Head Todd & The Monsters,Broken Hearted Savior
Solange,Cranes In The Sky
Back Door Slam,It'll All Come Around
The Districts,4th and Roebling
The Districts,Ashes To Ashes
Phoenix,Entertainment
Cream,I Feel Free
Jim James,Here In Spirit
Drive-By Truckers,Used To Be A Cop
Frank Ocean,Pink + White
Sylvan Esso,Radio
The Smithereens,House We Used To Live In
Squeeze,Tempted
B-52's,Legal Tender
The Pretenders,Holy Commotion
Band Of Horses,Casual Party
Middle Kids,Your Love
Patti Smith,People Have The Power
Pearl Jam,Jeremy
Kaiser Chiefs,Hole In My Soul
Kaiser Chiefs,Hole In My Soul
Fiona Apple,Criminal
Pink Floyd,See Emily Play
U2,Sometimes You Can't Make It On Your Own
Cole Redding,Save Me
Darlingside,Go Back
The Blue Nile,Stay
David Gray,Shine
The Revivalists,Wish I Knew You
John Mayer,Love on the Weekend
Queens of the Stone Age,No One Knows
Kings Of Leon,Waste A Moment
Margaret Glaspy,You & I
Sting,I Can't Stop Thinking About You
Dawg Yawp,Lost At Sea
Tower Of Power,What Is Hip
Lettuce,The Love You Left Behind
The Beatles,While My Guitar Gently Weeps
Ron Gallo,"Young Lady, You're Scaring Me"
Warpaint,New Song
The The,Uncertain Smile
Carole King,Where You Lead
Norah Jones,Flipside
Back Door Slam,Come Home
Milky Chance,Cocoon
Mondo Cozmo,Shine
Death Cab For Cutie,No Sunlight
case/lang/veirs,Best Kept Secret
Flo Morrissey & Matthew E. White,Look At What The Light Did Now
Beach Slang,Spin The Dial
Hope Sandoval & The Warm Inventions,Let Me Get There (feat. Kurt Vile)
Michael Kiwanuka,Love & Hate
Michael Kiwanuka,I'm Getting Ready
Tori Amos,Jackie's Strength
Dion,"Abraham, Martin and John"
Rag 'N' Bone Man,Human
Neil Young,Peace Trail
Maggie Rogers,Alaska
Tom Tom Club,Wordy Rappinghood
Nathaniel Rateliff & The Night Sweats,I Need Never Get Old
Rubblebucket,If U C My Enemies
Nick Lowe,She's Got Soul
The Sundays,Here's Where The Story Ends
The Head And The Heart,Rhythm & Blues
Amos Lee,Running Out Of Time
Stevie Wonder,Boogie On Reggae Woman
Jack Johnson,Good People
Phish,Breath and Burning
Annie Lennox,Walking On Broken Glass
The xx,On Hold
The Rolling Stones,Hate To See You Go
Jimi Hendrix,Bold As Love
Coldplay,Shiver
NE-HI,Stay Young
Tears For Fears,Mad World
Red Hot Chili Peppers,Go Robot
