Title,Artist,Year
#1 Hit Song,Minutemen,1984.0
(Every Day Is) Halloween,Ministry,1985.0
(I Just) Died in Your Arms,Cutting Crew,1989.0
(I Love It When You) Call Me Names,Joan Armatrading,1983.0
(I'm The) Teacher,Ian Hunter,1984.0
(It's Not Me) Talking,A Flock Of Seagulls,1981.0
(Just Like) Starting Over,John Lennon,1980.0
(Keep Feeling) Fascination,The Human League,1983.0
(Nothing But) Flowers,Talking Heads,1988.0
(Return To The Valley Of) Out Come The Freaks,Was (Not Was),1983.0
(She Was A) Hotel Detective,They Might Be Giants,1985.0
(She's) Sexy And 17,Stray Cats,1983.0
(Song For My) Sugar Spun Sister,The Stone Roses,1989.0
(We Don't Need This) Fascist Groove Thing,Heaven 17,1986.0
(You Gotta) Fight For Your Right (To Party),Beastie Boys,1987.0
? (Modern Industry),Fishbone,1985.0
"1,000,000 Kisses",Half Japanese,1989.0
10 Don'ts For Honeymooners,The Monochrome Set,1981.0
11 O'Clock Tick Tock,U2,1980.0
12 Bar Blues,NRBQ,1983.0
16 Shells From A Thirty-Ought-Six,Tom Waits,1983.0
19,Paul Hardcastle,1985.0
1999,Prince,1982.0
24,Game Theory,1985.0
24 Hour Party People,Happy Mondays,1987.0
25 O'Clock,The Dukes Of Stratosphear,1985.0
26,Chic,1980.0
3-D Dance,Trans-X,1983.0
4 AM,Herbie Hancock,1980.0
40,U2,1983.0
4th Of July,X,1987.0
5 O'Clock World,Julian Cope,1988.0
500 Miles,The Hooters,1989.0
53 Miles West Of Venus,B-52's,1980.0
7 Nights To Rock,Nick Lowe,1985.0
777-9311,The Time,1982.0
88 Lines About 44 Women,The Nails,1984.0
9 To 5,Dolly Parton,1980.0
96 Tears,Garland Jeffreys,1981.0
99 Luftballoons,Nena,1983.0
(Celebrate) The Day After You,The Blow Monkeys with Curtis Mayfield,1987.0
...And This is What the Devil Does!,My Life With Thrill Kill Kult,1987.0
