Title,Artist
A Life Of Crime,The Weirdos,1985
A Plan Revisited,The Trypes,1982
A Question Of Time,Depeche Mode,1986
Accent on Youth & The Ascent,Ultravox,1981
Ace Of Spades,Motorhead,1980
Addicted To Love,Robert Palmer,1985
Africa,Toto,1982
Alien Boy,Wipers,1980
All Around The World,Lisa Stansfield,1989
All I Want For Christmas,Timbuk 3,1987
Almost,Orchestral Manoeuvres In The Dark,1980
America,Neil Diamond,1980
An Cat Dubh/Into The Heart,U2,1980
Andy Warhol,Generation X,1981
Animal Song,The Europeans,1982
Any Other Woman,Greg Kihn,1989
Armagideon Time,The Clash,1980
Art Party,Sosumi,1988
Arthur's Theme (Best That You Can Do),Christopher Cross,1981
Axel F,Harold Faltermeyer,1984
Baggy Trousers,Madness,1980
Bat Dance,Prince,1989
"Be Near Me 12""",ABC,1985
Beat It Down,Y Pants,1982
