Title,Artist
Don't Know What You've Got (Till It's Gone),Cinderella
Don't Look Any Further,Dennis Edwards
Don't Say No,Lulu Temple
Don't Say That's Just For White Boys,Way Of The West
Don't Talk To Me,Mickey Jupp
"Don't Think Twice, It's Alright",Waylon Jennings
Doowutchalike,Digital Underground
Dream Lover,The Plasmatics
Dream World,Midnight Oil
Driver 8,R. E. M.
Easy Lover,Phillip Bailey
Electric Avenue,Eddie Grant
Energy,Melissa Manchester
Espresso Love,Dire Straits
"Ever Fallen In Love? 12""",Fine Young Cannibals
Everybody's Got Something To Hide Except For Me And My Monkey,The Feelies
Express Myself,Womack & Womack
Express Yourself,N. W. A.
Eyes Of A Stranger,Payola$
Fall On Me,R. E. M.
Fame,Irene Cara
Fear Is Never Boring,The Raisins
Feed Me Your Kiss,My Bloody Valentine
Feelin' Alright,The Jungle Brothers
Feeling Gravity's Pull,R. E. M.
Finest Worksong,R. E. M.
Fireplace,R. E. M.
Five Gears In Reverse,Elvis Costello
Flashdance... What A Feeling,Irene Cara
Food Fight,The Village People
Fool's Gold,The Stone Roses
For Whom The Bell Tolls,Fad Gadget
For Whom The Bell Tolls,Metallica
Free Falling,Tom Petty
Funkin' For Jamaica (NY),Tom Browne
Funkytown,"Lipps, Inc."
Gardening At Night,R. E. M.
Get-A-Job,The English Beat
Gigantic,The Pixies
Give It To Me Baby,Rick James
Green Grow The Rushes,R. E. M.
"Guitar, Talk, Love & Drums",Gary Myrick
Harborcoat,R. E. M.
Have A Little Faith In Me,John Hiatt
He Could Be The One,Josie Cotton
Heart Attack and Vine,Tom Waits
Heat Of The Moment,Asia
Heavenly Peace (Unga no Suimon Akete),C. Memi
Heavy Duty,Spinal Tap
Help You Ann,The Lyres
Henna,Book Of Love
Here Comes Your Man,The Pixies
Here I Am,Lyle Lovett & His Large Band
Here I Go Again,Whitesnake
He's Frank,The Sneetches
Hey,The Pixies
Hey Hey Guy,Ken Laszlo
Hey! DJ,World's Famous Supreme Team Show
Higher Love,Steve Winwood
Hold Me Now,The Thompson Twins
Honky Tonk Woman,The Pogues
Hurt So Good,John Cougar
I Bleed,The Pixies
I Confess,The English Beat
I Look Around,The Rain Parade
I Love A Man In Uniform,Gang Of Four
I Love It Loud,Kiss
I Say Hey,Coati Mundi
"I Send A Message 12""",INXS
I Spy (For The FBI),The Untouchables
I Wanna Live,The Ramones
I Wanna Wanna Wanna Wanna Wanna Wanna Wanna Get Rid Of You,Psycotic Pineapple
I Want To Know What Love Is,Foreigner
"I Want You 12""",Cabaret Voltaire
If You Don't Know Me By Now,Simply Red
If You Want My Love,Cheap Trick
I'll Feel A Whole Lot Better,Tom Petty
In A Big Country,Big Country
In the Name Of Love,The Thompson Twins
In Your Eyes,Peter Gabriel
Indoor Fireworks,Elvis Costello
Islands In the Stream,Dolly Parton & Kenny Rogers
It Ain't Nothing To Me,Tom Petty & The Heartbreakers
It's Like That,Run-DMC
It's The End Of The World As We Know It (And I Feel Fine),R. E. M.
It's Tricky,Run-DMC
Jam Master Jay,Run-DMC
Jerks On 45,The Circle Jerks
Jessie's Girl,Rick Springfield
Jesus At McDonald's,Mojo Nixon & Skid Roper
Juke Box Hero,Foreigner
"July, July",Human Zoo
Jungle Jam,Head Cheese
Junko Partner,The Clash
