Artist,Title,Year
The Mar-Keys,Foxy,1991
Charles Bradley,Changes,2013
Brent Cobb,Solving Problems,2016
Kings Of Leon,Waste A Moment,2016
Dirty Projectors,Stillness Is The Move,2009
Badfinger,No Matter What,1970
Blues Traveler,Run Around,1994
Dawes,When the Tequila Runs Out,2016
Band Of Horses,Casual Party,2016
Chris Stapleton,Tennessee Whiskey,2015
Fujiya & Miyagi,Outstripping (The Speed Of Light),2016
Black Sabbath,Paranoid,1970
Amos Lee,Running Out Of Time,2016
Quilt,Roller,2016
Pete Yorn,Strange Condition,2000
Phish,Breath and Burning,2016
Cayetana,Dirty Laundry,2014
Sheer Mag,Fan The Flames,2015
Balance and Composure,Postcard,2016
Matt Duke,Black Box,2016
The Hooters,Silver Lining,2010
Heart Harbor,"Always, Honey",2016
Good Old War,Amazing Eyes,2012
Justin Roberts,My Brother Did It,2006
Tears For Fears,Shout,1984
The Head And The Heart,Rhythm & Blues,2016
UB40,Red Red Wine,1987
The Kooks,Shine On,2008
Kiss,Flaming Youth,1976
Nazareth,Holiday,1980
The Knack,Frustrated,1979
Al Stewart,Song On The Radio,1978
Dan Fogelberg & Tim Weisberg,Tell Me To My Face,1978
Frank Ocean,Pink + White,2016
Earth Wind & Fire,That's The Way Of The World,1977
Steely Dan,Everyone's Gone To The Movies,1975
Aaron Lee Tasjan,Little Movies,2016
Devo,Whip It,1980
Courtney Barnett,Elevator Operator,2015
Parquet Courts,Berlin Got Blurry,2016
Blondie,Hanging On The Telephone,1978
Warpaint,New Song,2016
Alt-J,Left Hand Free,2014
Gordon Lightfoot,The Wreck of the Edmund Fitzgerald,1976
Guns n Roses,November Rain,1991
Morrissey,November Spawned A Monster,1990
Gorillaz,November Has Come,2005
The Pretenders,Mystery Achievement,1980
Yo La Tengo,Autumn Sweater,1997
Procol Harum,A Whiter Shade Of Pale,1989
The Police,Walking On The Moon,1979
Sting,I Can't Stop Thinking About You,2016
Fleetwood Mac,The Chain,1977
Rachael Yamagata,Over,2008
Brent Cobb,Diggin' Holes,2016
Wild Cub,Thunder Clatter,2013
Seal,Crazy,1990
Leonard Cohen,You Want It Darker,2016
R. E. M.,Catapult,1983
The Shins,Dead Alive,2016
Crosby Stills & Nash,Guinnevere,1969
Good Old War,Broken Into Better Shape,2015
Brandi Carlile,Throw It All Away,2004
Shovels & Rope,I Know,2016
Albert King,Born Under A Bad Sign,1967
Tears For Fears,Sowing The Seeds Of Love,1989
Norah Jones,Flipside,2016
Midnight Oil,Beds Are Burning,1987
Radiohead,Burn The Witch,2016
Telepopmusik,Breathe,2001
Willie Nelson,Just Breathe,2012
David Gilmour,Take A Breath,2006
Quicksilver Messenger Service,Fresh Air,1970
Alexi Murdoch,Breathe,2005
Pearl Jam,Just Breathe,2009
Red Hot Chili Peppers,Go Robot,2016
Nikka Costa,Like A Feather,2001
Yeasayer,2080,2007
Dr. Dog,Bring My Baby Back,2016
Jerry Butler,Only The Strong Survive,1968
Amos Lee,Vaporize,2016
St. Vincent,Teenage Talk,2015
Joseph Arthur,Saint of Impossible Causes,2013
Nite-Funk,Let Me Be Me,2016
Todd Rundgren,All The Children Sing,1978
The Verve,Bittersweet Symphony,1997
Maggie Rogers,Alaska,2016
Ingrid Michaelson,Girls Chase Boys,2014
Ray Lamontagne,Hey No Pressure,2016
The Jam,The Bitterest Pill,1982
Patti Smith,Because The Night,1978
B-52's,Legal Tender,1983
The Rolling Stones,Hate To See You Go,2016
Lydia Loveless,Longer,2016
The Shelters,Rebel Heart,2016
Strand Of Oaks,Shut In,2014
Cheap Trick,Southern Girls,1977
David Gray,Babylon,1998
The Hooters,All You Zombies,1983
Travis,Sing,2001
Karl Blau,To Love Somebody,2016
The Head And The Heart,All We Ever Knew,2016
Teddy Thompson,Wake Up,2000
