Title,Artist,Year
#1 Crush,Garbage,1995
#1 Hit Song,Minutemen,1984
#34,Dave Matthews Band,1994
#41,Dave Matthews Band,1996
#9 Dream,John Lennon,1974
#9 Dream,Jose Gonzalez,2013
#9 Dream,R. E. M.,2007
"$1,000 Wedding",Gram Parsons,1974
(Baby) Hold On,James Hunter Six,2016
(Da Le) Yaleo,Santana,1999
(Divisionary) Do The Right Thing,Ages and Ages,2014
(Do The) Instant Mash,Joe Jackson,1979
(Do The) Push And Pull (Part 1),Rufus Thomas,1990
(Don't Fear) The Reaper,Blue Oyster Cult,1982
(Don't Go Back To) Rockville,R. E. M.,1984
(Don't Worry) If There's A Hell Below,Curtis Mayfield,1970
(Drawing) Rings Around The World,Super Furry Animals,2001
(Every Time I Turn Around) Back In Love Again,L.T.D.,1977
(Find A) Reason To Believe,Rod Stewart,1971
(Get A) Grip (On Yourself),The Stranglers,1977
(Gotta Get) A Meal Ticket,Elton John,1975
(Hep-Hep!) The Jumpin Jive,Cab Calloway,1988
(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,B.J. Thomas,1975
(I Belong To The) Blank Generation,Richard Hell & The Voidoids,1992
(I Can't Get No) Satisfaction,Devo,1978
(I Can't Get No) Satisfaction,The Rolling Stones,1966
(I Could Only) Whisper Your Name,Harry Connick Jr,1993
(I Do) Like We Do,Harry Connick Jr,2015
(I Don't Want To Go To) Chelsea,Elvis Costello,1978
(I Got To) Testify,Eddie Hinton,1991
(I Know) I'm Losing You,Rare Earth,1970
(I Know) I'm Losing You,Rod Stewart,1971
(I Know) I'm Losing You,The Temptations,1966
(I Love It When You) Call Me Names,Joan Armatrading,1983
(I Love The Sound Of) Breaking Glass,Nick Lowe,1978
(If Loving You Is Wrong) I Don't Want To Be Right,Luther Ingram,1972
(If You Let Me Make Love To You Then) Why Can't I Touch You?,Ronnie Dyson,1970
(I'm A) Roadrunner,Jr. Walker & The All-Stars,1965
(I'm Not Your) Steppin' Stone,The Monkees,1966
(I'm The) Teacher,Ian Hunter,1984
(I'm) Stranded,The Saints,1976
(I've Been) Searchin' So Long,Chicago,1974
(I've Had) The Time Of My Life,Bill Medley & Jennifer Warnes,1988
(Just Like) Starting Over,John Lennon,1980
(Keep Feeling) Fascination,The Human League,1983
(Let Me Be Your) Teddy Bear,Elvis Presley,1973
(Looking For) The Heart Of Saturday Night,Tom Waits,1974
(Love Is Like A) Heat Wave,Martha Reeves & The Vandellas,1963
(My Baby Does) Good Sculptures,The Rezillos,1978
(Nice Dream),Radiohead,1995
(Not Just) Knee Deep,Funkadelic,1979
(Nothing But) Flowers,Talking Heads,1988
(Return To The Valley Of) Out Come The Freaks,Was (Not Was),1983
(Shake Shake Shake) Shake Your Booty,KC and the Sunshine Band,1976
(Sittin' On) The Dock Of The Bay,Otis Redding,1984
"(Theme From) New York, New  York",Frank Sinatra,1980
(Theme From) The Monkees,The Monkees,1966
(They Long To Be) Close To You,The Carpenters,1989
(We Ain't Got) Nothin' Yet,The Blues Magoos,1966
(What A) Wonderful World,Sam Cooke,1960
"(What's So Funny 'bout) Peace, Love & Understanding",Elvis Costello,1979
"(What's So Funny 'bout) Peace, Love And Understanding?",Holmes Brothers,2007
(White Man) In Hammersmith Palais,The Clash,1978
(Who Discovered) America?,Ozomatli,2004
(Wish I Could Fly Like) Superman,The Kinks,1979
(You Caught Me) Smilin',Sly & The Family Stone,1971
(You Make Me Feel Like) A Natural Woman,Aretha Franklin,1967
(You Make Me Feel Like) A Natural Woman,Carole King,1971
(You Gotta) Fight For Your Right (To Party),Beastie Boys,1987
(You'll Be) Satisfied,The Subdudes,1994
(Your Love Is Like) Nuclear Waste,Tuff Darts,1978
(Your Love Keeps Lifting Me) Higher And Higher,Jackie Wilson,1967
(You're My) Soul and Inspiration,The Righteous Brothers,1987
(You're) Having My Baby,Paul Anka,1974
10 A.M. Automatic,The Black Keys,2004
10 Rocks,Shelby Lynne,2003
