Title,Artist,Year
Nowhere To Run,Martha & The Vandellas,1965.0
Gepetto,Belly,1992.0
I'm So Excited,The Pointer Sisters,1982.0
Real Love,Mary J. Blige,1992.0
Dreams,Brandi Carlile,2009.0
On & On,Erykah Badu,1997.0
Going Down To Liverpool,Bangles,1984.0
So Emotional,Whitney Houston,1987.0
Choice In The Matter,Aimee Mann,1995.0
He Called Me Baby,Candi Staton,1971.0
What the World Needs Now (Is Love),Dionne Warwick,1967.0
Connection,Elastica,1994.0
Ladies First,Queen Latifah,1989.0
Got Til It's Gone,Janet Jackson,1997.0
Since U Been Gone,Kelly Clarkson,2004.0
The Rain (Supa Dupa Fly),Missy Elliott,1997.0
Smoke Signals,Phoebe Bridgers,2017.0
Wandering Star,Portishead,1994.0
Damn I Wish I Was Your Lover,Sophie B. Hawkins,1992.0
Square Biz,Teena Marie,1980.0
Yes We Can Can,The Pointer Sisters,1973.0
Bury My Lovely,October Project,1993.0
The Glamorous Life,Sheila E,1984.0
Didn't It Rain,Sister Rosetta Tharpe,1958.0
S.O.S.,ABBA,1975.0
Jealousy,Natalie Merchant,1995.0
Lovefool,The Cardigans,1996.0
Maybe,The Chantels,1958.0
Rescue Me,Fontella Bass,1987.0
Get The Party Started,Pink,2002.0
The Power Of Love,Celine Dion,1994.0
From A Distance,Julie Gold,1998.0
Change,Mavis Staples,1970.0
Falling,Julee Cruise,1989.0
Bound For Glory,Tedeschi Trucks Band,2011.0
Shoop,Salt N Pepa,1993.0
Hazy Shade of Winter,Bangles,1985.0
Too Many Fish In The Sea,The Marvelettes,1964.0
Watershed,Indigo Girls,1990.0
You Better Run,Pat Benatar,1980.0
Uptown Top Ranking,Althea & Donna,1986.0
Get Ur Freak On,Missy Elliott,2001.0
Bad Guy,Billie Eilish,2019.0
Just A Little Lovin',Dusty Springfield,1968.0
Pretend We're Dead,L7,1992.0
When The Party's Over,Billie Eilish,2018.0
Have A Heart,Bonnie Raitt,1989.0
Ruler Of My Heart,Irma Thomas,1963.0
Private Life,The Pretenders,1995.0
Is That All There Is?,Peggy Lee,1969.0
Lotta Love,Nicolette Larson,1978.0
Please Mr. Postman,The Marvelettes,1963.0
Strange Things Happen Everyday,Sister Rosetta Tharpe,1996.0
Stormy Weather,Lena Horne,1995.0
Come See About Me,The Supremes,1964.0
I Can't Stand The Rain,Tina Turner,1984.0
Dig Me Out,Sleater-Kinney,1997.0
Fuel,Ani DiFranco,1998.0
Who Will Save Your Soul,Jewel,1994.0
Crimson & Clover,Joan Jett And The Blackhearts,1981.0
Lucky Star,Madonna,1983.0
Over My Head,Fleetwood Mac,1975.0
Society's Child (Baby I've Been Thinking),Janis Ian,1970.0
You Gotta Be,Des'ree,1994.0
Shut Up Kiss Me,Angel Olsen,2016.0
L.E.S. Artistes,Santogold,2008.0
Missing,Everything But the Girl,1996.0
Spiderwebs,No Doubt,1992.0
Sunrise,Norah Jones,2004.0
Then He Kissed Me,The Crystals,1983.0
Time The Avenger,The Pretenders,1984.0
If,Janet Jackson,1984.0
Bam Bam,Sister Nancy,1994.0
Batonga,Angelique Kidjo,1991.0
Somewhere,Barbra Streisand,1985.0
On The Radio,Regina Spektor,2006.0
"Mother, Mother",Tracy Bonham,1996.0
