Title,Artist,Year
Venus,Shocking Blue,1969.0
Brick,Ben Folds Five,1994.0
Sweet Surrender,Sarah McLachlan,1997.0
When The Rainbow Comes,World Party,1990.0
Marlene On The Wall,Suzanne Vega,1985.0
Shake Rattle And Roll,Big Joe Turner,1992.0
Let's Work Together (Parts 1 & 2),Wilbert Harrison,1994.0
Talk Of The Town,The Pretenders,1980.0
I'm Gonna Be (500 Miles),The Proclaimers,1987.0
In The Waiting Line,Zero 7,2001.0
Smooth Operator,Sade,1984.0
Hammond Song,The Roches,1979.0
Trouble,Ray Lamontagne,2004.0
Where It's At,Beck,1996.0
Los Ageless,St. Vincent,2017.0
