Artist,Title,Air Time
The Who,The Real Me,2020-12-15 17:34:00
B-52's,Rock Lobster,2020-12-15 17:27:00
10cc,I'm Not In Love,2020-12-15 17:20:00
Amy Winehouse,Rehab,2020-12-15 17:16:00
Ike & Tina Turner,Proud Mary,2020-12-15 17:11:00
The Rolling Stones,She's A Rainbow,2020-12-15 17:06:00
Led Zeppelin,Immigrant Song,2020-12-15 17:04:00
Bill Withers,Use Me,2020-12-15 17:00:00
Bob Dylan,Knockin' On Heaven's Door,2020-12-15 16:57:00
Love,You Set The Scene,2020-12-15 16:50:00
Yes,Awaken,2020-12-15 16:34:00
The Beatles,A Hard Day's Night,2020-12-15 16:30:00
Todd Rundgren,Hello It's Me,2020-12-15 16:27:00
Cream,Badge,2020-12-15 16:22:00
John Coltrane,Acknowledgement,2020-12-15 16:15:00
Led Zeppelin,The Ocean,2020-12-15 16:08:00
The Allman Brothers,Midnight Rider,2020-12-15 16:05:00
The Rolling Stones,Miss You,2020-12-15 16:00:00
Warren Zevon,Keep Me In Your Heart,2020-12-15 15:56:00
Radiohead,Creep,2020-12-15 15:51:00
Willie Nelson,Always on My Mind,2020-12-15 15:47:00
Marc Cohn,Walking In Memphis,2020-12-15 15:43:00
Tom Petty,Free Falling,2020-12-15 15:36:00
Al Stewart,Year Of The Cat,2020-12-15 15:30:00
The Beach Boys,In My Room,2020-12-15 15:28:00
Bruce Springsteen,The Fever,2020-12-15 15:18:00
The Eagles,Lyin' Eyes,2020-12-15 15:12:00
New Radicals,You Get What You Give,2020-12-15 15:06:00
Rosanne Cash,Seven Year Ache,2020-12-15 15:03:00
Chuck Berry,Maybellene,2020-12-15 15:00:00
The Pixies,Where Is My Mind?,2020-12-15 14:56:00
Link Wray,Rumble,2020-12-15 14:52:00
Tom Petty & The Heartbreakers,The Waiting,2020-12-15 14:48:00
Genesis,The Lamb Lies Down On Broadway,2020-12-15 14:44:00
Led Zeppelin,Going To California,2020-12-15 14:38:00
The Beatles,For No One,2020-12-15 14:36:00
The Left Banke,Walk Away Renee,2020-12-15 14:33:00
Richard Thompson & Teddy Thompson,Persuasion,2020-12-15 14:29:00
Rush,Tom Sawyer,2020-12-15 14:22:00
Chris Stapleton,Tennessee Whiskey,2020-12-15 14:18:00
Mark Ronson,Uptown Funk,2020-12-15 14:10:00
Nina Simone,Sinnerman,2020-12-15 14:00:00
Frank Sinatra,The Way You Look Tonight,2020-12-15 13:56:00
Journey,Don't Stop Believin',2020-12-15 13:50:00
The Rolling Stones,Loving Cup,2020-12-15 13:46:00
Vince Guaraldi Trio,Linus and Lucy,2020-12-15 13:43:00
Jackson Browne,These Days,2020-12-15 13:36:00
Genesis,Firth of Fifth,2020-12-15 13:27:00
Johnny Cash,I Walk The Line,2020-12-15 13:23:00
Elton John,Levon,2020-12-15 13:17:00
Beastie Boys,Sabotage,2020-12-15 13:14:00
Radiohead,Karma Police,2020-12-15 13:10:00
The White Stripes,Seven Nation Army,2020-12-15 13:05:00
Elvis Costello,Watching The Detectives,2020-12-15 13:01:00
Frank Sinatra,Fly Me To The Moon,2020-12-15 12:58:00
New Order,Temptation,2020-12-15 12:51:00
Roy Orbison,Crying,2020-12-15 12:45:00
The Replacements,Bastards Of Young,2020-12-15 12:42:00
The Band,The Night They Drove Old Dixie Down,2020-12-15 12:38:00
The Rolling Stones,Dead Flowers,2020-12-15 12:32:00
Rufus & Chaka Khan,Ain't Nobody,2020-12-15 12:27:00
Crosby Stills & Nash,Wooden Ships,2020-12-15 12:19:00
Tom Petty,Mary Jane's Last Dance,2020-12-15 12:15:00
Crosby Stills Nash & Young,Teach Your Children,2020-12-15 12:12:00
Fleetwood Mac,Rhiannon,2020-12-15 12:06:00
Al Stewart,Roads To Moscow,2020-12-15 11:58:00
The Cure,Lovesong,2020-12-15 11:54:00
The Doors,Riders On The Storm,2020-12-15 11:45:00
The Jayhawks,Blue,2020-12-15 11:42:00
The Replacements,Alex Chilton,2020-12-15 11:36:00
Adele,Make You Feel My Love,2020-12-15 11:33:00
Big Star,September Gurls,2020-12-15 11:30:00
Cream,White Room,2020-12-15 11:25:00
Gloria Gaynor,I Will Survive,2020-12-15 11:22:00
The Zombies,Time Of The Season,2020-12-15 11:16:00
The Clash,The Magnificent Seven,2020-12-15 11:11:00
Eurythmics,Sweet Dreams (Are Made Of This),2020-12-15 11:06:00
The Kinks,Celluloid Heroes,2020-12-15 11:00:00
Marvin Gaye,I Heard It Through The Grapevine,2020-12-15 10:56:00
Bob Dylan,Subterranean Homesick Blues,2020-12-15 10:54:00
Guns n Roses,Sweet Child O' Mine,2020-12-15 10:47:00
Pink Floyd,Us And Them,2020-12-15 10:39:00
Deep Purple,Highway Star,2020-12-15 10:31:00
Robyn,Dancing On My Own,2020-12-15 10:26:00
The Rolling Stones,Let It Bleed,2020-12-15 10:18:00
Coldplay,Fix You,2020-12-15 10:13:00
Big Brother & The Holding Company,Piece Of My Heart,2020-12-15 10:07:00
Bruce Springsteen,I'm On Fire,2020-12-15 10:04:00
Counting Crows,Anna Begins,2020-12-15 10:00:00
The Doobie Brothers,What A Fool Believes,2020-12-15 09:56:00
Fleetwood Mac,Silver Springs,2020-12-15 09:48:00
Pink Floyd,Brain Damage/Eclipse,2020-12-15 09:43:00
Harry Nilsson,Jump Into The Fire,2020-12-15 09:34:00
The Allman Brothers,Ain't Wastin' Time No More,2020-12-15 09:30:00
Bob Dylan with Johnny Cash,Girl From The North Country,2020-12-15 09:27:00
Peter Gabriel,Red Rain,2020-12-15 09:20:00
Psychedelic Furs,Love My Way,2020-12-15 09:17:00
The Rolling Stones,Salt Of The Earth,2020-12-15 09:11:00
The Doors,The End,2020-12-15 08:59:00
Bruce Springsteen,Tenth Avenue Freeze Out,2020-12-15 08:55:00
Leon Russell,A Song For You,2020-12-15 08:48:00
The Eagles,Take It Easy,2020-12-15 08:45:00
AC/DC,Back In Black,2020-12-15 08:41:00
Bruce Springsteen,Darkness On The Edge Of Town,2020-12-15 08:34:00
Phoebe Bridgers,Motion Sickness,2020-12-15 08:31:00
The Beatles,"Here, There And Everywhere",2020-12-15 08:28:00
Bon Iver,Skinny Love,2020-12-15 08:25:00
Dave Matthews Band,Crash Into Me,2020-12-15 08:13:00
The Rolling Stones,Angie,2020-12-15 08:09:00
The Who,Behind Blue Eyes,2020-12-15 08:03:00
The Beach Boys,Sloop John B,2020-12-15 08:00:00
Bob Dylan,Mr. Tambourine Man,2020-12-15 07:54:00
Bob Dylan,Just Like A Woman,2020-12-15 07:45:00
Martha & The Vandellas,Dancing In The Street,2020-12-15 07:42:00
Squeeze,Tempted,2020-12-15 07:38:00
Elton John,Goodbye Yellow Brick Road,2020-12-15 07:33:00
Sugarhill Gang,Rapper's Delight,2020-12-15 07:26:00
Tom Petty & The Heartbreakers,Learning To Fly,2020-12-15 07:22:00
Traffic,John Barleycorn (Must Die),2020-12-15 07:12:00
The Doors,Break On Through,2020-12-15 07:10:00
Elliott Smith,Waltz #2,2020-12-15 07:04:00
Lucinda Williams,Side Of The Road,2020-12-15 07:00:00
Pink Floyd,The Great Gig In The Sky,2020-12-15 06:55:00
The Temptations,Ball Of Confusion,2020-12-15 06:51:00
Etta James,I'd Rather Go Blind,2020-12-15 06:46:00
The Pogues,Fairytale Of New York,2020-12-15 06:41:00
Dire Straits,Tunnel Of Love,2020-12-15 06:31:00
Rufus Wainwright,Hallelujah,2020-12-15 06:27:00
Smashing Pumpkins,1979,2020-12-15 06:22:00
Bruce Springsteen,Atlantic City,2020-12-15 06:14:00
David Bowie,Rock 'N' Roll Suicide,2020-12-15 06:11:00
Guns n Roses,November Rain,2020-12-15 06:00:00
Jimi Hendrix,The Wind Cries Mary,2020-12-15 05:56:00
Leonard Cohen,You Want It Darker,2020-12-15 05:51:00
Radiohead,Idioteque,2020-12-15 05:46:00
U2,Beautiful Day,2020-12-15 05:41:00
Bruce Springsteen,No Surrender,2020-12-15 05:37:00
Sting,Fields Of Gold,2020-12-15 05:34:00
My Morning Jacket,One Big Holiday,2020-12-15 05:27:00
The Outlaws,Green Grass & High Tides,2020-12-15 05:18:00
Bob Dylan,It's Alright Ma (I'm Only Bleeding),2020-12-15 05:08:00
The Clash,(White Man) In Hammersmith Palais,2020-12-15 05:04:00
