ABC,Jackson 5
A Big Hunk O' Love,Elvis Presley
A Boy Named Sue (live),Johnny Cash
A Case Of You,Joni Mitchell
A Certain Girl,Ernie K-Doe
A Certain Girl,Warren Zevon
A Change,Sheryl Crow
A Change Is Gonna Come,Sam Cooke
A Day In The Life,The Beatles
A Deeper Shade Of Soul,Ray Barretto
A Dream Goes On Forever,Todd Rundgren
A Girl Like You,Edwyn Collins
A Girl Like You,The Smithereens
A Good Feelin' To Know,Poco
A Good Idea,Sugar
A Hard Day's Night,The Beatles
A Hard Rain's A-gonna Fall,Bob Dylan
A Hazy Shade Of Winter,Simon & Garfunkel
A Higher Place,Tom Petty
A Little Bit Of Bad,NRBQ
A Little Less Conversation (radio Edit Remix),Elvis Presley & JXL
A Love Bizarre,Michael Hedges
A Man Needs A Maid,Neil Young
A Matter Of Time,Los Lobos
A Million Miles Away,The Plimsouls
A Natural Man,Lou Rawls
A New Life,Jim James
A Salty Dog,Procol Harum
A Shot In The Arm,Wilco
A Sky Full of Stars,Coldplay
A Song For You,Leon Russell
A Spoonful Weighs A Ton,The Flaming Lips
A Taste of Honey,Herb Alpert & The Tijuana Brass
A Teenager In Love,Dion & The Belmonts
A Trick Of The Tail,Genesis
A Well Respected Man,The Kinks
A Whiter Shade Of Pale,Procol Harum
About A Girl,Nirvana
Abracadabra,Steve Miller Band
Absolutely Sweet Marie,Bob Dylan
Absolutely Sweet Marie,Jason & The Scorchers
Acadian Driftwood,The Band
Accidentally In Love,Counting Crows
Accidently Like A Martyr,Warren Zevon
Accidents Will Happen,Elvis Costello
Across 110th Street,Bobby Womack
Across The Great Divide,The Band
Across The Universe,The Beatles
Action Figure Party,Action Figure Party
Adam Raised A Cain,Bruce Springsteen
Adia,Sarah McLachlan
Adventure Of A Lifetime,Coldplay
After Midnight,Eric Clapton
After Midnight,J. J. Cale
After The Gold Rush,k. d. lang
After The Goldrush,Neil Young
Again & Again,The Bird And The Bee
Age Of Consent,New Order
Agent Double-O-Soul,Edwin Starr
Ah Mary,Grace Potter And The Nocturnals
Ah! Leah!,Donnie Iris
Ain't Gwine Whistle Dixie,Taj Mahal
Ain't Hurtin' Nobody,John Prine
Ain't Messin' Around,Gary Clark Jr.
Ain't No Bluesman,Guy Davis
Ain't No Easy Way,Black Rebel Motorcycle Club
Ain't No Love In The Heart Of The City,"Bobby ""Blue"" Bland"
Ain't No Man,The Avett Brothers
Ain't No Mountain High Enough,Marvin Gaye & Tammi Terrell
Ain't No Stoppin' Us Now,McFadden & Whitehead
Ain't No Sunshine,Bill Withers
Ain't No Woman (Like The One I've Got),Four Tops
Ain't Nothin' But A Houseparty,The J. Geils Band
Ain't Nothing But A House Party,The Showstoppers
Ain't Nothing Like The Real Thing,Marvin Gaye & Tammi Terrell
Ain't Nothing Wrong With That,The Marcus King Band
Ain't That A Shame,Fats Domino
Ain't Too Proud To Beg,The Rolling Stones
Ain't Too Proud To Beg,The Temptations
Ain't Wastin' Time No More,The Allman Brothers
Aja,Steely Dan
Alabama,Neil Young
Alabama Getaway,Grateful Dead
Aladdin Sane,David Bowie
Alaska,Maggie Rogers
Albuquerque,Neil Young
Alex Chilton,The Replacements
Alice Childress,Ben Folds Five
Alison,Elvis Costello
Alison Gross,Steeleye Span
Alive,Pearl Jam
Alive Again,Trey Anastasio
Alive And Kicking,Simple Minds
All Along The Watchtower,Bob Dylan
All Along The Watchtower,Jimi Hendrix
All Apologies,Nirvana
All Because Of You,U2
All Come True,World Party
All Day And All Of The Night,The Kinks
All Day Music,War
All Down The Line,The Rolling Stones
All Eyes On You,Diego Garcia
All Four Seasons,Sting
All I Do,Stevie Wonder
All I Need,Air
All I Need,Radiohead
All I Really Want,Alanis Morissette
All I Really Want To Do,Bob Dylan
All I Really Want To Do,The Byrds
All I Wanna Do,Sheryl Crow
All I Want,Joni Mitchell
All I Want,Toad The Wet Sprocket
All Mixed Up,The Cars
All My Love,Led Zeppelin
All My Loving,The Beatles
All Right Now,Free
All She Wants To Do Is Dance,Don Henley
All That Heaven Will Allow,Bruce Springsteen
All The Children Sing,Todd Rundgren
All The Things She Gave Me,The Waterboys
All The Time In The World,The Subdudes
All The Way From Memphis,Mott The Hoople
All The Way To Reno,R. E. M.
All The Young Dudes,Mott The Hoople
All Things Must Pass,George Harrison
All This Time,Sting
All We Ever Knew,The Head And The Heart
All You Need Is Love,The Beatles
All You Zombies,The Hooters
Allison Road,Gin Blossoms
Almost Cut My Hair,Crosby Stills Nash & Young
Almost Saturday Night,Dave Edmunds
Alone,Susan Tedeschi
Alone Again Or,Calexico
Alone Again Or,Love
Already Gone,The Eagles
Always A Friend,Alejandro Escovedo
Always Love,Nada Surf
Always on My Mind,Pet Shop Boys
Always On The Run,Lenny Kravitz
Always Something There To Remind Me,Naked Eyes
America,Prince
American Girl,Tom Petty & The Heartbreakers
American Girls,Counting Crows
