Title,Artist
Baba O'Riley,The Who
Babel,Mumford & Sons
Babies,Pulp
Baby,Robert Bradley's Blackwater Surprise
Baby Blue,Badfinger
Baby Boomerang,T Rex
Baby Did A Bad Bad Thing,Chris Isaak
Baby Don't Go,Sonny & Cher
Baby Don't You Do It,Marvin Gaye
Baby Driver,Simon & Garfunkel
Baby I Can't Please You,Sam Phillips
Baby I Love You,Aretha Franklin
Baby It's You,Smith
Baby It's You,The Shirelles
Baby Lemonade,Syd Barrett
Baby Let's Swing/the Last Thing You Said/don't Tie My Hands,Todd Rundgren
Baby Love,The Supremes
Baby Missiles,The War On Drugs
Baby Please Don't Go,Lightnin' Hopkins
Baby Please Don't Go,Them
Baby Scratch My Back,Slim Harpo
Baby You're A Rich Man,The Beatles
"Baby, I Love You",The Ronettes
"Baby, I Need Your Loving",The Heptones
"Baby, Now That I've Found You",Alison Krauss
"Baby, Now That I've Found You",The Foundations
Babylon,David Gray
Babylon Sisters,Steely Dan
Bachelor Kisses,The Go-Betweens
Back Door Man,Howlin' Wolf
Back Door Man,The Doors
Back Down South,Kings Of Leon
Back In The U. S. S. R.,The Beatles
Back In The USA,Chuck Berry
Back In The USA,MC5
Back In Your Head,Tegan And Sara
Back It Up,Nils Lofgren
Back Off Boogaloo,Ringo Starr
Back On The Chain Gang,The Pretenders
Back On The Train,Phish
Back Stabbers,The O'Jays
Back to Me,Kathleen Edwards
Back To You,John Mayer
Backstreets,Bruce Springsteen
Backwater,Meat Puppets
Bad,U2
Bad Blood,Ryan Adams
Bad Liver And A Broken Heart,Hayes Carll
Bad Luck,Harold Melvin & The Bluenotes
Bad Luck,Social Distortion
Bad Luck Blue Eyes Goodbye,The Black Crowes
Bad Luck City (edit),R. L. Burnside
Bad Luck Streak In Dancing School,Warren Zevon
Bad Moon Rising,Creedence Clearwater Revival
Bad 'N' Ruin,Faces
Bad Reputation,Freedy Johnston
Bad Self Portraits,Lake Street Dive
Bad Sneakers,Steely Dan
Bad Time,The Jayhawks
Bad Year for Rock and Roll,Chuck Prophet
Badge,Cream
Badlands,Bruce Springsteen
Ball And Biscuit,The White Stripes
Ball And Chain,Social Distortion
Ball Of Confusion,Love And Rockets
Ball Of Confusion,Neville Brothers
Ball Of Confusion,The Temptations
Ballad Of A Thin Man,Bob Dylan
Ballad Of A Well-Known Gun,Elton John
Ballad Of Easy Rider,The Byrds
Baltimore,Randy Newman
Band On The Run,Paul McCartney & Wings
Bang A Gong (Get It On),T Rex
Bang The Drum All Day,Todd Rundgren
Barabajagal,Donovan
Bare Trees,Fleetwood Mac
Barely Breathing,Duncan Sheik
Bargain,The Who
Barton Hollow,The Civil Wars
Bastards Of Young,The Replacements
Batonga,Angelique Kidjo
Battle Of Evermore,Led Zeppelin
Battle Of Who Could Care Less,Ben Folds Five
Be Careful With A Fool,Johnny Winter
Be My Baby,The Ronettes
Be My Yoko Ono,Barenaked Ladies
Be Nice To Me,Todd Rundgren
Be OK,Ingrid Michaelson
Be Thankful For What You Got,Massive Attack
Be Thankful For What You Got,William DeVaughn
Beast Of Burden,Buckwheat Zydeco
Beast Of Burden,The Rolling Stones
Beat Surrender,The Jam
Beautiful Day,U2
Beautiful World,Devo
Beauty And The Beast,David Bowie
Be-Bop-A-Lula,Gene Vincent
Because,The Beatles
Because Of Her Beauty,Karl Denson's Tiny Universe
Because The Night,Patti Smith
Beck's Bolero,Jeff Beck
Beds Are Burning,Midnight Oil
Beechwood 4-5789,The Marvelettes
Been Caught Stealing,Jane's Addiction
Been There Done That,Brian Eno and John Cale
Beeswing,Richard Thompson
Before They Make Me Run,The Rolling Stones
Before You Accuse Me,Eric Clapton
Beg Steal or Borrow,Ray Lamontagne & The Pariah Dogs
Beginning To See The Light,The Velvet Underground
Beginnings,Chicago Transit Authority
Behind Blue Eyes,The Who
Behind The Wall Of Sleep,The Smithereens
Being For The Benefit Of Mr. Kite!,The Beatles
Belief,John Mayer
Believe,Lenny Kravitz
Believe,Mumford & Sons
Bell Bottom Blues,Derek & The Dominos
Bellbottoms,Jon Spencer Blues Explosion
Benedictus,Strawbs
Bennie and the Jets,Elton John
Berlin Got Blurry,Parquet Courts
Bermuda Triangle,Fleetwood Mac
Bernadette,Four Tops
Bertha,Grateful Dead
Best Kept Secret,case/lang/veirs
Betcha By Golly Wow,The Stylistics
Better Days,Edward Sharpe & The Magnetic Zeros
Better Man,Leon Bridges
Better Man,Pearl Jam
Better Than,John Butler Trio
Better Things,The Kinks
Big Bird,Eddie Floyd
Big Boss Man,Holmes Brothers
Big Boss Man,Jimmy Reed
Big Chief,Dr. John
Big Decisions,My Morning Jacket
Big Electric Cat,Adrian Belew
Big Enough,Keith Richards
Big Ideas,LCD Soundsystem
Big Lie Small World,Sting
Big Log,Robert Plant
Big Me,Foo Fighters
Big Parade,The Lumineers
Big River,Johnny Cash
Big Sky Country,Chris Whitley
Big Time,Peter Gabriel
Big Time Sensuality,Bjork
Big Yellow Taxi,Joni Mitchell
Bigger Than My Body,John Mayer
Bigmouth Strikes Again,The Smiths
Biko,Peter Gabriel
Biloxi,Hiss Golden Messenger
Biloxi,Ted Hawkins
Bird Of Prey,Natalie Prass
Birdhouse In Your Soul,They Might Be Giants
Birdland,Weather Report
Birthday,Sugarcubes
Bitch,The Rolling Stones
Bits And Pieces,Dave Clark Five
Bittersweet,Big Head Todd & The Monsters
Bittersweet Me,R. E. M.
Bittersweet Symphony,The Verve
Bizarre Love Triangle,Frente
Bizarre Love Triangle,New Order
Black,Pearl Jam
Black And White,Parquet Courts
Black Cadillac,Rosanne Cash
Black Coffee In Bed,Squeeze
Black Cow,Steely Dan
Black Friday,Steely Dan
Black Gold,Soul Asylum
Black Hearted Woman,The Allman Brothers
Black Horse & The Cherry Tree,K. T. Tunstall
Black Is Black,Los Bravos
Black Magic Woman/gypsy Queen,Santana
Black Mirror,Arcade Fire
Black Sun,Death Cab For Cutie
Black Water,The Doobie Brothers
Blackbird,Brad Mehldau
Blackbird,The Beatles
Blackbirds,Erin McKeown
Blame It On Cain,Elvis Costello
Blame It On Me,George Ezra
Blank Generation,Richard Hell & The Voidoids
Blasphemous Rumors,Depeche Mode
Blind,Talking Heads
Blinded By The Light,Bruce Springsteen
Blister In The Sun,Violent Femmes
Blitzkrieg Bop,The Ramones
Block Rockin' Beats,Chemical Brothers
Blood & Roses,The Smithereens
Bloodbuzz Ohio,The National
Bloody Well Right,Supertramp
Blue,Joni Mitchell
Blue,The Jayhawks
Blue Eyes Crying In The Rain,Willie Nelson
Blue Jay Way,The Beatles
Blue Letter,Fleetwood Mac
Blue Monday,New Order
Blue Money,Van Morrison
Blue Rose,Lizz Wright
Blue Skies,Willie Nelson
Blue Sky,The Allman Brothers
Blue Suede Shoes,Carl Perkins
Blue Suede Shoes,Elvis Presley
Blue Telescope,John Hiatt
Blueberry Hill,Fats Domino
Bluebird,Buffalo Springfield
Bluebird,Paul McCartney & Wings
Blues Ain't Nothing,Taj Mahal
Blues Beach,Steely Dan
Blues Go Walking,Greg Brown
Blues Music,G Love & Special Sauce
Blues Power,Eric Clapton
Bo Diddley,Bo Diddley
Bobby Jean,Bruce Springsteen
Bodhisattva,Steely Dan
Body Movin',Beastie Boys
Bohemian Like You,The Dandy Warhols
Bohemian Rhapsody,Queen
Bold As Love,Jimi Hendrix
Bombs Away,Bob Weir
Bonfires Burning,The Origin
Bonnie & Clyde,Serge Gainsbourg & Brigitte Bardot
Bony Moronie,Larry Williams
Boogie Chillen,John Lee Hooker
Boogie Down,Eddie Kendricks
Boogie Nights,Heatwave
Boogie On Reggae Woman,Stevie Wonder
Boogie With Stu,Led Zeppelin
Book Of Days,Enya
Book Of Rules,The Heptones
Boom Boom,John Lee Hooker
Boom Boom Mancini,Warren Zevon
"Boom, Boom Out Goes The Light",Little Walter
"Boom, Like That",Mark Knopfler
Boombox,Mosquitos
Border Radio,The Blasters
Border Song,Elton John
Border Town,The Souther-Hillman-Furay Band
Borderline,Madonna
Born At The Right Time,Paul Simon
Born In Chicago,Paul Butterfield Blues Band
Born In The USA,Bruce Springsteen
Born On The Bayou,Creedence Clearwater Revival
Born To Run,Bruce Springsteen
Born Too Late,Steve Forbert
Born Under A Bad Sign,Albert King
Born Under Punches (the Heat Goes On),Talking Heads
Bottle Of Blues,Beck
Bottom of the River,Delta Rae
Boulevard,Jackson Browne
Bouncing Around The Room,Phish
Bound For Glory,Tedeschi Trucks Band
Bouree,Jethro Tull
Box Full Of Letters,Wilco
Box Of Rain,Grateful Dead
Boy With A Coin,Iron And Wine
Boyfriend,Best Coast
Boys,The Beatles
Boys Don't Cry,The Cure
Boys in the Street,Greg Holden
Brace For Impact,Sturgill Simpson
Brand New Cadillac,The Clash
Brand New Day,Sting
Brand New Key,Melanie
Brand New World,Black Uhuru
Brass Buttons,Gram Parsons
Brass In Pocket,The Pretenders
Break On Through,The Doors
Breakdown,Jack Johnson
Breakdown,Tom Petty & The Heartbreakers
Breakfast In America,Supertramp
Breakfast In Bed,UB40
Breaking Glass,David Bowie
Breaking The Girl,Red Hot Chili Peppers
Breaking Us In Two,Joe Jackson
Breath and Burning,Phish
Breathe Me,Sia
Brick,Ben Folds Five
Brick House,The Commodores
Bright Lights,Gary Clark Jr.
Bright Lights Big City,Jimmy Reed
Bright Lit Blue Skies,Ariel Pink's Haunted Graffiti
Bright Side Of The Road,Van Morrison
Brill Bruisers,The New Pornographers
Brilliant Disguise,Bruce Springsteen
Brimful Of Asha,Cornershop
Bring It On Home,Sonny Boy Williamson
Bring It On Home To Me,Sam Cooke
Bring Me Some Water,Koko Taylor
Bring My Baby Back,Dr. Dog
Broken Arrow,Buffalo Springfield
Broken English,Marianne Faithfull
Broken Heart,Dr. Dog
Broken Hearted Savior,Big Head Todd & The Monsters
Brother Louie,Stories
Brown Eyed Girl,Van Morrison
Brown Sugar,The Rolling Stones
Bruised Orange,John Prine
Bubble Toes,Jack Johnson
Budapest,George Ezra
Buddy Holly,Weezer
Buddy X,Neneh Cherry
Buena,Morphine
Buffalo Soldier,Bob Marley & The Wailers
Buffalo Stance,Neneh Cherry
Build Me Up Buttercup,The Foundations
Building A Mystery,Sarah McLachlan
Bullet And A Target,Citizen Cope
Bullet The Blue Sky,U2
Bungle In The Jungle,Jethro Tull
Burn Down The Mission,Elton John
Burn The Witch,Radiohead
Burned,Buffalo Springfield
Burning Down The House,Talking Heads
Burning Love,Elvis Presley
Burning Photographs,Ryan Adams
Bus Stop,The Hollies
Business Time,Flight Of The Conchords
Busted,Ray Charles
Buster Voodoo,Rodrigo Y Gabriela
Busting Up A Starbucks,Mike Doughty
But Anyway,Blues Traveler
But It's Alright,J. J. Jackson
By The Time I Get To Phoenix,Glen Campbell
Bye Bye Love,The Cars
Bye Bye Love,The Everly Brothers
