D.I.Y.,Peter Gabriel
D. J.,David Bowie
Da Da Da,Trio
Daft Punk Is Playing In My House,LCD Soundsystem
Damaged Goods,Gang Of Four
Damn Right I've Got The Blues,Buddy Guy
Dance (pt.1),The Rolling Stones
Dance Away,Roxy Music
Dance Hall Days,Wang Chung
Dance Little Sister,The Rolling Stones
Dance Naked,John Mellencamp
Dance Sister Dance,Santana
Dance The Night Away,The Mavericks
Dance To The Music,Sly & The Family Stone
Dance With Me,Old 97's
Dancin' Fool,Frank Zappa
Dancin' In The Streets,Grateful Dead
Dancin' With Myself,Billy Idol
Dancing Barefoot,Patti Smith
Dancing Days,Led Zeppelin
Dancing In The Dark,Bruce Springsteen
Dancing In The Moonlight,King Harvest
Dancing In The Moonlight,Thin Lizzy
Dancing In The Streets,Martha & The Vandellas
Dancing Queen,Abba
Dancing With Mr. D,The Rolling Stones
Dancing With Myself,Generation X
Dandelion,The Rolling Stones
Danger Man,David Bromberg
Dani California,Red Hot Chili Peppers
Daniel,Elton John
Danny's All-star Joint,Rickie Lee Jones
Dark Horse,George Harrison
Dark Necessities,Red Hot Chili Peppers
Dark Star,Crosby Stills & Nash
Dark Star,Polica
Darkness Darkness,The Youngbloods
Darkness On The Edge Of Town,Bruce Springsteen
Darlin',The Beach Boys
Darlington County,Bruce Springsteen
Dashboard,Modest Mouse
Daughter,Pearl Jam
Daughters,John Mayer
Dawned On Me,Wilco
Day After Day,Badfinger
Day Of The Eagle,Robin Trower
Day Or Night,Little Feat
Day Tripper,Otis Redding
Day Tripper,The Beatles
Daylight Fading,Counting Crows
Days Like This,Van Morrison
Daysleeper,R. E. M.
Dazed And Confused,Led Zeppelin
Deacon Blues,Steely Dan
Dead Flowers,The Rolling Stones
Dead Fox,Courtney Barnett
Dead Man's Curve,Jan & Dean
Dead Skunk,Loudon Wainwright III
Deal,Jerry Garcia
Dear Eloise,The Hollies
Dear God,XTC
Dear God (Sincerely M.O.F.),Monsters of Folk
Dear Mr. Fantasy,Traffic
Dear Prudence,Siouxsie & The Banshees
Dear Prudence,The Beatles
Dearly Departed,Shakey Graves
Death or Glory,The Clash
Debaser,The Pixies
Debonair,The Afghan Whigs
Dedicated Follower Of Fashion,The Kinks
Dedicated To The One I Love,The Mamas & The Papas
Deeper Shade Of Soul,Urban Dance Squad
Default,Django Django
