Title,Artist
Galileo,Indigo Girls
Games People Play,Bob Andy
Games People Play,The Spinners
Games Without Frontiers,Peter Gabriel
Gardenia,Iggy Pop
Gasoline Alley,Rod Stewart
Generals & Majors,XTC
Genius Of Love,Tom Tom Club
Gentleman,The Afghan Whigs
Georgia On My Mind,Willie Nelson
Gepetto,Belly
Getaway,Earth Wind & Fire
Get Back,The Beatles
Get Back Temptation,Ollabelle
Get Innocuous,LCD Soundsystem
Get It While You Can,Howard Tate
Get It While You Can,Janis Joplin
Get Lucky,Daft Punk
"Get Me Away From Here, I'm Dying",Belle & Sebastian
Get Miles,Gomez
Get Myself Arrested,Gomez
Get Off Of My Cloud,The Rolling Stones
Get Off This,Cracker
Get On The Good Foot,James Brown
Get On Up,The Esquires
Get Out Of My Life Woman (feat. Billy Gibbons & Allen Toussaint),Will Lee
Get Out Of This House,Shawn Colvin
Get Out The Map,Indigo Girls
Get Rhythm,Johnny Cash
Get Rhythm,NRBQ
Get Right With God (remix),Lucinda Williams
Get The Funk Out Ma Face,Brothers Johnson
Get Together,The Youngbloods
Get Up Offa That Thing,James Brown
"Get Up, Stand Up",Bob Marley & The Wailers
Gettin' In Tune,The Who
Getting Better,The Beatles
Getting Ready To Get Down,Josh Ritter
Ghost Town,The Specials
Giant Steps,John Coltrane
Gideon,My Morning Jacket
Gigantic,The Pixies
Gimme Little Sign,Brenton Wood
Gimme Shelter,The Rolling Stones
Gimme Some Lovin',The Spencer Davis Group
Gimme Sympathy,Metric
Gin & Juice,Snoop Dogg
Girl,Beck
Girl,The Beatles
Girl From The North Country,Bob Dylan
Girl Is On My Mind,The Black Keys
Girl Of My Dreams,Bram Tchaikovsky
Girl U Want,Devo
"Girl, You'll Be A Woman Soon",Neil Diamond
"Girl, You'll Be A Woman Soon",Urge Overkill
Girlfriend,Matthew Sweet
Girlfriend Is Better,Talking Heads
Girls And Boys,Blur
Girls Chase Boys,Ingrid Michaelson
Girls In Their Summer Clothes,Bruce Springsteen
Girls Just Want To Have Fun,Cyndi Lauper
Girls On Film,Duran Duran
Give A Little Bit,Supertramp
Give Back The Key To My Heart,Uncle Tupelo
Give It Away,Red Hot Chili Peppers
Give It To Me,The J. Geils Band
Give It Up,Etta James
Give It Up Or Let Me Go,Bonnie Raitt
Give It Up Or Turn It A Loose,James Brown
Give Me An Inch,Robert Palmer
Give Me Just A Little More Time,Chairmen Of The Board
Give Me Love,George Harrison
Give Me One Reason,Tracy Chapman
Give Peace A Chance,John Lennon
Give Up The Funk (Tear The Roof Off The Sucker),Parliament
Givin' It Up For Your Love,Delbert McClinton
Giving Up The Gun,Vampire Weekend
Glad / Freedom Rider,Traffic
Glad All Over,Dave Clark Five
Glad And Sorry,Faces
Glad Girls,Guided By Voices
Glass Onion,The Beatles
Glendale Train,New Riders Of The Purple Sage
Gloria,Patti Smith
Gloria,Them
Gloria,U2
Glory Days,Bruce Springsteen
Glorified G,Pearl Jam
Go All The Way,The Raspberries
Go Back,Darlingside
Go Now,The Moody Blues
Go Out,Blur
Go Robot,Red Hot Chili Peppers
Go To The Mardi Gras,Professor Longhair
Go Your Own Way,Fleetwood Mac
God,John Lennon
God Gave Rock And Roll To You,Argent
God Only Knows,The Beach Boys
God Put A Smile On Your Face,Coldplay
God Save The Queen,The Sex Pistols
Goin' Back,Nils Lofgren
Goin' Back To New Orleans,Dr. John
Goin' Down To Laurel,Steve Forbert
Going Back To Georgia,Nanci Griffith
Going Down,Freddie King
Going Down,Jeff Beck
Going Down To Liverpool,Bangles
Going For The One,Yes
Going In The Right Direction,Robert Randolph & The Family Band
Going Mobile,The Who
Going To A Go-Go,Smokey Robinson & The Miracles
Going To California,Led Zeppelin
Going To The Country,Bruce Cockburn
Going To The Country,Steve Miller Band
Going To Town,The Afghan Whigs
Going Underground,The Jam
Going Up The Country,Canned Heat
"Going, Going, Gone",Bob Dylan
Gold Lion,Yeah Yeah Yeahs
Gold On The Ceiling,The Black Keys
Gold Soundz,Pavement
Golden,My Morning Jacket
Golden Age,TV On The Radio
Golden Brown,The Stranglers
Gold Dust Woman,Fleetwood Mac
Golden Lady,Stevie Wonder
Golden Slumbers,The Beatles
Golden Years,David Bowie
Goldfinger,Shirley Bassey
Gone At Last,Paul Simon
Gone Daddy Gone,Violent Femmes
Gone Gone Gone,Bad Company
"Gone, Gone, Gone (Done Moved On)",Robert Plant & Alison Krauss
Gonna Be Some Changes Made,Bruce Hornsby
Gonna Change My Way Of Thinking,Bob Dylan
Gonna Get Ya,Pete Townshend
Gonna Move,Susan Tedeschi
Goo Goo Muck,The Cramps
Good Bye Daughters Of The Revolution,The Black Crowes
Good Day Sunshine,The Beatles
Good Enough,Bonnie Raitt
Good Enough,Sarah McLachlan
Good Golly Miss Molly,Little Richard
Good Guys And Bad Guys,Camper Van Beethoven
Good Lovin',Grateful Dead
Good Morning Good Morning,The Beatles
Good Morning Little School Girl,Muddy Waters
Good Music,The Roots
Good People,Jack Johnson
Good Rockin' Daddy,Etta James
Good Rockin' Tonight,Wynonie Harris
Good Rocking Tonight,Roy Brown
Good Shepherd,Jefferson Airplane
Good Thing,Fine Young Cannibals
Good Times Roll,The Cars
"Good Times, Bad Times",Led Zeppelin
Good Vibrations,The Beach Boys
Goodbye,The Sundays
Goodbye Stranger,Supertramp
Goodbye Yellow Brick Road,Elton John
Goodbye's All We've Got Left,Steve Earle
Goodnight Moon,Shivaree
Goodnight Rose,Ryan Adams
Goody Two Shoes,Adam Ant
Goshen '97,Strand Of Oaks
Got Nuffin,Spoon
Got To Get You Into My Life,Earth Wind & Fire
Got To Get You Into My Life,The Beatles
Got To Give It Up,Marvin Gaye
Gotta Get Away,The Black Keys
Gotta Get Back,Shelby Lynne
Gotta Get Up,Harry Nilsson
Gotta Jibboo,Phish
Gotta Serve Somebody,Bob Dylan
Grace,Jeff Buckley
Grace for Saints and Ramblers,Iron And Wine
Graceland,Paul Simon
Gravity,John Mayer
Gravity Fails,The Bottle Rockets
Great Balls Of Fire,Jerry Lee Lewis
Great Big Love,Bruce Cockburn
Green Earrings,Steely Dan
Green-Eyed Lady,Sugarloaf
Green Garden,Laura Mvula
Green Grass & High Tides,The Outlaws
Green Onions,Booker T. & The MG's
Green River,Creedence Clearwater Revival
Green Tambourine,The Lemon Pipers
Greetings To The New Brunette,Billy Bragg
Groove Me,King Floyd
Groovin',The Young Rascals
Growing Up,Bruce Springsteen
Guesthouse,David Wax Museum
Guinnevere,Crosby Stills & Nash
Guitar Town,Steve Earle
"Guitars, Cadillacs",Dwight Yoakam
Gunpowder,Black Joe Lewis & The Honeybears
Gypsy,Fleetwood Mac
Gypsy In Me,Bonnie Raitt
Gypsy Woman,The Impressions
