H Gang,Donald Fagen
Had Me A Real Good Time,Faces
Haitian Divorce,Steely Dan
Half A Boy And Half A Man,Nick Lowe
Half Acre,Hem
Half Moon,Janis Joplin
Hallelujah,Jeff Buckley
Hallelujah,Leonard Cohen
Hallelujah,Rufus Wainwright
Hallelujah I Love Her So,Ray Charles
Hammer And A Nail,Indigo Girls
Hand Of Fate,The Rolling Stones
Handbags And Gladrags,Rod Stewart
Handle With Care,Traveling Wilburys
Hands Open,Snow Patrol
Handshake Drugs,Wilco
Hang Fire,The Rolling Stones
Hang Loose,Alabama Shakes
Hang Me Up To Dry,Cold War Kids
Hang On To Your Love,Sade
Hang Onto Yourself,David Bowie
Hang Tough,Crescent City Gold
Hangin' Around,Counting Crows
Hanging On The Telephone,Blondie
Hanging On The Telephone,The Nerves
Happiness Is A Warm Gun,The Beatles
Happiness Is Just Around The Bend,Brian Auger's Oblivion Express
Happy,Pharrell Williams
Happy,The Rolling Stones
Happy Jack,The Who
Happy Time,Tim Buckley
Happy Together,The Turtles
Hard Sun,Eddie Vedder
Hard Times,Boz Scaggs
Hard Times,John Legend & The Roots
Hard Times,Ryan Bingham
Hard To Be,The Vaughan Brothers
Hard to Handle,Otis Redding
Hard to Handle,Patti Drew
Hard to Handle,The Black Crowes
Hard to Handle,Toots Hibbert
Harlem Country Girl,Olu Dara
Harvest Moon,Neil Young
Hasten Down The Wind,Warren Zevon
Hate To See You Go,The Rolling Stones
Have A Cigar,Pink Floyd
Have A Heart,Bonnie Raitt
Have A Little Faith In Me,John Hiatt
Have I The Right,The Honeycombs
Have You Ever Loved A Woman,Derek & The Dominos
Have You Seen Her,The Chi-Lites
Have You Seen Your Mother Baby?,The Rolling Stones
Having A Party,Sam Cooke
He Mandu,Mouth Music
He Was Really Sayin' Somethin',The Velvelettes
Head Home,Midlake
Head On,The Jesus And Mary Chain
Head On,Man Man
Head Like A Hole,Nine Inch Nails
Head Over Heels,JD McPherson
Head Over Heels,Tears For Fears
Head Over Heels,The Go Gos
Heading For The Light,Traveling Wilburys
Headlines,Drake
Heart Full Of Soul,The Yardbirds
Heart Like A Wheel,Kate & Anna McGarrigle
Heart Of Glass,Blondie
Heart Of Gold,Neil Young
Heart Of Stone,The Allman Brothers
Heart Of The Sunrise,Yes
Heartache Tonight,The Eagles
Heartbeat,King Crimson
Heartbeat,Psychedelic Furs
Heartbeats,Jose Gonzalez
Heartbreak A Stranger,Bob Mould
Heartbreak Beat,Psychedelic Furs
Heartbreak Hotel,Elvis Presley
Heartbreaker,Grand Funk Railroad
Heartbreaker,Led Zeppelin
Heart-Shaped Box,Nirvana
Heat Treatment,Graham Parker
Heaven,Los Lonely Boys
Heaven,Psychedelic Furs
Heaven,The Walkmen
Heaven Beside You,Alice In Chains
Heaven Is In Your Mind,Traffic
Heaven Knows I'm Miserable Now,The Smiths
Heaven Is A Zillion Light Years Away,Stevie Wonder
Heaven Right Here,Jeb Loy Nichols
Heavenly Day,Patty Griffin
Heavenly Pop Hit,The Chills
Heavy Metal Drummer,Wilco
Heavy Things,Phish
Hejira,Joni Mitchell
Helen Wheels,Paul McCartney & Wings
Helena Beat,Foster The People
Hell,Squirrel Nut Zippers
Hell In A Bucket,Grateful Dead
Hello,Adele
Hello Goodbye,The Beatles
Hello In There,John Prine
Hello It's Me,Todd Rundgren
Hello Mary Lou,Rick Nelson
Hello Old Friend,Eric Clapton
"Hello, I Love You",The Doors
Help,The Beatles
Help Me,Joni Mitchell
"Help Me, Rhonda",The Beach Boys
Help Me Thru The Night,Joe Walsh
Helpless,Crosby Stills Nash & Young
Helplessly Hoping,Crosby Stills & Nash
Helplessness Blues,Fleet Foxes
Helter Skelter,The Beatles
Her Favorite Song,Mayer Hawthorne
Her Majesty,The Beatles
Hercules,Aaron Neville
Here Come Those Tears Again,Jackson Browne
Here Comes My Girl,Tom Petty & The Heartbreakers
Here Comes The Groom,John Wesley Harding
Here Comes The Night,Them
Here Comes The Rain Again,Eurythmics
Here Comes The Sun,Richie Havens
Here Comes The Sun,The Beatles
Here Comes Your Man,The Pixies
Here I Am,Lyle Lovett & His Large Band
Here I Am (Come And Take Me),Al Green
Here In Spirit,Jim James
Here Without You,Gene Clark
"Here, There And Everywhere",The Beatles
Here's Where The Story Ends,The Sundays
Hero In Me,Jeffrey Gaines
Hero Takes A Fall,Bangles
Heroes,David Bowie
Heroes Are Hard To Find,Fleetwood Mac
Heros And Villains,The Beach Boys
He's Mistra Know It All,Stevie Wonder
He's So Fine,The Chiffons
Hey Bo Diddley,Bo Diddley
Hey Bulldog,The Beatles
Hey Hey What Can I Do,Led Zeppelin
"Hey Hey, My My (Into the Black)",Neil Young
Hey Jane,Spiritualized
Hey Jealousy,Gin Blossoms
Hey Joe,Jimi Hendrix
Hey Jude,The Beatles
Hey Jude,Wilson Pickett
Hey Ladies,Beastie Boys
Hey Negrita,The Rolling Stones
Hey Nineteen,Steely Dan
Hey No Pressure,Ray Lamontagne
Hey Now,Talking Heads
Hey Pocky Way,Neville Brothers
Hey There Lonely Girl,Eddie Holman
Hey Tonight,Creedence Clearwater Revival
Hey Western Union Man,Jerry Butler
Hey You,Pink Floyd
"Hey, Soul Sister",Train
Hi Hi Hi,Paul McCartney & Wings
Hickory Wind,The Byrds
Hide and Seek,Imogen Heap
Hide It Away,Richard Thompson
High,The Cure
High And Dry,Radiohead
High By The Beach,Lana Del Rey
High Lonesome,The Gaslight Anthem
High Time We Went,Joe Cocker
Higher Ground,Blind Boys Of Alabama
Higher Ground,Stevie Wonder
Higher Love,Steve Winwood
Highway 61 Revisited,Bob Dylan
Highway 61 Revisited,Johnny Winter
Highway Patrolman,Bruce Springsteen
Hip Hug-Her,Booker T. & The MG's
Hissing Of Summer Lawns,Joni Mitchell
History Eraser,Courtney Barnett
Hit Me With Your Rhythm Stick,Ian Dury & The Blockheads
Hit The Ground Running,Jonny Lang
Hit The Road Jack,Ray Charles
Hitchcock Railway,Joe Cocker
Hitchhike,Marvin Gaye
Hitchin' A Ride,Vanity Fare
Hitsville U.k.,The Clash
Ho Hey,The Lumineers
Hockey Skates,Kathleen Edwards
Hocus Pocus,Focus
Hoedown,Emerson Lake & Palmer
"Hold It Now, Hit It",Beastie Boys
Hold Me Now,The Thompson Twins
Hold On,Alabama Shakes
Hold On,Ian Gomm
Hold On,K. T. Tunstall
Hold On,Sarah McLachlan
Hold On,Steve Winwood
"Hold On, Hold On",Neko Case
"Hold On, I'm Comin'",Sam & Dave
Hold Out,Jackson Browne
Hold Your Head Up,Argent
Holdin' On To Black Metal,My Morning Jacket
Holdin' On To Yesterday,Ambrosia
Holding On For Life,Broken Bells
Holiday,Vampire Weekend
Holiday Inn,Elton John
Holiday Road,Lindsey Buckingham
Hollywood,Boz Scaggs
Hollywood,Red Hot Chili Peppers
Hollywood Forever Cemetary Sings,Father John Misty
Holocene,Bon Iver
Holy Commotion,The Pretenders
Home,Edward Sharpe & The Magnetic Zeros
Home,Karla Bonoff
Home,LCD Soundsystem
Home,Marc Broussard
Home,Zero 7
Home (Leave The Lights On),Field Report
Homegrown,Neil Young
Homeward Bound,Simon & Garfunkel
Homework,Otis Rush
Honaloochie Boogie,Mott The Hoople
Honest With Me,Bob Dylan
Honey And The Moon,Joseph Arthur
Honey Pie,The Beatles
Hong Kong Garden,Siouxsie & The Banshees
Honky Cat,Elton John
Honky Tonk Woman,The Pogues
Honky Tonk Women,The Rolling Stones
Hoodoo Voodoo,Billy Bragg & Wilco
Hook,Blues Traveler
Hooky Junk,The Gourds
Hope,Jack Johnson
Hope In A Hopeless World,Widespread Panic
Hope You're Feeling Better,Santana
Horchata,Vampire Weekend
Hot Burrito #1,The Flying Burrito Brothers
Hot Burrito #2,The Flying Burrito Brothers
Hot Fun In The Summertime,Sly & The Family Stone
Hot Pants,James Brown
Hot Rod Lincoln,Commander Cody & His Lost Planet Airmen
Hot Smoke & Sassafrass,Bubble Puppy
Hot Stuff,The Rolling Stones
Hot Summer Day,It's A Beautiful Day
Hotel California,Gipsy Kings
Hotel California,The Eagles
Hotel Illness,The Black Crowes
Hots For The Smarts~,Richard Thompson
Hound Dog,Elvis Presley
Hounds Of Love,Kate Bush
House,Psychedelic Furs
House Of The Rising Sun,The Animals
House We Used To Live In,The Smithereens
Houses In Motion,Talking Heads
Houses Of The Holy,Led Zeppelin
How Can You Live In The Northeast?,Paul Simon
How Can You Mend A Broken Heart,Bee Gees
How Can You Mend A Broken Heart,Al Green
How Come,Ray Lamontagne
How Come You Never Go There,Feist
How Deep Is Your Love,Bee Gees
How Deep Is Your Love?,Jonatha Brooke
How Do You Sleep?,John Lennon
How Do You Stop,Joni Mitchell
How Long,ACE
How Long Will I Love You,The Waterboys
How Soon Is Now,The Smiths
How Sweet It Is,Marvin Gaye
How The West Was Won And Where It Got Us,R. E. M.
How To Save A Life,The Fray
How You Like Me Now?,The Heavy
Howlin' For You,The Black Keys
Human,The Human League
Human,Rag 'N' Bone Man
Human,The Killers
Human,The Pretenders
Human Behavior,Bjork
Human Wheels,John Mellencamp
Hungry Heart,Bruce Springsteen
Hungry Like The Wolf,Duran Duran
Hunter,Dido
Hurricane Season,Trombone Shorty
Hurricane Waters,Citizen Cope
Hurry Tomorrow,Los Lobos
Hurt,Johnny Cash
Hush,Deep Purple
Hyper Ballad,Bjork
Hypnotized,Fleetwood Mac
