Title,Artist
L. A. Woman,The Doors
L.E.S. Artistes,Santogold
La Femme D'Argent,Air
La La Means I Love You,The Delfonics
Ladder,Joan Osborne
Lady Blue,Leon Russell
Lady Doctor,Graham Parker
Lady Jane,The Rolling Stones
Lady Madonna,The Beatles
Lady Marmalade,Labelle
Lady Writer,Dire Straits
Ladyfingers,Luscious Jackson
Ladyflash,The Go! Team
Lagos Jump,Third World
Lake Marie,John Prine
Lake Of Fire,Nirvana
Lampshades on Fire,Modest Mouse
Land Ho!,The Doors
Land Of 1000 Dances,Wilson Pickett
Landslide,Dixie Chicks
Landslide,Smashing Pumpkins
Laredo,Band Of Horses
Las Vegas Turnaround,Hall & Oates
Last Good Day Of The Year,Cousteau
Last Goodbye,Jeff Buckley
Last Kiss,Pearl Jam
Last Nite,The Strokes
Last Summer,Pete Yorn
Last Train Home,Pat Metheny Group
Last Train To Clarksville,The Monkees
Late At Night,The Iguanas
Late For The Sky,Jackson Browne
Late In The Evening,Paul Simon
Late Night Conversation,Josh Rouse
Laughing,R. E. M.
Lawyers In Love,Jackson Browne
"Lawyers, Guns, And Money",Warren Zevon
Lay Down,Strawbs
Lay Down (Candles In The Rain),Melanie
Lay Down Sally,Eric Clapton
Lay Lady Lay,Bob Dylan
Lay Low,My Morning Jacket
Layla,Derek & The Dominos
Lazaretto,Jack White
Lazy,X-press 2
Lazy Lightnin',Kingfish
Lean On Me,Bill Withers
Learn To Fly,Foo Fighters
Learning To Fly,Pink Floyd
Least Complicated,Indigo Girls
Leave It,Yes
Leaving On A Jet Plane,Peter Paul & Mary
Leaving Las Vegas,Sheryl Crow
Lebanese Blonde,Thievery Corporation
Led Boots,Jeff Beck
Left Hand Free,Alt-J
Left Of Center,Suzanne Vega
Left Of The Dial,The Replacements
Legalize It,Peter Tosh
Legal Tender,B-52's
Legend Of A Mind,The Moody Blues
Leopard-Skin Pill-Box Hat,Bob Dylan
Let Down,Radiohead
Let Em In,Wings
Let Him Fly,Patty Griffin
Let It Be,The Beatles
Let It Bleed,The Rolling Stones
"Let It Go, Let It Flow",Dave Mason
Let It Grow,Eric Clapton
Let It Out (let It All Hang Out),The Hombres
Let It Rain,Eric Clapton
Let It Ride,Bachman-Turner Overdrive
Let It Ride,Ryan Adams
Let Love Rule,Lenny Kravitz
Let Me Get There (feat. Kurt Vile),Hope Sandoval & The Warm Inventions
Let Me Go,Heaven 17
Let Me Roll It,Paul McCartney & Wings
Let My Love Open The Door,Pete Townshend
Let The Good Times Roll,B. B. King
Let The Good Times Roll,JD McPherson
Let The Mystery Be,Iris Dement
Let's Be Still,The Head And The Heart
Let's Dance,David Bowie
Let's Dance,The Ramones
Let's Get It On,Marvin Gaye
Let's Get Lost,Chet Baker
Let's Get Lost On A Country Road,The Kit Kats
Let's Go,The Cars
Let's Go Crazy,Prince & The Revolution
Let's Go To Bed,The Cure
Let's Live For Today,The Grass Roots
Let's See Action,Pete Townshend
Let's Spend The Night Together,The Rolling Stones
Let's Stay Together,Al Green
Let's Twist Again,Chubby Checker
Levi Stubb's Tears,Billy Bragg
Levon,Elton John
Liar,Three Dog Night
"Liar, Liar",The Castaways
Lido Shuffle,Boz Scaggs
Lies,The Knickerbockers
Lies,The Thompson Twins
Life Begins At The Hop,XTC
Life By Numbers,Jim Lauderdale
Life By The Drop,Stevie Ray Vaughan
Life During Wartime,Talking Heads
Life In A Northern Town,The Dream Academy
Life Is A Carnival,The Band
Life Is A Minestrone,10cc
Life is Hard,Timbuk 3
Life On A Chain,Pete Yorn
Life On Mars?,David Bowie
Life'll Kill Ya,Warren Zevon
Life's Been Good,Joe Walsh
Lifetime Piling Up,Talking Heads
Lifted By Love,k. d. lang
Light And Day/reach For The Sun,The Polyphonic Spree
Light My Fire,The Doors
Light Up Or Leave Me Alone,Traffic
Lightning Strikes,Lou Christie
Lightning Strikes,The Clash
Lights Out,Peter Wolf
Like A Hurricane,Neil Young
Like A Rolling Stone,Bob Dylan
Like A Rolling Stone,Jimi Hendrix
Like A Virgin,Madonna
Like Humans Do,David Byrne
Like The Weather,"10,000 Maniacs"
"Lily, Rosemary And The Jack Of Hearts",Bob Dylan
Lily-a-passion,Grant Lee Phillips
Limit To Your Love,James Blake
Linger,The Cranberries
Lip Service,Elvis Costello
Listen,Amos Lee
Listen For The Laugh,Bruce Cockburn
Listen Like Thieves,INXS
Listen To Her Heart,Tom Petty & The Heartbreakers
Listen To What The Man Said,Paul McCartney & Wings
Lisztomania,Phoenix
Lithium,Nirvana
Little Bit of Everything,Dawes
Little Bit Of Sympathy,Robin Trower
Little Black Submarines,The Black Keys
Little Bribes,Death Cab For Cutie
Little By Little,Junior Wells
Little Criminals,Randy Newman
Little Deuce Coupe,The Beach Boys
Little Girl,The Syndicate Of Sound
Little Green,Joni Mitchell
Little Lion Man,Mumford & Sons
Little Lovin',Lissie
Little Miss Can't Be Wrong,Spin Doctors
Little Movies,Aaron Lee Tasjan
Little Perennials,Indigo Girls
Little Queen,Heart
Little Red Corvette,Prince
Little River,Loamlands
Little Secrets,Passion Pit
Little Sister,Elvis Presley
Little Talks,Of Monsters And Men
Little Wing,Derek & The Dominos
Little Wing,Jimi Hendrix
Live and Die,The Avett Brothers
Live And Let Die,Paul McCartney & Wings
Live As You Dream,Beth Orton
Live Forever,Oasis
Live With Me,The Rolling Stones
Lively Up Yourself,Bob Marley & The Wailers
Lively Up Yourself,Bob Marley & The Wailers
Lives In The Balance,Jackson Browne
Livin' In The Jungle,Black Joe Lewis & The Honeybears
Livin' It Down,Delbert McClinton
Livin' On The Fault Line,The Doobie Brothers
Livin' Thing,Electric Light Orchestra
Living For The City,Stevie Wonder
Living In The Material World,George Harrison
Living In The Past,Jethro Tull
Living In The U. S. A.,Steve Miller Band
Loan Me A Dime,Boz Scaggs
Local Girls,Graham Parker
Locked Down,Dr. John
Lodi,Creedence Clearwater Revival
Lola,The Kinks
London Calling,The Clash
Lonely Boy,The Black Keys
"Lonely Days, Lonely Nights",Bee Gees
Lonely Holiday,Old 97's
Lonely Ol' Night,John Mellencamp
Lonely Teardrops,Jackie Wilson
Lonesome,Dr. Dog
Lonesome Day,Bruce Springsteen
Long Ago And Far Away,James Taylor
Long As I Can See The Light,Creedence Clearwater Revival
Long Distance Call,Phoenix
Long Distance Love,Little Feat
Long Distance Runaround,Yes
Long Hot Summer,The Style Council
Long Live Rock,The Who
Long May You Run,The Stills-Young Band
Long Road,Junior Reid
Long Tall Sally,Little Richard
Long Time Gone,Billie Joe + Norah
Long Time Gone,Crosby Stills & Nash
Long Way Home,Tom Waits
Longer,Lydia Loveless
Longing In Their Hearts,Bonnie Raitt
Look Back In Anger,David Bowie
Look It Here,Nathaniel Rateliff & The Night Sweats
Look Out For My Love,Neil Young
Look Sharp,Joe Jackson
Look The Other Way,Justin Townes Earle
Look What You've Done For Me,Al Green
Lookin' For A Love,Bobby Womack
Looking At The Sun,Matthew Sweet
Looking For A Love,The J. Geils Band
Looking For Clues,Robert Palmer
Looking For The Summer,Chris Rea
Lookout Joe,Neil Young
Looks Like Rain,Bob Weir
Lose Again,Linda Ronstadt
Loser,Beck
Losing My Religion,R. E. M.
Lost At Sea,Dawg Yawp
Lost In My Mind,The Head And The Heart
Lost In The Flood,Bruce Springsteen
Lost In The Supermarket,The Clash
Lost Together,Blue Rodeo
Lost Weekend,Pete Yorn
Lost!,Coldplay
Lotta Love,Neil Young
Lotus,R. E. M.
Loud Places,Jamie xx
Louie Louie,The Kingsmen
Louisiana 1927,Randy Newman
Love,G Love
Love & Hate,Michael Kiwanuka
Love (can Make You Happy),Mercy
Love Ain't For Keeping,The Who
Love And Affection,Joan Armatrading
