Title,Artist
Mack The Knife,Bobby Darin
Mad Man Moon,Genesis
Mad Mission,Patty Griffin
Mad World,Gary Jules
Mad World,Tears For Fears
Madison Blues,Elmore James
Madman Across The Water,Elton John
Maggie May,Rod Stewart
Maggie's Farm,Bob Dylan
Magic,Coldplay
Magic Bus,The Who
Magic Carpet Ride,Steppenwolf
Magic Man,Heart
Magic Number,De La Soul
Magical Mystery Tour,The Beatles
Magnet And Steel,Walter Egan
Mahgeetah,My Morning Jacket
Mainline Florida,Eric Clapton
Mais Que Nada,Sergio Mendes & Brasil '66
Make It Funky,James Brown
Make It With You,Bread
Make You Better,The Decemberists
Make You Crazy,Brett Dennen
Makes No Sense At All,Husker Du
Makin' Whoopee,Dr. John
Making Flippy Floppy,Talking Heads
Making Plans For Nigel,XTC
Making Time,The Creation
Mama Roux,Dr. John
Mama Said Knock You Out,LL Cool J
Mama Say,The Heptones
Mama Told Me Not To Come,Randy Newman
Mama Tried,Grateful Dead
Mama Tried,Merle Haggard
Mama Used To Say,Junior
Ma-ma-ma Belle,Electric Light Orchestra
Mama's Always On Stage,Arrested Development
Mama's Got A Girlfriend,Ben Harper
Mambo Sun,T Rex
Man Gave Names To All The Animals,Bob Dylan
Man In Motion,Warren Haynes
Man On The Moon,R. E. M.
"Man Smart, Woman Smarter",Robert Palmer
Man We Was Lonely,Paul McCartney
Mandinka,Sinead O'Connor
Mandolin Wind,Rod Stewart
Manic Depression,Jimi Hendrix
Manic Monday,Bangles
Mannish Boy,Muddy Waters
Mansard Roof,Vampire Weekend
Many Rivers To Cross,Jimmy Cliff
Margaritaville,Jimmy Buffett
Marie Marie,The Blasters
Marlene On The Wall,Suzanne Vega
Marquee Moon,Television
Marrakesh Express,Crosby Stills & Nash
Marry Me,St. Vincent
Martha My Dear,The Beatles
Mary Jane's Last Dance,Tom Petty
Mary Queen Of Arkansas,Bruce Springsteen
"Mary, Mary",The Monkees
"Mary, Mary",Run-DMC
Massachusetts,Bee Gees
Master Blaster (Jammin'),Stevie Wonder
Masters of War,Bob Dylan
Matty Groves,Fairport Convention
May You Never,Eric Clapton
May You Never,John Martyn
Maybe Baby,Buddy Holly
Maybe I'm Amazed,Paul McCartney
Maybellene,Chuck Berry
Maydell,The Allman Brothers
Mayor Of Simpleton,XTC
Me & Baby Jane,Leon Russell
Me And Baby Brother,War
Me And Bobby McGee,Janis Joplin
Me And Julio Down By The Schoolyard,Paul Simon
Me And The Boys,NRBQ
Me In Honey,R. E. M.
Me Myself I,Joan Armatrading
Me Myself & I,De La Soul
