Pain Lies On The Riverside,Live
"Paint It, Black",The Rolling Stones
Painting By Numbers,James McMurtry
Pale Shelter,Tears For Fears
Panama Red,New Riders Of The Purple Sage
Panic,The Smiths
Panic In Detroit,David Bowie
Papa Come Quick,Bonnie Raitt
Papa Don't Take No Mess (Part 1),James Brown
Papa Was A Rolling Stone,The Temptations
Papa's Got A Brand New Bag,James Brown
Paper Planes,M. I. A.
Paper Sun,Traffic
Paperback Writer,The Beatles
Parachute Woman,The Rolling Stones
Paradise,Coldplay
Paradise,John Prine
Paradise By The Dashboard Light,Meatloaf
Paranoid,Black Sabbath
Paranoid Android,Radiohead
Paris 1919,John Cale
Parklife,Blur
Particle Man,They Might Be Giants
Part of Me,Tedeschi Trucks Band
Part Of The Plan,Dan Fogelberg
Party Out Of Bounds,B-52's
Party Time,The Heptones
Pass You By,Gillian Welch
Passion Is No Ordinary Word,Graham Parker
Passionate Kisses,Lucinda Williams
Past The Mission,Tori Amos
Pastime Paradise,Stevie Wonder
Pay The Man,David Lindley
Pay To The Piper,Chairmen Of The Board
Peace Frog,The Doors
Peace Tonight,Indigo Girls
Peace Trail,Neil Young
Peace Train,Cat Stevens
Peace Train,"10,000 Maniacs"
"Peaceful, Easy Feeling",The Eagles
Peacekeeper,Fleetwood Mac
Peaches,The Presidents Of The United States Of America
Peaches En Regalia,Frank Zappa
Pearly-dewdrops' Drops,Cocteau Twins
Pedestrian At Best,Courtney Barnett
Peg,Steely Dan
Peggy Sue,Buddy Holly
Penny Lane,The Beatles
Pensacola,Joan Osborne
People Are People,Depeche Mode
People Are Strange,The Doors
People Everyday,Arrested Development
People Get Ready,The Impressions
People Gonna Talk,James Hunter
People Got A Lotta Nerve,Neko Case
People Have The Power,Patti Smith
People In Love,Loudon Wainwright III
People Say,The Meters
People Who Died,The Jim Carroll Band
Perfect Blue Buildings,Counting Crows
Perfect Day,Lou Reed
Perfect Fit,Van Morrison
Perfect Skin,Lloyd Cole & The Commotions
Perfect Timing (This Morning),Orba Squara
Perfectly Good Guitar,John Hiatt
Perpetual Change,Yes
Personal Jesus,Depeche Mode
Personal Jesus,Dixie Hummingbirds
