Title,Artist
U Get Me High,Tom Petty & The Heartbreakers
Uh-oh Love Comes To Town,Talking Heads
Unbelieveable,EMF
Unbelievers,Vampire Weekend
Unbroken Chain,Grateful Dead
Uncertain Smile,The The
Unchained Melody,The Righteous Brothers
Uncle Albert / Admiral Halsey,Paul McCartney
Uncle John's Band,Grateful Dead
Under African Skies,Paul Simon
Under My Thumb,The Rolling Stones
Under Pressure,David Bowie & Queen
Under The Boardwalk,The Drifters
Under The Bridge,Red Hot Chili Peppers
Under The Falling Sky,Bonnie Raitt
Under The Milky Way,The Church
Under the Pressure,The War On Drugs
Undone- The Sweater Song,Weezer
Une Nuit A Paris,10cc
Union Man,Neil Young
Unknown Legend,Neil Young
Until She Comes,Psychedelic Furs
Until The End Of The World,U2
Until I Fall Away,Gin Blossoms
Until You Come Back To Me (That's What I'm Gonna Do),Aretha Franklin
Up Around The Bend,Creedence Clearwater Revival
Up For The Down Stroke,Parliament
Up From The Skies,Jimi Hendrix
Up From The Skies,Rickie Lee Jones
Up On Cripple Creek,The Band
Up On The Roof,Laura Nyro
Up On The Roof,The Drifters
Up On The Sun,Meat Puppets
Up Up Up,Givers
"Up, Up And Away",The Fifth Dimension
Upfield,Billy Bragg
Upside Down,Jack Johnson
Upside Down,Diana Ross
Uptight (everything's All Right),Stevie Wonder
Uptown Funk,Mark Ronson
Uptown Girl,Billy Joel
Urge For Going,Joni Mitchell
Urge For Going,Tom Rush
Us And Them,Pink Floyd
U.S. Blues,Grateful Dead
Us V. Them,LCD Soundsystem
Use Me,Bill Withers
Use Somebody,Kings Of Leon
Used To Be A Cop,Drive-By Truckers
Used to Rule the World,Bonnie Raitt
