Title,Artist
Valerie,Mark Ronson feat. Amy Winehouse
Valerie,Richard Thompson
Valerie,Steve Winwood
Valleri,The Monkees
Valley Girl,Frank Zappa
Vampire Blues,Neil Young
Van Lear Rose,Loretta Lynn
Vaporize,Amos Lee
Vasoline,Stone Temple Pilots
VCR,The xx
Vehicle,Ides Of March
Velouria,The Pixies
Venus,Frankie Avalon
Venus,Shocking Blue
Venus And Mars/Rockshow,Paul McCartney & Wings
Venus And Mars-Rock Show-Jet,Wings
Venus As A Boy,Bjork
Vertigo,U2
Vicious,Lou Reed
Victim Of Love,The Eagles
Victoria,The Kinks
Video Games,Lana Del Rey
Video Games,Lana Del Rey
Video Killed The Radio Star,The Buggles
Vienna,Ultravox
Vincent,Car Seat Headrest
Violet Hill,Coldplay
Virginia Plain,Roxy Music
Virtual Insanity,Jamiroquai
Visions Of Johanna,Bob Dylan
Viva La Vida,Coldplay
Viva Las Vegas,Bruce Springsteen
Viva Las Vegas,Elvis Presley
Viva Las Vegas,Elvis Presley
Voices Carry,'Til Tuesday
Volcano,Damien Rice
Volunteers,Jefferson Airplane
Voodoo Child,Angelique Kidjo
Voodoo Child (slight Return),Jimi Hendrix
Vultures,John Mayer
