Title,Artist
Ya Hey,Vampire Weekend
Ya Hey,Phosphorescent
Ya Ya,Lee Dorsey
Yeah Yeah Yeah Song,The Flaming Lips
Year Of The Cat,Al Stewart
Yellow,Coldplay
Yellow Eyes,RayLand Baxter
Yellow Ledbetter,Pearl Jam
Yellow Moon,Neville Brothers
Yellow Submarine,The Beatles
Yer Blues,The Beatles
"Yes, I'm Ready",Barbara Mason
Yes We Can Can,Allen Toussaint
Yes We Can Can,The Pointer Sisters
Yesterday,The Beatles
Yesterday's News,Whiskeytown
"Yester-Me, Yester-You, Yesterday",Stevie Wonder
You,Ben Arnold
You,Marvin Gaye
You & I,Margaret Glaspy
You Ain't Going Nowhere,The Byrds
You Ain't Seen Nothing Yet,Bachman-Turner Overdrive
You And I,Wilco
You And Your Sister,Chris Bell
You Are A Tourist,Death Cab For Cutie
You Are In My System,Robert Palmer
You Are The Best Thing,Ray Lamontagne
You Are The Sunshine Of My Life,Stevie Wonder
You Be Illin',Run-DMC
You Belong To Me,Elvis Costello
You Belong To Me,The Doobie Brothers
You Better You Bet,The Who
You Bowed Down,Roger McGuinn
You Can All Join In,Traffic
You Can Bring Me Flowers,Ray Lamontagne
You Can Call Me Al,Paul Simon
You Can Get It If You Really Want,Jimmy Cliff
You Can Leave Your Hat On,Randy Newman
You Can Look (But You Better Not Touch),Bruce Springsteen
You Can Make It If You Try,Sly & The Family Stone
You Cannot Win If You Do Not Play,Steve Forbert
You Can't Always Get What You Want,The Rolling Stones
You Can't Be Told,Valerie June
You Can't Buy My Love,Robert Plant
You Can't Catch Me,Chuck Berry
You Can't Do That,The Beatles
You Can't Get What You Want,Joe Jackson
You Can't Hide,Maktub
You Can't Hurry Love,The Supremes
You Can't Judge A Book By Its Cover,Bo Diddley
You Cried Wolf,Todd Rundgren
You Dance,Eastmountainsouth
You Don't Have To Cry,Crosby Stills & Nash
You Don't Know Like I Know,Sam & Dave
You Don't Move Me,Keith Richards
You Don't Treat Me No Good,Sonia Dada
You Gave Me The Answer,Wings
You Get What You Deserve,Big Star
You Get What You Give,New Radicals
You Go Down Smooth,Lake Street Dive
You Got It,Bonnie Raitt
You Got It,Roy Orbison
You Got Lucky,Tom Petty & The Heartbreakers
You Gotta Move,The Rolling Stones
You Gotta Move,The Rolling Stones
You Got The Silver,The Rolling Stones
You Got My Letter,Boz Scaggs
You Got What It Takes,Joe Tex
You Got Yr. Cherry Bomb,Spoon
You Haven't Done Nothin',Stevie Wonder
You Keep Me Hanging On,Diana Ross & The Supremes
You Keep Me Hanging On,Vanilla Fudge
You Keep Me Hanging On,Vanilla Fudge
You Know I'm No Good,Amy Winehouse
You Know My Name (Look Up The Number),The Beatles
You Love The Thunder,Jackson Browne
You Made Me The Thief Of Your Heart,Sinead O'Connor
You Make It So Hard,Boz Scaggs
You Make Loving Fun,Fleetwood Mac
You May Be Right,Billy Joel
You Must Be Good For Something,Hall & Oates
You Need Love,Muddy Waters
You Need To Be With Me,Susan Tedeschi
You Never Can Tell,Chuck Berry
You Never Know,Wilco
You Never Give Me Your Money,The Beatles
You Never Need Nobody,The Lone Bellow
You Only Live Once,The Strokes
You Really Got Me,The Kinks
You Send Me,Sam Cooke
You Set The Scene,Love
