Title,Artist,Air Time
A Calling-On Song,Steeleye Span,2017-11-29 06:02:00
A Case Of You,Joni Mitchell,2017-11-29 06:03:00
A Clue,Boz Scaggs,2017-11-29 06:07:00
A Dream Goes On Forever,Todd Rundgren,2017-11-29 06:13:00
A Gift,Lou Reed,2017-11-29 06:16:00
A Good Feelin' To Know,Poco,2017-11-29 06:23:00
A Little Less Conversation,Mac Davis,2017-11-29 06:26:00
A Man Needs A Maid,Neil Young,2017-11-29 06:29:00
A Natural Man,Lou Rawls,2017-11-29 06:33:00
A New Career In A New Town,David Bowie,2017-11-29 06:36:00
A Place In The Sun,Pablo Cruise,2017-11-29 06:41:00
A Real Mother For Ya,"Johnny ""Guitar"" Watson",2017-11-29 06:45:00
A Remark You Made,Weather Report,2017-11-29 06:50:00
A Sailor's Life,Fairport Convention,2017-11-29 06:58:00
A Salty Dog,Procol Harum,2017-11-29 07:13:00
A Simple Twist Of Fate,Joan Baez,2017-11-29 07:18:00
A Song For Richard And His Friends,Chicago,2017-11-29 07:25:00
A Song For You,Donny Hathaway,2017-11-29 07:31:00
A Song For You,Leon Russell,2017-11-29 07:37:00
A Trick Of The Tail,Genesis,2017-11-29 07:43:00
A Wonderfull Day In A One-Way World,Peter Gabriel,2017-11-29 07:47:00
Abandoned Luncheonette,Hall & Oates,2017-11-29 07:53:00
ABC,Jackson 5,2017-11-29 07:57:00
Abracadabra (Have You Seen Her?),Blue Ash,2017-11-29 08:01:00
Acadian Driftwood,The Band,2017-11-29 08:04:00
Accidently Like A Martyr,Warren Zevon,2017-11-29 08:12:00
Accidents Will Happen,Elvis Costello,2017-11-29 08:16:00
Ace Of Spades,Motorhead,2017-11-29 08:22:00
Ace Of Spades,O.V. Wright,2017-11-29 08:25:00
Ace Supreme,Silverhead,2017-11-29 08:27:00
Achilles Last Stand,Led Zeppelin,2017-11-29 08:30:00
Across 110th Street,Bobby Womack,2017-11-29 08:42:00
Across The Universe,David Bowie,2017-11-29 08:46:00
Across The Universe,The Beatles,2017-11-29 08:53:00
Adam Raised A Cain,Bruce Springsteen,2017-11-29 08:56:00
Africa,The Meters,2017-11-29 09:01:00
Africa Talks To You (The Asphalt Jungle),Sly & The Family Stone,2017-11-29 09:05:00
Afro Strut,Nite-Liters,2017-11-29 09:14:00
After Forever,Black Sabbath,2017-11-29 09:19:00
After Last Night,The A's,2017-11-29 09:24:00
After Midnight,Eric Clapton,2017-11-29 09:29:00
After Midnight,J. J. Cale,2017-11-29 09:32:00
After The Goldrush,Neil Young,2017-11-29 09:34:00
After The Love Has Gone,Earth Wind & Fire,2017-11-29 09:38:00
Afternoon Delight,Starland Vocal Band,2017-11-29 09:44:00
Ain't Gonna Hurt Nobody,Brick,2017-11-29 09:48:00
Ain't Gwine Whistle Dixie,Taj Mahal,2017-11-29 09:52:00
Ain't It Funky Now,Grant Green,2017-11-29 10:01:00
Ain't No Love In The Heart Of The City,"Bobby ""Blue"" Bland",2017-11-29 10:16:00
Ain't No Mountain High Enough,Diana Ross,2017-11-29 10:20:00
Ain't No Stoppin' Us Now,McFadden & Whitehead,2017-11-29 10:23:00
Ain't No Sunshine,Bill Withers,2017-11-29 10:29:00
Ain't No Woman (Like The One I've Got),Four Tops,2017-11-29 10:31:00
Ain't Nobody,Rufus,2017-11-29 10:34:00
Ain't Nothin' But A Houseparty,The J. Geils Band,2017-11-29 10:38:00
Ain't Nothin' To Do,Dead Boys,2017-11-29 10:43:00
Ain't Talkin' 'bout Love,Van Halen,2017-11-29 10:45:00
Ain't That A Bitch,"Johnny ""Guitar"" Watson",2017-11-29 10:50:00
Ain't That Loving You,Isaac Hayes,2017-11-29 10:55:00
Ain't Too Proud To Beg,The Rolling Stones,2017-11-29 11:00:00
Ain't Understanding Mellow,Jerry Butler,2017-11-29 11:03:00
Ain't Wastin' Time No More,The Allman Brothers,2017-11-29 11:11:00
Ain't We Funkin' Now,Brothers Johnson,2017-11-29 11:14:00
Airlane,Gary Numan,2017-11-29 11:20:00
Airport,The Motors,2017-11-29 11:25:00
Aja,Steely Dan,2017-11-29 11:29:00
Alabama,Neil Young,2017-11-29 11:37:00
Aladdin Sane,David Bowie,2017-11-29 11:43:00
Albuquerque,Neil Young,2017-11-29 11:48:00
Alien,20/20,2017-11-29 11:54:00
Alison,Elvis Costello,2017-11-29 11:57:00
Alison Gross,Steeleye Span,2017-11-29 12:01:00
All Along The Watchtower,Bob Dylan And The Band,2017-11-29 12:06:00
All Around The World,The Jam,2017-11-29 12:10:00
All At Sea,Budgie,2017-11-29 12:14:00
All Day Music,War,2017-11-29 12:18:00
All Down The Line,The Rolling Stones,2017-11-29 12:22:00
All For The Love Of Rock & Roll,Tuff Darts,2017-11-29 12:27:00
All I Know,Art Garfunkel,2017-11-29 12:31:00
All I Wanna Do In Life,Marianne Faithfull,2017-11-29 12:34:00
All I Want,Joni Mitchell,2017-11-29 12:37:00
All In Your Mind,Stray,2017-11-29 12:42:00
All Mixed Up,The Cars,2017-11-29 12:51:00
All My Life,Uriah Heep,2017-11-29 12:57:00
All My Love,Led Zeppelin,2017-11-29 13:00:00
All Reved Up With No Place To Go,Meatloaf,2017-11-29 13:05:00
All Right Now,Free,2017-11-29 13:12:00
All That You Dream,Little Feat,2017-11-29 13:17:00
All The Children Sing,Todd Rundgren,2017-11-29 13:21:00
All The Madmen,David Bowie,2017-11-29 13:25:00
All The Way From Memphis,Mott The Hoople,2017-11-29 13:31:00
All The Way Lover,Millie Jackson,2017-11-29 13:35:00
All The Young Dudes,Mott The Hoople,2017-11-29 13:42:00
All Things Must Pass,George Harrison,2017-11-29 13:45:00
All This And More,Dead Boys,2017-11-29 13:49:00
All You Wanna Do Is Dance,Billy Joel,2017-11-29 13:52:00
All-American Alien Boy,Ian Hunter,2017-11-29 13:56:00
Almendra,Macondo,2017-11-29 14:00:00
Almost Cut My Hair,Crosby Stills Nash & Young,2017-11-29 14:04:00
Aloha Steve And Danno,Radio Birdman,2017-11-29 14:09:00
"Alone Again, Naturally",Gilbert O'Sullivan,2017-11-29 14:14:00
Already Gone,The Eagles,2017-11-29 14:18:00
Alternative Ulster,Stiff Little Fingers,2017-11-29 14:22:00
Amanda,Waylon Jennings,2017-11-29 14:25:00
Amelia,Joni Mitchell,2017-11-29 14:28:00
America,Yes,2017-11-29 14:35:00
American City Suite,Cashman & West,2017-11-29 14:46:00
American Girl,Tom Petty & The Heartbreakers,2017-11-29 14:54:00
American Pie,Don McLean,2017-11-29 14:58:00
American Squirm,Nick Lowe,2017-11-29 15:07:00
American Tune,Paul Simon,2017-11-29 15:10:00
American Woman,The Guess Who,2017-11-29 15:14:00
Amie,Pure Prairie League,2017-11-29 15:19:00
Amnesia,Pousette-Dart Band,2017-11-29 15:23:00
Amoreena,Elton John,2017-11-29 15:27:00
Amos Moses,Jerry Reed,2017-11-29 15:32:00
Amygdala,Henry Cow,2017-11-29 15:34:00
Anarchy In The U.K.,The Sex Pistols,2017-11-29 15:41:00
And It Stoned Me,Van Morrison,2017-11-29 15:44:00
And You And I,Yes,2017-11-29 15:50:00
Andalucia,John Cale,2017-11-29 16:00:00
Andy Warhol,David Bowie,2017-11-29 16:04:00
Angel,Aretha Franklin,2017-11-29 16:08:00
Angel,Jimi Hendrix,2017-11-29 16:16:00
Angel Eyes,Roxy Music,2017-11-29 16:20:00
Angel Fingers,Wizzard,2017-11-29 16:24:00
Angel From Montgomery,Bonnie Raitt,2017-11-29 16:29:00
Angel From Montgomery,John Prine,2017-11-29 16:33:00
Angels,Flora Purim,2017-11-29 16:36:00
Angelsea,Cat Stevens,2017-11-29 16:39:00
Angie,The Rolling Stones,2017-11-29 16:44:00
Angie Baby,Helen Reddy,2017-11-29 16:49:00
Angry Eyes,Loggins & Messina,2017-11-29 16:54:00
Animal Zoo,Spirit,2017-11-29 17:02:00
Annie's Song,John Denver,2017-11-29 17:05:00
Another Brick In The Wall (Part 2),Pink Floyd,2017-11-29 17:08:00
Another Day,Paul McCartney & Wings,2017-11-29 17:12:00
"Another Girl, Another Planet",The Only Ones,2017-11-29 17:18:00
"Another Park, Another Sunday",The Doobie Brothers,2017-11-29 17:21:00
Another Star,Stevie Wonder,2017-11-29 17:26:00
Another World,Richard Hell & The Voidoids,2017-11-29 17:34:00
Anthem,Rush,2017-11-29 17:42:00
Anticipation,Carly Simon,2017-11-29 17:47:00
Any Major Dude Will Tell You,Steely Dan,2017-11-29 17:50:00
Any Old Time,Maria Muldaur,2017-11-29 17:57:00
Any Other Woman,Greg Kihn,2017-11-29 18:01:00
Any World (That I'm Welcome To),Steely Dan,2017-11-29 18:05:00
Anything That's Rock 'N' Roll,Tom Petty & The Heartbreakers,2017-11-29 18:08:00
Anytime,Journey,2017-11-29 18:14:00
Apache,Michael Viner's Incredible Bongo Band,2017-11-29 18:18:00
Ape Is High,Mandrill,2017-11-29 18:24:00
Apeman,The Kinks,2017-11-29 18:29:00
Apostrophe,Frank Zappa,2017-11-29 18:33:00
Apple Scruffs,George Harrison,2017-11-29 18:39:00
April Fool,Pete Townshend & Ronnie Lane,2017-11-29 18:43:00
Aqualung,Jethro Tull,2017-11-29 18:47:00
Are Friends Electric?,Gary Numan & Tubeway Army,2017-11-29 18:54:00
Are You Man Enough,Four Tops,2017-11-29 19:00:00
Are You My Woman,The Chi-Lites,2017-11-29 19:03:00
Are You Ready?,Pacific Gas & Electric,2017-11-29 19:06:00
Are You Ready For The Country?,Neil Young,2017-11-29 19:12:00
Are You Receiving Me?,XTC,2017-11-29 19:17:00
Are You Sure Hank Done It This Way?,Waylon Jennings,2017-11-29 19:20:00
Arizona,Mark Lindsay,2017-11-29 19:22:00
Arrow Right Through Me,Wings,2017-11-29 19:25:00
Art For Art's Sake,10cc,2017-11-29 19:30:00
Artists Only,Talking Heads,2017-11-29 19:36:00
As,Stevie Wonder,2017-11-29 19:40:00
Ask The Angels,Patti Smith,2017-11-29 19:47:00
Aspen/These Days,Dan Fogelberg,2017-11-29 19:52:00
Astral Plane,The Modern Lovers,2017-11-29 20:00:00
At Home He's A Tourist,Gang Of Four,2017-11-29 20:03:00
At Midnight (My Love Will Lift You Up),Rufus,2017-11-29 20:06:00
At Seventeen,Janis Ian,2017-11-29 20:13:00
Atomic Bomb,William Onyeabor,2017-11-29 20:17:00
Attics of My Life,Grateful Dead,2017-11-29 20:27:00
August Day,Hall & Oates,2017-11-29 20:32:00
Autobahn,Kraftwerk,2017-11-29 20:37:00
Avenging Annie,Andy Pratt,2017-11-29 21:00:00
Awaiting On You All,George Harrison,2017-11-29 21:08:00
Axe Victim,Be Bop Deluxe,2017-11-29 21:10:00
B.A.B.Y.,Rachel Sweet,2017-11-29 21:16:00
Baba O'Riley,The Who,2017-11-29 21:20:00
Babe,Styx,2017-11-29 21:25:00
