Title,Artist,AirTime
#1 Crush,Garbage,2017-04-07 19:02:00
#1 Hit Song,Minutemen,2017-04-07 19:06:00
#34,Dave Matthews Band,2017-04-07 19:11:00
#41,Dave Matthews Band,2017-04-07 19:16:00
#9 Dream,John Lennon,2017-04-07 19:24:00
#9 Dream,Jose Gonzalez,2017-04-07 19:28:00
#9 Dream,R. E. M.,2017-04-07 19:34:00
"$1,000 Wedding",Gram Parsons,2017-04-07 19:40:00
(Angels Want To Wear My) Red Shoes,Elvis Costello,2017-04-07 19:45:00
(Baby) Hold On,James Hunter Six,2017-04-07 19:48:00
(Da Le) Yaleo,Santana,2017-04-07 19:51:00
(Divisionary) Do The Right Thing,Ages and Ages,2017-04-07 19:57:00
(Do The) Instant Mash,Joe Jackson,2017-04-07 20:01:00
(Do The) Push And Pull (Part 1),Rufus Thomas,2017-04-07 20:06:00
(Don't Fear) The Reaper,Blue Oyster Cult,2017-04-07 20:13:00
(Don't Go Back To) Rockville,R. E. M.,2017-04-07 20:18:00
(Don't Worry) If There's A Hell Below,Curtis Mayfield,2017-04-07 20:23:00
(Drawing) Rings Around The World,Super Furry Animals,2017-04-07 20:30:00
(Every Time I Turn Around) Back In Love Again,L.T.D.,2017-04-07 20:34:00
(Find A) Reason To Believe,Rod Stewart,2017-04-07 20:39:00
(Get A) Grip (On Yourself),The Stranglers,2017-04-07 20:43:00
(Gotta Get) A Meal Ticket,Elton John,2017-04-07 20:47:00
(Hep-Hep!) The Jumpin Jive,Cab Calloway,2017-04-07 20:51:00
(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,B.J. Thomas,2017-04-07 20:55:00
(I Belong To The) Blank Generation,Richard Hell & The Voidoids,2017-04-07 20:59:00
(I Can't Get No) Satisfaction,Devo,2017-04-07 21:02:00
(I Can't Get No) Satisfaction,The Rolling Stones,2017-04-07 21:04:00
(I Could Only) Whisper Your Name,Harry Connick Jr,2017-04-07 21:10:00
(I Do) Like We Do,Harry Connick Jr,2017-04-07 21:15:00
(I Don't Want To Go To) Chelsea,Elvis Costello,2017-04-07 21:19:00
(I Got To) Testify,Eddie Hinton,2017-04-07 21:22:00
