Title,Artist,Letter,Year
A Case Of You,Joni Mitchell,A,1971
A Dream Goes On Forever,Todd Rundgren,A,1974
A Good Feelin' To Know,Poco,A,1972
A Man Needs A Maid,Neil Young,A,1972
A Natural Man,Lou Rawls,A,1971
A Salty Dog,Procol Harum,A,0
A Song For You,Leon Russell,A,1970
A Trick Of The Tail,Genesis,A,1976
ABC,Jackson 5,A,1970
Acadian Driftwood,The Band,A,1975
Accidently Like A Martyr,Warren Zevon,A,1978
Accidents Will Happen,Elvis Costello,A,1979
Across 110th Street,Bobby Womack,A,1973
Across The Universe,The Beatles,A,1970
Adam Raised A Cain,Bruce Springsteen,A,1978
After Midnight,Eric Clapton,A,1970
After Midnight,J. J. Cale,A,1972
After The Goldrush,Neil Young,A,1970
Ain't Gwine Whistle Dixie,Taj Mahal,A,1971
Ain't No Love In The Heart Of The City,"Bobby ""Blue"" Bland",A,1974
Ain't No Stoppin' Us Now,McFadden & Whitehead,A,1979
Ain't No Sunshine,Bill Withers,A,1971
Ain't No Woman (Like The One I've Got),Four Tops,A,1973
Ain't Nothin' But A Houseparty,The J. Geils Band,A,1973
Ain't Too Proud To Beg,The Rolling Stones,A,1974
Ain't Wastin' Time No More,The Allman Brothers,A,1972
Aja,Steely Dan,A,1977
Alabama,Neil Young,A,1972
Aladdin Sane,David Bowie,A,1973
Albuquerque,Neil Young,A,1975
Alison,Elvis Costello,A,1977
Alison Gross,Steeleye Span,A,1973
All Day Music,War,A,1971
All Down The Line,The Rolling Stones,A,1972
All I Want,Joni Mitchell,A,1971
All Mixed Up,The Cars,A,1978
All My Love,Led Zeppelin,A,1979
All Right Now,Free,A,1970
All The Children Sing,Todd Rundgren,A,1978
All The Way From Memphis,Mott The Hoople,A,1973
All The Young Dudes,Mott The Hoople,A,1972
All Things Must Pass,George Harrison,A,1970
Almost Cut My Hair,Crosby Stills Nash & Young,A,1970
Already Gone,The Eagles,A,1974
American Girl,Tom Petty & The Heartbreakers,A,1976
Amoreena,Elton John,A,1971
And It Stoned Me,Van Morrison,A,1970
And You And I,Yes,A,1972
Angel,Jimi Hendrix,A,1971
Angel From Montgomery,Bonnie Raitt,A,1974
Angel From Montgomery,John Prine,A,1971
Angie,The Rolling Stones,A,1973
Angry Eyes,Loggins & Messina,A,1972
Animal Zoo,Spirit,A,1970
Another Brick In The Wall (Part 2),Pink Floyd,A,1979
Another Day,Paul McCartney & Wings,A,1971
"Another Girl, Another Planet",The Only Ones,A,1978
"Another Park, Another Sunday",The Doobie Brothers,A,1974
Another Star,Stevie Wonder,A,1976
Any Major Dude Will Tell You,Steely Dan,A,1974
Any Other Woman,Greg Kihn,A,1976
Apostrophe,Frank Zappa,A,1974
Apple Scruffs,George Harrison,A,1970
Are Friends Electric?,Gary Numan & Tubeway Army,A,1979
Are You Ready?,Pacific Gas & Electric,A,1970
Are You Ready For The Country?,Neil Young,A,1972
Art For Art's Sake,10cc,A,1976
As,Stevie Wonder,A,1976
Ask The Angels,Patti Smith,A,1976
Avenging Annie,Andy Pratt,A,1973
Baba O'Riley,The Who,B,1971
Baby Blue,Badfinger,B,1971
Baby Boomerang,T Rex,B,1972
Baby Lemonade,Syd Barrett,B,1970
"Baby, I Need Your Loving",The Heptones,B,1976
Back In The USA,MC5,B,1970
Back It Up,Nils Lofgren,B,1975
Back Off Boogaloo,Ringo Starr,B,1972
Back Stabbers,The O'Jays,B,1972
Backstreets,Bruce Springsteen,B,1975
Bad 'N' Ruin,Faces,B,1971
Bad Luck,Harold Melvin & The Bluenotes,B,1975
Bad Sneakers,Steely Dan,B,1975
Badlands,Bruce Springsteen,B,1978
Ball Of Confusion,The Temptations,B,1971
Ballad Of A Well-Known Gun,Elton John,B,1971
Baltimore,Randy Newman,B,1977
Band On The Run,Paul McCartney & Wings,B,1973
Bang A Gong (Get It On),T Rex,B,1971
Bare Trees,Fleetwood Mac,B,1972
Bargain,The Who,B,1971
Battle Of Evermore,Led Zeppelin,B,1971
Be Nice To Me,Todd Rundgren,B,1971
Be Thankful For What You Got,William DeVaughn,B,1974
Beast Of Burden,The Rolling Stones,B,1978
Beauty And The Beast,David Bowie,B,1977
Because The Night,Patti Smith,B,1978
Before They Make Me Run,The Rolling Stones,B,1978
Behind Blue Eyes,The Who,B,1971
Bell Bottom Blues,Derek & The Dominos,B,1970
Benedictus,Strawbs,B,1972
Bennie and the Jets,Elton John,B,1973
Bermuda Triangle,Fleetwood Mac,B,1974
Bertha,Grateful Dead,B,1971
Betcha By Golly Wow,The Stylistics,B,1971
Big Chief,Dr. John,B,1972
Big Yellow Taxi,Joni Mitchell,B,1970
Birdland,Weather Report,B,1977
Bitch,The Rolling Stones,B,1971
Black Cow,Steely Dan,B,1977
Black Friday,Steely Dan,B,1975
Black Water,The Doobie Brothers,B,1974
Blame It On Cain,Elvis Costello,B,1977
Blank Generation,Richard Hell & The Voidoids,B,1977
Blinded By The Light,Bruce Springsteen,B,1972
Blitzkrieg Bop,The Ramones,B,1976
Bloody Well Right,Supertramp,B,1974
Blue,Joni Mitchell,B,1971
Blue Eyes Crying In The Rain,Willie Nelson,B,1975
Blue Letter,Fleetwood Mac,B,1975
Blue Money,Van Morrison,B,1970
Blue Skies,Willie Nelson,B,1978
Blue Sky,The Allman Brothers,B,1972
Bluebird,Paul McCartney & Wings,B,1973
Blues Power,Eric Clapton,B,1970
Bodhisattva,Steely Dan,B,1973
Bohemian Rhapsody,Queen,B,1975
Bombs Away,Bob Weir,B,1978
Boogie Down,Eddie Kendricks,B,1974
Boogie Nights,Heatwave,B,1976
Boogie On Reggae Woman,Stevie Wonder,B,1974
Boogie With Stu,Led Zeppelin,B,1975
Book Of Rules,The Heptones,B,1976
Border Song,Elton John,B,1970
Border Town,The Souther-Hillman-Furay Band,B,1974
Born To Run,Bruce Springsteen,B,1975
Box Of Rain,Grateful Dead,B,1970
Brand New Cadillac,The Clash,B,1979
Brand New Key,Melanie,B,1971
Brass Buttons,Gram Parsons,B,1974
Breakdown,Tom Petty & The Heartbreakers,B,1976
Breakfast In America,Supertramp,B,1979
Breaking Glass,David Bowie,B,1977
Brick House,The Commodores,B,1977
Bright Side Of The Road,Van Morrison,B,1979
Broken English,Marianne Faithfull,B,1979
Brother Louie,Stories,B,1973
Brown Sugar,The Rolling Stones,B,1971
Bruised Orange,John Prine,B,1978
Buffalo Soldier,Bob Marley & The Wailers,B,0
Bungle In The Jungle,Jethro Tull,B,1974
Burn Down The Mission,Elton John,B,1971
Burning Love,Elvis Presley,B,1973
Bye Bye Love,The Cars,B,1978
Ca Plane Pour Moi,Plastic Bertrand,C,1977
Cakewalk Into Town,Taj Mahal,C,1972
Caldonia,B. B. King,C,1973
California,Joni Mitchell,C,1971
California Blues,Dickey Betts & Great Southern,C,1977
California Man,Cheap Trick,C,1978
Call Me the Breeze,J. J. Cale,C,1972
Call Me the Breeze,Lynyrd Skynyrd,C,1974
Call Me Up In Dreamland,Van Morrison,C,1970
Camellia,Hall & Oates,C,1975
Campaigner,Neil Young,C,1977
Can We Still Be Friends,Todd Rundgren,C,1978
Can You Get to That,Funkadelic,C,1971
Can't Get It Out Of My Head,Electric Light Orchestra,C,1974
Can't Stand Losing You,The Police,C,1978
Can't You Hear Me Knockin',The Rolling Stones,C,1971
Can't You See,Marshall Tucker Band,C,1973
Candy's Room,Bruce Springsteen,C,1978
Car On A Hill,Joni Mitchell,C,1974
Caravan,Van Morrison,C,1970
Carey,Joni Mitchell,C,1971
Carmelita,Warren Zevon,C,1976
Carolina In My Mind,James Taylor,C,1976
Caroline,Jefferson Starship,C,1974
Carouselambra,Led Zeppelin,C,1979
Carpet Of The Sun,Renaissance,C,1973
Carry Me,Crosby & Nash,C,1975
Carry On,Crosby Stills Nash & Young,C,1970
Carry On,Crosby Stills Nash & Young,C,1979
Cars,Gary Numan,C,1979
Cars Hiss By My Window,The Doors,C,1971
Casey Jones,Grateful Dead,C,1970
Cassidy,Bob Weir,C,1972
Cat's In The Cradle,Harry Chapin,C,1974
Cathedral,Crosby Stills & Nash,C,1977
Cats Under The Stars,Jerry Garcia,C,1978
Cecilia,Simon & Garfunkel,C,1970
Celluloid Heroes,The Kinks,C,1972
Century City,Tom Petty & The Heartbreakers,C,1979
Chain Lightning,Steely Dan,C,1975
Chameleon,Herbie Hancock,C,1973
Change Partners,Stephen Stills,C,1971
Changes,David Bowie,C,1971
Cherry Bomb,The Runaways,C,1976
Cherry Oh Baby,The Rolling Stones,C,1976
