Artist,Title,Air Time,Play,Year,Letter,First Word
Steeleye Span,A Calling-On Song,2017-11-29 06:02:00,0,1970,A,A
Joni Mitchell,A Case Of You,2017-11-29 06:03:00,0,1971,A,A
Boz Scaggs,A Clue,2017-11-29 06:07:00,0,1977,A,A
Todd Rundgren,A Dream Goes On Forever,2017-11-29 06:13:00,0,1974,A,A
Lou Reed,A Gift,2017-11-29 06:16:00,0,1975,A,A
Poco,A Good Feelin' To Know,2017-11-29 06:23:00,0,1972,A,A
Mac Davis,A Little Less Conversation,2017-11-29 06:26:00,0,1971,A,A
Neil Young,A Man Needs A Maid,2017-11-29 06:29:00,0,1972,A,A
Lou Rawls,A Natural Man,2017-11-29 06:33:00,0,1971,A,A
David Bowie,A New Career In A New Town,2017-11-29 06:36:00,0,1977,A,A
Pablo Cruise,A Place In The Sun,2017-11-29 06:41:00,0,1977,A,A
"Johnny ""Guitar"" Watson",A Real Mother For Ya,2017-11-29 06:45:00,0,1977,A,A
Weather Report,A Remark You Made,2017-11-29 06:50:00,0,1977,A,A
Fairport Convention,A Sailor's Life,2017-11-29 06:58:00,0,0,A,A
Procol Harum,A Salty Dog,2017-11-29 07:13:00,0,0,A,A
Joan Baez,A Simple Twist Of Fate,2017-11-29 07:18:00,0,1975,A,A
Chicago,A Song For Richard And His Friends,2017-11-29 07:25:00,0,1971,A,A
Donny Hathaway,A Song For You,2017-11-29 07:31:00,0,1971,A,A
Leon Russell,A Song For You,2017-11-29 07:37:00,0,1970,A,A
Genesis,A Trick Of The Tail,2017-11-29 07:43:00,0,1976,A,A
Peter Gabriel,A Wonderfull Day In A One-Way World,2017-11-29 07:47:00,0,1977,A,A
Hall & Oates,Abandoned Luncheonette,2017-11-29 07:53:00,0,1973,A,Abandoned
Jackson 5,ABC,2017-11-29 07:57:00,0,1970,A,ABC
Blue Ash,Abracadabra (Have You Seen Her?),2017-11-29 08:01:00,0,1973,A,Abracadabra
The Band,Acadian Driftwood,2017-11-29 08:04:00,0,1975,A,Acadian
Warren Zevon,Accidently Like A Martyr,2017-11-29 08:12:00,0,1978,A,Accidently
Elvis Costello,Accidents Will Happen,2017-11-29 08:16:00,0,1979,A,Accidents
Motorhead,Ace Of Spades,2017-11-29 08:22:00,0,0,A,Ace
O.V. Wright,Ace Of Spades,2017-11-29 08:25:00,0,1971,A,Ace
Silverhead,Ace Supreme,2017-11-29 08:27:00,0,1972,A,Ace
Led Zeppelin,Achilles Last Stand,2017-11-29 08:30:00,0,1976,A,Achilles
Bobby Womack,Across 110th Street,2017-11-29 08:42:00,0,1973,A,Across
David Bowie,Across The Universe,2017-11-29 08:46:00,0,1975,A,Across
The Beatles,Across The Universe,2017-11-29 08:53:00,0,1970,A,Across
