Artist,Count
Neil Young,43
David Bowie,39
Elton John,38
The Rolling Stones,37
Joni Mitchell,35
Steely Dan,34
Grateful Dead,31
Led Zeppelin,30
Bob Dylan,28
Fleetwood Mac,27
The Ramones,24
Bruce Springsteen,24
Little Feat,23
Todd Rundgren,22
The Clash,22
John Lennon,22
Eric Clapton,21
Van Morrison,21
Tom Petty & The Heartbreakers,20
Bob Marley & The Wailers,20
Pink Floyd,20
Stevie Wonder,18
Paul McCartney & Wings,17
Al Green,17
The Doobie Brothers,17
Elvis Costello,16
Lou Reed,16
Jackson Browne,16
The Eagles,16
Cat Stevens,15
George Harrison,15
The Allman Brothers,15
Queen,15
Frank Zappa,15
James Taylor,14
Genesis,14
Hall & Oates,14
Electric Light Orchestra,14
Warren Zevon,14
Paul Simon,13
Randy Newman,13
The Who,13
Yes,13
Curtis Mayfield,13
T Rex,13
Billy Joel,13
Ry Cooder,12
Blondie,12
Mott The Hoople,12
Graham Parker,11
Roxy Music,11
Patti Smith,11
Santana,11
John Prine,11
Aretha Franklin,11
Big Star,11
Lynyrd Skynyrd,11
Tom Waits,11
James Brown,11
Rod Stewart,10
Creedence Clearwater Revival,10
Chicago,10
Muddy Waters,10
The Jam,10
Marvin Gaye,10
Talking Heads,10
Bonnie Raitt,10
The Band,10
ZZ Top,10
Nick Lowe,10
The Doors,9
Boz Scaggs,9
Crosby Stills Nash & Young,9
Bee Gees,9
Black Sabbath,9
Dave Edmunds,9
Earth Wind & Fire,9
The J. Geils Band,9
Kiss,9
Alice Cooper,9
XTC,9
The Kinks,9
Paul McCartney,9
The O'Jays,9
The Isley Brothers,9
Harry Nilsson,8
The Modern Lovers,8
Leon Russell,8
Sly & The Family Stone,8
The Cars,8
Peter Tosh,8
Nick Drake,8
War,8
Three Dog Night,8
Jethro Tull,8
Wings,8
The Beatles,8
Jefferson Starship,8
Joe Jackson,8
Robert Palmer,8
J. J. Cale,7
Funkadelic,7
Rush,7
Cheap Trick,7
John Cale,7
The Spinners,7
Ringo Starr,7
Derek & The Dominos,7
Brian Eno,7
Bad Company,7
Ian Dury & The Blockheads,7
The Damned,7
Dr. John,7
The Guess Who,7
Budgie,7
The Boomtown Rats,7
Supertramp,7
The Police,7
Bill Withers,7
Television,7
Gladys Knight & the Pips,6
New Riders Of The Purple Sage,6
Joe Walsh,6
Bob Weir,6
Gram Parsons,6
The Temptations,6
The Beach Boys,6
Kool & The Gang,6
10cc,6
Linda Ronstadt,6
Jeff Beck,6
Traffic,6
Crosby Stills & Nash,6
Janis Joplin,6
Iggy Pop,6
Montrose,6
Average White Band,6
Faces,6
The Moody Blues,6
Dan Fogelberg,6
The Staple Singers,6
Gang Of Four,6
Wire,6
Aerosmith,6
Grand Funk Railroad,5
Devo,5
Steve Miller Band,5
The Meters,5
The Carpenters,5
Emerson Lake & Palmer,5
Parliament,5
Robin Trower,5
Emmylou Harris,5
Weather Report,5
Procol Harum,5
Waylon Jennings,5
Jerry Garcia,5
Willie Nelson,5
Donna Summer,5
Ian Hunter,5
Ohio Players,5
John Hartford,5
Slade,5
New York Dolls,5
The Commodores,5
NRBQ,5
Stephen Stills,5
Public Image Ltd.,5
Bachman-Turner Overdrive,5
Kris Kristofferson,5
Jesse Winchester,5
Richard Hell & The Voidoids,5
Can,5
Jimmy Buffett,5
Isaac Hayes,5
The Knack,4
Barry Manilow,4
Peter Frampton,4
Dave Mason,4
Van Halen,4
AC/DC,4
Kraftwerk,4
Dire Straits,4
Joan Baez,4
David Bromberg,4
Bob Welch,4
Crazy Horse,4
Michael Franks,4
The Alan Parsons Project,4
Hot Tuna,4
Michael Jackson,4
David Johansen,4
Dead Boys,4
Bob Seger & The Silver Bullet Band,4
B-52's,4
Jackson 5,4
Bob Dylan And The Band,4
Bob Seger,4
Leonard Cohen,4
Carole King,4
Syd Barrett,4
Pere Ubu,4
Nils Lofgren,4
The Velvet Underground,4
The Raspberries,4
Brothers Johnson,4
Boston,4
Thin Lizzy,4
The Heptones,4
Iggy & The Stooges,4
Mink DeVille,4
Kansas,4
Jimi Hendrix,4
Suicide,4
Freddie King,4
