Artist,Title,Air Time,Letter,First Word,Duration
Warren Zevon,A Certain Girl,2018-11-28 08:01:00,A,A,3
U2,A Day Without Me,2018-11-28 08:04:00,A,A,3
The Cure,A Forest,2018-11-28 08:07:00,A,A,6
The Waterboys,A Girl Called Johnny,2018-11-28 08:13:00,A,A,5
Romeo Void,A Girl in Trouble (Is a Temporary Thing),2018-11-28 08:18:00,A,A,7
The Smithereens,A Girl Like You,2018-11-28 08:25:00,A,A,4
Albert Collins,A Good Fool Is Hard To Find,2018-11-28 08:29:00,A,A,4
Phil Collins,A Groovy Kind Of Love,2018-11-28 08:33:00,A,A,5
The Weirdos,A Life Of Crime,2018-11-28 08:38:00,A,A,15
Erasure,A Little Respect,2018-11-28 08:53:00,A,A,2
Michael Hedges,A Love Bizarre,2018-11-28 08:55:00,A,A,4
A.R. Kane,A Love From Outer Space,2018-11-28 08:59:00,A,A,5
Gang Of Four,A Man With A Good Car,2018-11-28 09:04:00,A,A,5
Los Lobos,A Matter Of Time,2018-11-28 09:09:00,A,A,4
The Plimsouls,A Million Miles Away,2018-11-28 09:13:00,A,A,3
The Flesh Eaters,"A Minute To Pray, A Second To Die",2018-11-28 09:16:00,A,A,4
Billy Bragg,A New England,2018-11-28 09:20:00,A,A,3
DJ Jazzy Jeff & The Fresh Prince,A Nightmare On My Street,2018-11-28 09:23:00,A,A,5
The Trypes,A Plan Revisited,2018-11-28 09:28:00,A,A,4
Echo & The Bunnymen,A Promise,2018-11-28 09:32:00,A,A,5
Depeche Mode,A Question Of Time,2018-11-28 09:37:00,A,A,4
David & David,A Rock For The Forgotten,2018-11-28 09:41:00,A,A,5
Herbie Hancock,A Slight Smile,2018-11-28 09:46:00,A,A,10
The Style Council,A Solid Bond In Your Heart,2018-11-28 09:56:00,A,A,4
Magazine,A Song From Under the Floorboards,2018-11-28 10:00:00,A,A,4
U2,A Sort Of Homecoming,2018-11-28 10:04:00,A,A,6
The dB's,A Spy In The House Of Love,2018-11-28 10:10:00,A,A,4
The Jam,A Town Called Malice,2018-11-28 10:14:00,A,A,3
Duran Duran,A View To A Kill,2018-11-28 10:17:00,A,A,3
