Artist,Title,Air Time,First Character,Duration,Year
Minutemen,#1 Hit Song,2018-12-09 11:50:00,#,2,1984
The Blow Monkeys with Curtis Mayfield,(Celebrate) The Day After You,2018-12-09 11:52:00,(,8,1987
Ministry,(Every Day Is) Halloween,2018-12-09 12:00:00,(,7,1985
Cutting Crew,(I Just) Died in Your Arms,2018-12-09 12:07:00,(,5,1989
Joan Armatrading,(I Love It When You) Call Me Names,2018-12-09 12:12:00,(,5,1983
Ian Hunter,(I'm The) Teacher,2018-12-09 12:17:00,(,4,1984
A Flock Of Seagulls,(It's Not Me) Talking,2018-12-09 12:21:00,(,6,1981
John Lennon,(Just Like) Starting Over,2018-12-09 12:27:00,(,4,1980
The Human League,(Keep Feeling) Fascination,2018-12-09 12:31:00,(,4,1983
Talking Heads,(Nothing But) Flowers,2018-12-09 12:35:00,(,7,1988
Was (Not Was),(Return To The Valley Of) Out Come The Freaks,2018-12-09 12:42:00,(,4,1983
They Might Be Giants,(She Was A) Hotel Detective,2018-12-09 12:46:00,(,2,1985
Stray Cats,(She's) Sexy And 17,2018-12-09 12:48:00,(,5,1983
The Stone Roses,(Song For My) Sugar Spun Sister,2018-12-09 12:53:00,(,3,1989
Heaven 17,(We Don't Need This) Fascist Groove Thing,2018-12-09 12:56:00,(,5,1986
Beastie Boys,(You Gotta) Fight For Your Right (To Party),2018-12-09 13:01:00,(,3,1987
My Life With Thrill Kill Kult,...And This is What the Devil Does!,2018-12-09 13:04:00,.,8,1987
Fishbone,? (Modern Industry),2018-12-09 13:12:00,?,4,1985
Half Japanese,"1,000,000 Kisses",2018-12-09 13:16:00,1,2,1989
The Monochrome Set,10 Don'ts For Honeymooners,2018-12-09 13:18:00,1,5,1981
U2,11 O'Clock Tick Tock,2018-12-09 13:23:00,1,3,1980
NRBQ,12 Bar Blues,2018-12-09 13:26:00,1,3,1983
Tom Waits,16 Shells From A Thirty-Ought-Six,2018-12-09 13:29:00,1,6,1983
Paul Hardcastle,19,2018-12-09 13:35:00,1,4,1985
Prince,1999,2018-12-09 13:39:00,1,3,1982
Game Theory,24,2018-12-09 13:42:00,2,3,1985
Happy Mondays,24 Hour Party People,2018-12-09 13:45:00,2,6,1987
The Dukes Of Stratosphear,25 O'Clock,2018-12-09 13:51:00,2,5,1985
Chic,26,2018-12-09 13:56:00,2,5,1980
Trans-X,3-D Dance,2018-12-09 14:01:00,3,5,1983
Herbie Hancock,4 AM,2018-12-09 14:06:00,4,7,1980
U2,40,2018-12-09 14:13:00,4,3,1983
X,4th Of July,2018-12-09 14:16:00,4,3,1987
Julian Cope,5 O'Clock World,2018-12-09 14:19:00,5,5,1988
The Hooters,500 Miles,2018-12-09 14:24:00,5,4,1989
B-52's,53 Miles West Of Venus,2018-12-09 14:28:00,5,5,1980
Nick Lowe,7 Nights To Rock,2018-12-09 14:33:00,7,3,1985
The Time,777-9311,2018-12-09 14:36:00,7,9,1982
The Nails,88 Lines About 44 Women,2018-12-09 14:45:00,8,5,1984
Dolly Parton,9 To 5,2018-12-09 14:50:00,9,3,1980
Garland Jeffreys,96 Tears,2018-12-09 14:53:00,9,4,1981
Nena,99 Luftballoons,2018-12-09 14:57:00,9,3,1983
