Artist,Title,Air Time,Letter,First Word,Duration,Year
U2,A Sort Of Homecoming,2018-11-28 10:04:00,A,A,6,1984
Bruce Springsteen,Atlantic City,2018-11-28 20:15:00,A,Atlantic,4,1982
AC/DC,Back In Black,2018-11-28 21:41:00,B,Back,4,1981
U2,Bad,2018-11-28 22:14:00,B,Bad,6,1984
Todd Rundgren,Bang The Drum All Day,2018-11-28 23:26:00,B,Bang,3,1982
Michael Jackson,Beat It,2018-11-29 00:33:00,B,Beat,5,1982
Michael Jackson,Billie Jean,2018-11-29 04:05:00,B,Billie,5,1982
New Order,Blue Monday,2018-11-29 06:07:00,B,Blue,5,1983
Bruce Springsteen,Brilliant Disguise,2018-11-29 08:43:00,B,Brilliant,4,1987
Dire Straits,Brothers In Arms,2018-11-29 09:32:00,B,Brothers,7,1985
New Order,Ceremony,2018-11-29 14:42:00,C,Ceremony,6,1981
Dexy's Midnight Runners,Come On Eileen,2018-11-29 19:39:00,C,Come,4,1982
Bruce Springsteen,Dancing In The Dark,2018-11-30 01:18:00,D,Dancing,5,1984
The Pixies,Debaser,2018-11-30 03:22:00,D,Debaser,3,1989
Paul Simon,Diamonds On The Soles Of Her Shoes,2018-11-30 04:26:00,D,Diamonds,6,1986
Crowded House,Don't Dream It's Over,2018-11-30 09:05:00,D,Don't,6,1986
Peter Gabriel,Don't Give Up,2018-11-30 09:35:00,D,Don't,8,1987
Journey,Don't Stop Believin',2018-11-30 11:04:00,D,Don't,5,1984
The Who,Eminence Front,2018-11-30 17:13:00,E,Eminence,5,1982
The Police,Every Breath You Take,2018-11-30 19:00:00,E,Every,4,1983
The Police,Every Little Thing She Does Is Magic,2018-11-30 19:20:00,E,Every,4,1981
Tears For Fears,Everybody Wants To Rule The World,2018-11-30 19:43:00,E,Everybody,4,1986
Tracy Chapman,Fast Car,2018-11-30 23:48:00,F,Fast,6,1988
Paul Simon,Graceland,2018-12-01 11:55:00,G,Graceland,5,1986
Leonard Cohen,Hallelujah,2018-12-01 13:30:00,H,Hallelujah,6,1984
John Hiatt,Have A Little Faith In Me,2018-12-01 15:28:00,H,Have,4,1987
U2,I Still Haven't Found What I'm Looking For,2018-12-02 07:18:00,I,I,5,1987
Bruce Springsteen,I'm On Fire,2018-12-02 12:49:00,I,I'm,4,1984
The Cure,In Between Days,2018-12-02 13:29:00,I,In,3,1985
Peter Gabriel,In Your Eyes,2018-12-02 14:20:00,I,In,7,1986
Jane's Addiction,Jane Says,2018-12-02 19:52:00,J,Jane,5,1987
Tom Waits,Jersey Girl,2018-12-02 20:25:00,J,Jersey,5,1980
Paul Simon,Late In The Evening,2018-12-03 04:06:00,L,Late,3,1980
Madonna,Like A Prayer,2018-12-03 08:15:00,L,Like,8,1989
Prince,Little Red Corvette,2018-12-03 09:40:00,L,Little,6,1982
New Order,Love Vigilantes,2018-12-03 15:55:00,L,Love,5,1985
The Cure,Lovesong,2018-12-03 16:50:00,L,Lovesong,5,1989
Michael Jackson,Man In The Mirror,2018-12-03 19:47:00,M,Man,6,1987
Elvis Costello,Man Out Of Time,2018-12-03 20:00:00,M,Man,6,1982
The Pretenders,Middle Of The Road,2018-12-03 23:42:00,M,Middle,5,1983
Dire Straits,Money For Nothing,2018-12-04 01:40:00,M,Money,8,1985
The Pretenders,Mystery Achievement,2018-12-04 06:46:00,M,Mystery,9,1980
U2,New Years Day,2018-12-04 09:50:00,N,New,6,1983
Pink Floyd,On The Turning Away,2018-12-04 15:59:00,O,On,6,1987
John Mellencamp,Pink Houses,2018-12-05 00:55:00,P,Pink,5,0
Prince,Purple Rain,2018-12-05 05:59:00,P,Purple,9,1989
Blondie,Rapture,2018-12-05 08:38:00,R,Rapture,7,1980
The Clash,Rock The Casbah,2018-12-05 14:29:00,R,Rock,4,1981
Neil Young,Rockin' In The Free World,2018-12-05 14:59:00,R,Rockin',5,1989
Kate Bush,Running Up That Hill,2018-12-05 17:38:00,R,Running,8,1986
