Artist,Duration
Bruce Springsteen,149
R. E. M.,107
Prince,107
U2,105
Madonna,87
Talking Heads,86
The Pretenders,70
Psychedelic Furs,69
Husker Du,65
The Replacements,61
Bob Dylan,58
The Rolling Stones,58
The Cure,58
David Bowie,57
The Police,56
Elvis Costello,55
Depeche Mode,55
Lou Reed,52
The Smiths,51
Peter Gabriel,50
Hall & Oates,49
New Order,48
Jackson Browne,47
XTC,45
Squeeze,44
Joe Jackson,43
Tom Waits,42
B-52's,41
The Hooters,41
Michael Jackson,40
Van Morrison,40
Oingo Boingo,40
John Lennon,39
Yes,39
Simple Minds,38
The Clash,38
Paul Simon,37
Metallica,36
Bob Seger & The Silver Bullet Band,36
The Fall,36
The Stone Roses,35
Journey,35
The Jesus And Mary Chain,35
Dire Straits,34
Genesis,34
Stevie Ray Vaughan,34
Laurie Anderson,33
The Waterboys,33
Pete Townshend,33
Duran Duran,33
Steve Winwood,33
The J. Geils Band,33
INXS,33
Robert Plant,32
The Dream Syndicate,31
The Jam,31
Midnight Oil,31
Stevie Wonder,30
Aerosmith,30
Van Halen,29
Sting,29
Heaven 17,29
Echo & The Bunnymen,29
Adam & The Ants,29
UB40,28
Fleetwood Mac,28
The Feelies,28
Royal Crescent Mob,27
Tom Petty & The Heartbreakers,27
Todd Rundgren,27
Phish,27
Rickie Lee Jones,27
Prince & The Revolution,27
Devo,26
Heart,26
Bauhaus,26
Phil Collins,26
Eric Clapton,26
Def Leppard,26
Billy Idol,26
The Kinks,25
"10,000 Maniacs",25
Love And Rockets,25
Run-DMC,25
Paul McCartney,25
Nick Lowe,24
Orchestral Manoeuvres In The Dark,24
The Smithereens,24
LL Cool J,24
Dwight Yoakam,24
De La Soul,23
Prefab Sprout,23
Culture Club,23
Kraftwerk,23
Sonic Youth,23
AC/DC,23
King Crimson,23
Rush,22
Neil Young,22
Grace Jones,22
The Soft Boys,22
John Hiatt,22
Big Audio Dynamite,22
John Mellencamp,22
Tom Petty,22
George Michael,22
The Pixies,21
Cheap Trick,21
Galaxie 500,21
Kate Bush,21
Fine Young Cannibals,21
Romeo Void,21
Leonard Cohen,21
Tears For Fears,21
Robyn Hitchcock,21
Warren Zevon,20
Grateful Dead,20
Dead Milkmen,20
Soft Cell,20
The Style Council,20
The Stranglers,20
ZZ Top,20
Stan Ridgway,20
Men At Work,20
Billy Joel,20
Whitney Houston,20
George Harrison,20
Wham!,20
Mission Of Burma,20
Missing Persons,19
Beastie Boys,19
Randy Newman,19
Steely Dan,19
Eurythmics,19
Bobby Brown,19
Camper Van Beethoven,19
Blancmange,19
The Who,19
Red Hot Chili Peppers,19
The Pogues,18
Earth Wind & Fire,18
Violent Femmes,18
Lords Of The New Church,18
Neil Diamond,18
Joy Division,18
Ultravox,18
Billy Bragg,18
Pet Shop Boys,18
The Plimsouls,18
The Cramps,18
X,18
Bangles,18
Felt,17
Womack & Womack,17
Cabaret Voltaire,17
Kid Creole & The Coconuts,17
The English Beat,17
Herbie Hancock,17
Suzanne Vega,17
The Clean,17
Rick James,17
Art Of Noise,17
John Prine,17
The Thompson Twins,16
Minutemen,16
Hoodoo Gurus,16
ESG,16
The Mekons,16
The Sisters Of Mercy,16
Indigo Girls,16
Jason & The Scorchers,16
Timbuk 3,16
Eric B & Rakim,16
The Birthday Party,16
Bon Jovi,16
Yello,16
Stevie Nicks,16
Rank & File,16
A.R. Kane,16
Sade,16
World Party,16
Bow Wow Wow,16
Cyndi Lauper,16
NRBQ,15
Graham Parker,15
Whodini,15
Mantronix,15
The Waitresses,15
The Ramones,15
General Public,15
Way Of The West,15
Aretha Franklin,15
Patti LaBelle,15
Los Lobos,15
Bodeans,15
Lyle Lovett,15
The Weirdos,15
Talk Talk,15
Afrika Bambaata & Soul Sonic Force,15
Public Enemy,15
Meat Puppets,14
The Godfathers,14
Sparks,14
Neville Brothers,14
Spandau Ballet,14
Marvin Gaye,14
Nanci Griffith,14
Motley Crue,14
Chris Isaak,14
The Alan Parsons Project,14
Joan Jett And The Blackhearts,14
Big Country,14
The dB's,14
Midnight Star,14
Blondie,14
Billy Ocean,14
Opal,14
New Edition,14
Fishbone,14
Linda Ronstadt,14
Dave Edmunds,14
Cocteau Twins,14
The Gap Band,14
Bob Marley & The Wailers,13
Teena Marie,13
Boz Scaggs,13
Donald Fagen,13
Robyn Hitchcock & The Egyptians,13
Guns n Roses,13
Maze featuring Frankie Beverly,13
Willie Nelson,13
Beat Happening,13
The House Of Love,13
Toots Hibbert,13
Albert Collins,13
Siouxsie & The Banshees,13
The Dirty Dozen Brass Band,13
Jane Siberry,13
Lionel Richie,13
Madness,13
Olivia Newton-John,13
Milli Vanilli,13
Paula Abdul,12
The Cars,12
Black Flag,12
Jane's Addiction,12
Iggy Pop,12
Robert Palmer,12
Michael Penn,12
Icehouse,12
Howard Jones,12
Simply Red,12
Big Daddy Kane,12
Split Enz,12
The Specials,12
Shriekback,12
The Flaming Lips,12
Atlantic Starr,12
ABC,12
Weather Report,12
The Rave Ups,12
Michelle Shocked,12
Aztec Camera,12
Malcolm McLaren,12
Queen,12
Television Personalities,12
The Commodores,12
Spacemen 3,12
Colin Newman,12
Willie Dixon,12
The Go-Betweens,12
Robbie Robertson,12
John Cougar,11
Zapp & Roger,11
The Subdudes,11
Joan Armatrading,11
Lucinda Williams,11
Joan Jett,11
The Comsat Angels,11
Alice Cooper,11
Pink Floyd,11
Rick Springfield,11
Peter Murphy,11
Haircut One Hundred,11
Bruce Cockburn,11
Mojo Nixon,11
Chicago,11
Enya,11
Peter Case,11
Bonnie Raitt,11
Foreigner,11
Traveling Wilburys,11
The Golden Palominos,11
The Housemartins,11
Sinead O'Connor,11
Irene Cara,11
Weird Al Yankovic,11
DFX2,11
Ozzy Osbourne,10
Judas Priest,10
Steve Earle,10
Cinderella,10
The Long Ryders,10
Pat Metheny,10
Nine Inch Nails,10
Crowded House,10
Keith Richards,10
Fad Gadget,10
Killing Joke,10
Toto,10
Ebn Ozn,10
The Blasters,10
Digital Underground,10
Dominatrix,10
Joni Mitchell,10
Kurtis Blow,10
Mick Jagger,10
The Mighty Lemon Drops,10
Boogie Down Productions,10
Ben Vaughn Combo,10
Soul II Soul,10
Cheryl Lynn,10
Guadalcanal Diary,10
Three Times Dope,10
Book Of Love,10
Slick Rick,10
Blotto,10
The Undertones,10
Bruce Hornsby & The Range,10
Bryan Ferry,10
New Kids On The Block,10
Shannon,10
Nick Cave & The Bad Seeds,10
Melissa Etheridge,10
The Pointer Sisters,9
The Cult,9
The Dazz Band,9
The Blue Nile,9
The Saints,9
The Go Gos,9
The Pastels,9
Soundgarden,9
My Bloody Valentine,9
Paul Young,9
Neil Young & Crazy Horse,9
The Europeans,9
The Jim Carroll Band,9
Roxy Music,9
Skinny Puppy,9
Julie Brown,9
Gang Of Four,9
Gary Numan,9
Everything But The Girl,9
Belinda Carlisle,9
The Vels,9
Janet Jackson,9
Yarbrough & Peoples,9
Any Trouble,9
Yazoo,9
The Balancing Act,9
Gary Myrick,9
Tracy Chapman,9
Huey Lewis and the News,9
Kiss,9
Kissing The Pink,9
Klaus Nomi,9
Guy,9
Ultramagnetic MC's,8
The Untouchables,8
Poison,8
Masters Of Reality,8
The Human League,8
Kool & The Gang,8
Donnie Iris,8
"Joe ""King"" Carrasco And The Crowns",8
Primal Scream,8
Peter Tosh,8
REO Speedwagon,8
James Taylor,8
Jevetta Steele,8
The Jungle Brothers,8
Pat Benatar,8
Red Rider,8
Michael Stanley Band,8
James Brown,8
Orange Juice,8
Generation X,8
Nina Hagen,8
George Thorogood & The Destroyers,8
Neneh Cherry,8
The Gun Club,8
The Pandoras,8
Adrian Belew,8
Wipers,8
Ken Laszlo,8
Taco,8
Yaz,8
King Sunny Ade,8
Kajagoogoo,8
World's Famous Supreme Team Show,8
Wall Of Voodoo,8
The Roches,8
Les Rita Mitsouko,8
The Cretones,8
Kirsty MacColl,8
Wire,8
King,8
Whitesnake,8
Josie Cotton,8
Luther Vandross,8
Was (Not Was),8
Lyle Lovett & His Large Band,8
Wang Chung,8
The Flesh Eaters,8
Suicide,7
Georgia Satellites,7
Grandmaster Flash & The Furious 5,7
George Kranz,7
Adam Ant,7
Green On Red,7
The Armoury Show,7
This Mortal Coil,7
David Gilmour,7
Pat Metheny Group,7
The Circle Jerks,7
Game Theory,7
B Movie,7
Frankie Smith,7
Flash And The Pan,7
"Evelyn ""Champagne"" King",7
Willie Nile,7
Salt N Pepa,7
The Dukes Of Stratosphear,7
Chaz Jankel,7
Dumptruck,7
DJ Jazzy Jeff & The Fresh Prince,7
Mtume,7
Peter Wolf,7
k. d. lang,7
Lime Spiders,7
Lone Justice,7
Lisa Lisa & Cult Jam,7
Kenny Loggins,7
Ian Hunter,7
Lloyd Cole & The Commotions,7
Jon Anderson,7
The Rainmakers,7
Lou Gramm,7
The Time,6
Danny & Dusty,6
Scritti Politti,6
Chaka Khan,6
Christian Death,6
Scruffy The Cat,6
Roky Erickson & The Aliens,6
Cowboy Junkies,6
Mr. Mister,6
Robert Hazard & The Heroes,6
Lyres,6
Biz Markie,6
Rob Base & DJ E-Z Rock,6
Happy Mondays,6
David Lindley,6
Deborah Harry,6
Del Fuegos,6
Dennis Edwards,6
Visage,6
Pylon,6
Dinosaur Jr,6
Vicious Pink,6
Dolly Parton & Kenny Rogers,6
Don Henley,6
Bob Mould,6
Big Black,6
The The,6
The Residents,6
Ziggy Marley,6
That Petrol Emotion,6
808 State,6
A Flock Of Seagulls,6
Technotronic,6
Young Marble Giants,6
Lene Lovich,6
Suicidal Tendencies,6
Sugarcubes,6
The Church,6
Styx,6
Stray Cats,6
Alex Chilton,6
The S.O.S. Band,6
Alien Sex Fiend,6
Liquid Liquid,6
Ambrosia,6
Lisa Stansfield,6
Aswad,6
Au Pairs,6
Little Feat,6
Sparks & Jane Wiedlin,6
Berlin,6
Mary Jane Girls,6
Social Distortion,6
Pretty Poison,6
Ringo Starr,6
Jeffrey Osborne,6
Morrissey,6
George Benson,6
I Love Ethyl,6
The Lyres,6
Nitzer Ebb,6
Fiction Factory,6
Holly & The Italians,6
They Might Be Giants,6
Graham Parker & The Rumor,6
Imagination,6
The Isley Brothers,6
Mojo Nixon & Skid Roper,6
Too Short,6
James McMurtry,6
The Power Station,6
Nirvana,6
The Moody Blues,6
Paul Collins Beat,6
"The Jungle Brothers (w/ De La Soul, Queen Latifah, Q-Tip and Monie Love)",6
Naked Eyes,6
Tom Tom Club,6
The Wipers,5
C. Memi,5
Julee Cruise,5
Specimen,5
Bobby Womack,5
Tom Browne,5
Bad Brains,5
Living Colour,5
The D.O.C.,5
Japan,5
The Damned,5
Blue Oyster Cult,5
Ben Watt,5
The Plasmatics,5
Michael McDonald,5
Jaco Pastorius,5
Slayer,5
Bill Nelson,5
Wire Train,5
EPMD,5
Spinal Tap,5
Aretha Franklin and George Michael,5
Kon Kan,5
The Alarm,5
The Afghan Whigs,5
The Adult Net,5
Zero Boys,5
Harold Faltermeyer,5
Teddy Pendergrass,5
A.C. Marias,5
Laura Branigan,5
The Call,5
Alannah Myles,5
Supertramp,5
The Samples,5
Great White,5
Throwing Muses,5
Third World,5
Tiffany,5
Aldo Nova,5
Tina Turner,5
Altered Images,5
Steve Miller Band,5
Animotion,5
Anita Baker,5
Steve Arrington,5
Patti Austin,5
Stephanie Mills,5
Boytronic,5
Sam Phillips,5
The Wedding Present,5
Richard Marx,5
Richard & Linda Thompson,5
Johnny Winter,5
Pearl Harbor & The Explosions,5
Ready For the World,5
Del Amitri,5
Deneice Williams,5
Randy Meisner,5
Johnny Kemp,5
Descendents,5
Diana Ross,5
Diana Ross & Lionel Richie,5
Public Image Ltd.,5
Eddie Grant,5
The Vaselines,5
Don Johnson,5
Johnny Clegg & Savuka,5
Tuxedomoon,5
John Waite,5
Dramarama,5
Marshall Crenshaw,5
Poi Dog Pondering,5
The Raincoats,5
Phillip Bailey,5
Pigbag,5
The Flirts,5
Rebbie Jackson,5
Jerry Harrison,5
David & David,5
The Three O'Clock,5
Carmel,5
Freddie Mercury,5
Paul Carrack,5
Lulu Temple,5
Clock DVA,5
The Joe Perry Project,5
David Byrne,5
Merle Haggard,5
Robert Wyatt,5
Danzig,5
Kool Moe Dee,5
M + M,5
Rita Marley,5
Falco,5
David Bowie & Bing Crosby,5
The Posies,4
Waylon Jennings,4
The Blow Monkeys,4
The Tragically Hip,4
Y Pants,4
The Erector Set,4
The Trypes,4
Voice Of The Beehive,4
The Passions,4
The Offs,4
The Proclaimers,4
The Fleshtones,4
The Bongos,4
Thompson Twins,4
The Monochrome Set,4
Thrashing Doves,4
The Wake,4
The Icicle Works,4
Yeah Yeah Noh,4
The Chameleons,4
Wendy & Lisa,4
Translator,4
Tom Robinson,4
Toni Basil,4
The Wolfgang Press,4
Toy Dolls,4
War,4
The Germs,4
Toni Childs,4
The Raisins,4
Murray Head,4
Kim Wilde,4
Michael Sembello,4
"Lipps, Inc.",4
Loverboy,4
Eddie Murphy,4
M/A/R/R/S,4
Echo And The Bunnymen,4
Magazine,4
Eazy E,4
Matthew Wilder,4
Melissa Manchester,4
Men Without Hats,4
Mental As Anything,4
Dr. John,4
Michael Hedges,4
Don Dixon,4
Pat Travers,4
Mickey Jupp,4
Mico Wave,4
Ministry,4
"Dolly Parton, Linda Ronstadt, and Emmylou Harris",4
Muddy Waters,4
Musical Youth,4
N. W. A.,4
Head Cheese,4
Nelcy Sedibe,4
Died Pretty,4
Nicolette Larson,4
Dexy's Midnight Runners,4
Death Of Samantha,4
Lindsey Buckingham,4
Linda Ronstadt/Aaron Neville,4
Let's Active,4
Fairgroung Attraction,4
Grover Washington Jr.,4
Gregory Isaacs,4
Iron Maiden,4
Jesse Johnson,4
JoBoxers,4
Jody Watley,4
Great Plains,4
Graham Parker & The Shot,4
Godley & Creme,4
Go West,4
John Eddie,4
John Fogerty,4
Gloria Estefan and Miami Sound Machine,4
John Martyn,4
Gene Loves Jezebel,4
Garland Jeffreys,4
Gang Do Tagareal,4
Freeez,4
Frank Zappa,4
Junior,4
KLF,4
Kenny Rogers,4
Kim Carnes,4
The Babys,4
Force MD's,4
Lakeside,4
Larry Graham,4
Passion Fodder,4
Nazareth,4
Rod Stewart,4
Robert Hazard,4
Paul Davis,4
Rufus & Chaka Khan,4
Ry Cooder,4
Sad Lovers And Giants,4
Boys Don't Cry,4
Shop Assistants,4
Big Pig,4
Smokey Robinson,4
Sneaky Feelings,4
Barrington Levy,4
Special AKA,4
Starship,4
Bananarama,4
Baby Flamehead,4
Asia,4
Alphaville,4
Alexander O'Neal,4
Albert King,4
Air Supply,4
After The Fire,4
Survivor,4
T'Pau,4
Adolescents,4
Tall Dwarfs,4
Aaron Neville,4
14 Iced Bears,4
1000 Mexicans,4
Teardrop Explodes,4
Terry Cashman,4
Rockpile,4
Hothouse Flowers,4
China Crisis,4
Christopher Cross,4
Pseudo Echo,4
Queen Latifah,4
R. Stevie Moore,4
Buster Poindexter,4
Ray Parker Jr.,4
Reba McEntire,4
Red Rockers,4
Charlie Pickett & The Eggs,4
Chilliwack,4
Peter Schilling,4
Bryan Adams,4
Coati Mundi,4
Richard and Linda Thompson,4
Rick Astley,4
Robert Cray,4
Danny Gatton,4
Danny Wilson,4
Paul Kantner,4
Brigit Novik & M,4
Bush Tetras,3
Dixie Hummingbirds,3
Daniel Johnston,3
Greg Kihn,3
Vangelis,3
Hazel O'Connor,3
Trio,3
Tones On Tail,3
Bunnydrums,3
Fugazi,3
Brian Brain,3
Edith Massey,3
Electric Love Muffin,3
Elvis Costello & The Attractions,3
U-Men,3
Toto Coelo,3
Emmylou Harris,3
E. U.,3
Flag of Democracy,3
Dwight Twilley,3
Will Powers,3
Big Dipper,3
Bertie Higgins,3
Ben Vaughn,3
Treat Her Right,3
David Bowie & Mick Jagger,3
'Til Tuesday,3
The Woodentops,3
Paul McCartney and Stevie Wonder,3
The Fuzztones,3
Q-Feel,3
Pieces Of A Dream,3
The Innocent,3
Pete Shelley,3
Payola$,3
Patti Austin and James Ingram,3
Megadeth,3
The Lemonheads,3
New Grass Revival,3
The Motels,3
Motorhead,3
Modern English,3
The Plugz,3
Robert Earl Keen,3
The Fixx,3
Sheena Easton,3
The Del Lords,3
Skafish,3
Slow Children,3
Sosumi,3
Soul Asylum,3
Steve Martin,3
The Colourfield,3
"Steven ""Tin Tin"" Duffy",3
Strawberry Switchblade,3
The Chills,3
Tab Hunter,3
The Bobs,3
The Bluebells,3
Tanita Tikaram,3
The Polecats,3
Our Daughters Wedding,3
Leo Sayer,3
The Screaming Blue Messiahs,3
Jonathan Richman And The Modern Lovers,3
Josef K,3
Johnson Mkhalali,3
Juice Newton,3
The Stick Men,3
The Sneetches,3
The Rain Parade,3
Lenny White/Twennynine,3
John Lee Hooker,3
The Village People,3
The Vulgar Boatmen,3
Jonathan Richman,3
The Toasters,3
Little Steven & The Disciples Of Soul,3
Jan Hammer,3
Mary Black,3
MC Lyte,3
Ian Matthews,3
The Redskins,3
Lloyd Cole,3
The Reivers,3
Look Blue Go Purple,3
Joe Walsh,3
A House,2
The Vipers,2
Suburban Lawns,2
Suburban Wives Club,2
Barnes & Barnes,2
Human Zoo,2
The Chesterfield Kings,2
The Primitives,2
Tonio K.,2
The Thought,2
Billy Bremmer,2
Buckwheat Zydeco,2
The Gories,2
Psycotic Pineapple,2
Poster Children,2
Pixies,2
Erasure,2
The Jayhawks,2
Paul Kelly,2
Volcano Suns,2
Half Japanese,2
Lydia Lunch,2
Van Morrison & The Chieftains,2
The Beat Farmers,1
