Artist,Title,Air Time_x,Letter_x,First Word,Duration_x,Year,Air Time_y,Letter_y,Duration_y
Warren Zevon,A Certain Girl,2018-11-28 08:01:00,A,A,3,1980,2016-11-30 06:19:00,A,5
The Smithereens,A Girl Like You,2018-11-28 08:25:00,A,A,4,1989,2016-11-30 06:47:00,A,5
Michael Hedges,A Love Bizarre,2018-11-28 08:55:00,A,A,4,1987,2016-11-30 07:29:00,A,4
Los Lobos,A Matter Of Time,2018-11-28 09:09:00,A,A,4,1984,2016-11-30 07:38:00,A,6
The Plimsouls,A Million Miles Away,2018-11-28 09:13:00,A,A,3,1982,2016-11-30 07:44:00,A,3
Nirvana,About A Girl,2018-11-28 10:38:00,A,About,3,1989,2016-11-30 08:41:00,A,3
Steve Miller Band,Abracadabra,2018-11-28 10:41:00,A,Abracadabra,5,1982,2016-11-30 08:44:00,A,7
Jason & The Scorchers,Absolutely Sweet Marie,2018-11-28 10:56:00,A,Absolutely,4,1983,2016-11-30 08:56:00,A,4
New Order,Age Of Consent,2018-11-28 12:07:00,A,Age,7,1983,2016-11-30 10:04:00,A,5
Donnie Iris,Ah! Leah!,2018-11-28 12:14:00,A,Ah,4,1980,2016-11-30 10:17:00,A,4
Grateful Dead,Alabama Getaway,2018-11-28 12:34:00,A,Alabama,4,1980,2016-11-30 11:47:00,A,4
The Replacements,Alex Chilton,2018-11-28 12:38:00,A,Alex,3,1987,2016-11-30 12:04:00,A,4
Simple Minds,Alive And Kicking,2018-11-28 12:45:00,A,Alive,5,1985,2016-11-30 12:33:00,A,7
World Party,All Come True,2018-11-28 12:56:00,A,All,6,1986,2016-11-30 12:54:00,A,7
Stevie Wonder,All I Do,2018-11-28 13:08:00,A,All,7,1980,2016-11-30 13:22:00,A,5
Don Henley,All She Wants To Do Is Dance,2018-11-28 14:09:00,A,All,6,1984,2016-11-30 14:21:00,A,5
Bruce Springsteen,All That Heaven Will Allow,2018-11-28 14:15:00,A,All,3,1987,2016-11-30 14:26:00,A,3
The Hooters,All You Zombies,2018-11-28 14:40:00,A,All,6,1983,2016-11-30 15:12:00,A,8
Dave Edmunds,Almost Saturday Night,2018-11-28 14:57:00,A,Almost,3,1981,2016-11-30 15:28:00,A,2
Pet Shop Boys,Always on My Mind,2018-11-28 15:27:00,A,Always,4,1987,2016-11-30 15:55:00,A,4
Naked Eyes,Always Something There To Remind Me,2018-11-28 15:38:00,A,Always,3,1982,2016-11-30 16:04:00,A,6
Prince,America,2018-11-28 15:48:00,A,America,3,1985,2016-11-30 16:10:00,A,4
The Blasters,American Music,2018-11-28 15:59:00,A,American,2,1982,2016-11-30 16:27:00,A,2
The dB's,Amplifier,2018-11-28 16:14:00,A,Amplifier,3,1981,2016-11-30 16:39:00,A,3
U2,An Cat Dubh/Into The Heart,2018-11-28 16:17:00,A,An,9,1980,2016-11-30 16:51:00,A,9
They Might Be Giants,Ana Ng,2018-11-28 16:26:00,A,Ana,3,1987,2016-11-30 17:00:00,A,3
Talking Heads,And She Was,2018-11-28 16:52:00,A,And,3,1985,2016-11-30 17:13:00,A,3
The Hooters,And We Danced,2018-11-28 16:59:00,A,And,4,1986,2016-11-30 17:16:00,A,5
The Replacements,Androgynous,2018-11-28 17:03:00,A,Androgynous,3,1984,2016-11-30 17:36:00,A,3
