Title,Artist
Thunder Road,Bruce Springsteen
Like A Rolling Stone,Bob Dylan
Imagine,John Lennon
A Day In The Life,The Beatles
Born To Run,Bruce Springsteen
Stairway To Heaven,Led Zeppelin
Gimme Shelter,The Rolling Stones
Layla,Derek And The Dominoes
Sympathy For The Devil,The Rolling Stones
Hey Jude,The Beatles
Bohemian Rhapsody,Queen
In My Life,The Beatles
Into The Mystic,Van Morrison
Tangled Up In Blue,Bob Dylan
Jungleland,Bruce Springsteen
The Weight,The Band
Hallelujah,Jeff Buckley
Let It Be,The Beatles
Satisfaction,The Rolling Stones
All Along The Watchtower,Jimi Hendrix
Baba O'Reilly,The Who
God Only Knows,The Beach Boys
Comfortably Numb,Pink Floyd
Wish You Were Here,Pink Floyd
One,U2
Hallelujah,Leonard Cohen
Rosalita,Bruce Springsteen
Bridge Over Troubled Water,Simon & Garfunkel
Kashmir,Led Zeppelin
Won't Get Fooled Again,The Who
Smells Like Teen Spirit,Nirvana
Hotel California,The Eagles
London Calling,The Clash
Impossible Germany,Wilco
This Must Be The Place,The Talking Heads
At Last,Etta James
Here Comes The Sun,The Beatles
A Little Bit Of Everything,Dawes
One Big Holiday,My Morning Jacket
While My Guitar Gently Weeps,The Beatles
1952 Vincent Black Lightning,Richard Thompson
What's Going On,Marvin Gaye
Suite Judy Blue Eyes,Crosby Stills & Nash
Good Vibrations,The Beach Boys
(Sittin' On) The Dock Of The Bay,Otis Redding
Rolllin In The Deep,Adele
What A Wonderful World,Louis Armstrong
Can't You Hear Me Knocking,The Rolling Stones
Low Spark Of High Heeled Boys,Traffic
Moondance,Van Morrison
