Title,Artist,Rank_885best,Rank_xpn2020,Change
One Big Holiday,My Morning Jacket,39,572,-533
Black,Pearl Jam,85,1614,-1529
Take Me To Church,Hozier,102,908,-806
Billie Jean,Michael Jackson,111,1488,-1377
Do You Realize,The Flaming Lips,136,724,-588
Wordless Chorus,My Morning Jacket,157,1767,-1610
I Still Haven't Found What I'm Looking For,U2,160,589,-429
Diamonds And Rust,Joan Baez,176,725,-549
So What,Miles Davis,178,692,-514
Diamonds On The Soles Of Her Shoes,Paul Simon,199,682,-483
Cinnamon Girl,Neil Young,203,951,-748
Wonderwall,Oasis,209,802,-593
Since I've Been Loving You,Led Zeppelin,211,681,-470
Heavenly Day,Patty Griffin,212,709,-497
Beautiful Day,U2,224,569,-345
Let Down,Radiohead,227,721,-494
The Thrill Is Gone,B.B. King,239,620,-381
Fool In The Rain,Led Zeppelin,243,730,-487
I Wanna Be Sedated,The Ramones,244,638,-394
Born To Be Wild,Steppenwolf,248,1754,-1506
Let's Get It On,Marvin Gaye,252,745,-493
The Funeral,Band Of Horses,257,797,-540
Thank You,Led Zeppelin,271,576,-305
Someone Like You,Adele,272,798,-526
Crossroads,Cream,282,579,-297
No Quarter,Led Zeppelin,286,758,-472
Sweet Thing,Van Morrison,287,985,-698
Simple Man,Lynyrd Skynyrd,293,722,-429
Carry On,Crosby Stills Nash & Young,298,1239,-941
Dream On,Aerosmith,299,593,-294
Atlantic City,Bruce Springsteen,304,563,-259
Tangerine,Led Zeppelin,305,1066,-761
Dondante,My Morning Jacket,313,1259,-946
Tumbling Dice,The Rolling Stones,317,1685,-1368
Mr. Jones,Counting Crows,318,1275,-957
Song For Zula,Phosphorescent,319,800,-481
Gold On The Ceiling,The Black Keys,323,840,-517
Chain Of Fools,Aretha Franklin,331,1098,-767
Neighborhood #1 (Tunnels),Arcade Fire,335,1047,-712
Teenage Riot,Sonic Youth,336,1818,-1482
Clampdown,The Clash,345,980,-635
Little Red Corvette,Prince,347,836,-489
Beast Of Burden,The Rolling Stones,354,699,-345
Fearless,Pink Floyd,355,660,-305
Madame George,Van Morrison,356,629,-273
Get Back,The Beatles,358,859,-501
Money,Pink Floyd,364,1167,-803
Summer Highland Falls,Billy Joel,366,663,-297
New Slang,The Shins,368,756,-388
The Wind Cries Mary,Jimi Hendrix,369,566,-197
Viva La Vida,Coldplay,370,670,-300
Loser,Beck,372,1049,-677
Idiot Wind,Bob Dylan,376,841,-465
"Lover, You Should've Come Over",Jeff Buckley,382,652,-270
Oh! Sweet Nuthin',The Velvet Underground,389,1100,-711
Waiting On A Friend,The Rolling Stones,398,1121,-723
Last Nite,The Strokes,401,1640,-1239
Got To Give It Up,Marvin Gaye,402,643,-241
Yellow,Coldplay,408,714,-306
Ticket To Ride,The Beatles,414,1022,-608
Have A Little Faith In Me,John Hiatt,424,852,-428
Help Me,Joni Mitchell,435,1631,-1196
Wonderful Tonight,Eric Clapton,439,1064,-625
Back To Black,Amy Winehouse,440,677,-237
All Along The Watchtower,Bob Dylan,451,601,-150
Come Away With Me,Norah Jones,452,588,-136
From Eden,Hozier,453,1566,-1113
New York State Of Mind,Billy Joel,455,1473,-1018
Crazy,Gnarls Barkley,459,1434,-975
Everybody Hurts,REM,465,910,-445
Sweet Home Alabama,Lynyrd Skynyrd,470,799,-329
Eminence Front,The Who,475,968,-493
Ready To Start,Arcade Fire,479,1048,-569
I've Just Seen A Face,The Beatles,480,1352,-872
Kodachrome,Paul Simon,484,769,-285
Don't Look Back In Anger,Oasis,488,1813,-1325
#41,Dave Matthews Band,492,723,-231
Higher Ground,Stevie Wonder,494,731,-237
Everything In Its Right Place,Radiohead,497,796,-299
Dance Yrself Clean,Lcd Soundsystem,499,779,-280
You've Got A Friend,James Taylor,501,854,-353
Free Man In Paris,Joni Mitchell,505,1358,-853
All Day And All Of The Night,The Kinks,509,1293,-784
Good Times Bad Times,Led Zeppelin,510,727,-217
Little Black Submarines,The Black Keys,513,920,-407
Like A Prayer,Madonna,514,776,-262
Money For Nothing,Dire Straits,516,590,-74
Simple Twist Of Fate,Bob Dylan,518,868,-350
Sugar Mountain,Neil Young,519,1061,-542
I'm Your Captain,Grand Funk Railroad,523,2005,-1482
Late In The Evening,Paul Simon,525,1435,-910
Aqualung,Jethro Tull,527,604,-77
You've Got A Friend,Carole King,532,1989,-1457
You've Got A Friend,Carole King,532,587,-55
Pinball Wizard,The Who,536,1449,-913
In These Shoes,Kirsty Maccoll,537,1606,-1069
Street Fighting Man,The Rolling Stones,541,1122,-581
These Arms Of Mine,Otis Redding,542,1506,-964
Time Spent In Los Angeles,Dawes,543,1248,-705
Come As You Are,Nirvana,549,686,-137
Rapper's Delight,Sugar Hill Gang,550,550,0
Set Fire To The Rain,Adele,551,815,-264
Don't Fear The Reaper,Blue Oyster Cult,552,1673,-1121
