Title,Artist
We Built This City,Starship
Who Let The Dogs Out,Baha Men
Achy Breaky Heart,Billy Ray Cyrus
(You're) Having My Baby,Paul Anka
Macarena,Los Del Rio
You Light Up My Life,Debby Boone
Friday,Rebecca Black
Baby,Justin Bieber
Rockstar,Nickelback
Do You Think I'm Sexy,Rod Stewart
Barbie Girl,Aqua
Paradise By The Dashboard Light,Meatloaf
Don't Stop Believin',Journey
Muskrat Love,Captain & Tennille
Seasons In The Sun,Terry Jack
Tiptoe Through The Tulips,Tiny Tim
MacArthur Park,Richard Harris
Honey,Bobby Goldsboro
Afternoon Delight,Starland Vocal Band
My Heart Will Go On,Celion Dion
Blurred Lines,Robin Thicke
Photograph,Nickelback
Wonderful Christmastime,Paul Mccartney And Wings
YMCA,Village People
Sugar Sugar,The Archies
Disco Duck,Rick Dees
Happy,Pharrell Williams
Ice Ice Baby,Vanilla Ice
I'd Do Anything For Love,Meatloaf
I'm Too Sexy,Right Side Fred
Hotel California,The Eagles
Escape (Pina Colada Song),Rupert Holmes
We Didn't Start The Fire,Billy Joel
My Humps,Blackeyed Peas
Hey Soul Sister,Train
Mambo #5,Lou Bega
Sussudio,Phil Collins
Stairway To Heaven,Led Zeppellin
Party In The USA,Miley Cyrus
Mr. Roboto,Styx
American Pie,Don Mclean
Mmm Bop,Hanson
Dancing Queen,ABBA
Get Lucky,Daft Punk
