Artist,Title,Album,Air Time,Letter,First Word,Duration
David Gray,A Century Ends,A Century Ends,2022-12-01 08:02:27,A,A,9
Cowboy Junkies,A Common Disaster,Lay It Down,2022-12-01 08:12:21,A,A,4
My Life With Thrill Kill Kult,A Daisy Chain 4 Satan,Confessions of a Knife,2022-12-01 08:16:39,A,A,8
Bruce Cockburn,A Dream Like Mine,Recorded Live for World Cafe 10/15/91,2022-12-01 08:24:52,A,A,3
Edwyn Collins,A Girl Like You,Gorgeous George,2022-12-01 08:28:34,A,A,3
John Scofield,A Go Go,A Go Go,2022-12-01 08:32:30,A,A,7
Sugar,A Good Idea,Copper Blue,2022-12-01 08:40:12,A,A,3
Tom Petty,A Higher Place,Wildflowers,2022-12-01 08:44:09,A,A,6
The Cure,A Letter To Elise,Wish,2022-12-01 08:51:04,A,A,5
NRBQ,A Little Bit Of Bad,Message For The Mess-age,2022-12-01 08:56:17,A,A,3
Counting Crows,A Long December,Recovering The Satellites,2022-12-01 09:00:10,A,A,4
David Byrne,A Long Time Ago,David Byrne,2022-12-01 09:05:09,A,A,6
De La Soul,"A Roller Skating Jam Named ""Saturdays""",De La Soul is Dead,2022-12-01 09:11:16,A,A,3
Aretha Franklin,A Rose is Still a Rose,A Rose is Still a Rose,2022-12-01 09:15:09,A,A,4
Wilco,A Shot In The Arm,Summerteeth,2022-12-01 09:19:47,A,A,5
The Flaming Lips,A Spoonful Weighs A Ton,The Soft Bulletin,2022-12-01 09:25:24,A,A,3
Nirvana,About A Girl,MTV Unplugged In New York,2022-12-01 09:28:50,A,About,3
Billy Bragg,Accident Waiting To Happen,Don't Try This At Home,2022-12-01 09:32:00,A,Accident,5
Billy Ray Cyrus,Achy Breaky Heart,Some Gave All,2022-12-01 09:37:13,A,Achy,3
Oasis,Acquiesce,Some Might Say (single),2022-12-01 09:40:32,A,Acquiesce,4
Nanci Griffith,Across The Great Divide,Other Voices Other Rooms,2022-12-01 09:45:06,A,Across,3
Fiona Apple,Across The Universe,Pleasantville OST,2022-12-01 09:49:00,A,Across,5
Uncle Tupelo,Acuff Rose,Anodyne,2022-12-01 09:54:33,A,Acuff,2
Sarah McLachlan,Adia,Surfacing,2022-12-01 09:57:14,A,Adia,4
Red Hot Chili Peppers,Aeroplane,One Hot Minute,2022-12-01 10:01:43,A,Aeroplane,4
Hamid Baroudi,African Soul,Var-mambo Inn:big Noise 2,2022-12-01 10:05:51,A,African,5
"Dolly Parton, Linda Ronstadt, and Emmylou Harris",After The Gold Rush,Trio II,2022-12-01 10:10:58,A,After,4
Crash Test Dummies,Afternoons & Coffeespoons,God Shuffled His Feet,2022-12-01 10:15:44,A,Afternoons,3
The Tragically Hip,Ahead By A Century,Trouble At The Henhouse,2022-12-01 10:19:31,A,Ahead,3
John Prine,Ain't Hurtin' Nobody,Lost Dogs And Mixed Blessings,2022-12-01 10:23:18,A,Ain't,6
Radiohead,Airbag,OK Computer,2022-12-01 10:29:22,A,Airbag,4
Howlin' Maggie,Alcohol,Honeysuckle Strange,2022-12-01 10:34:02,A,Alcohol,4
Pixies,Alec Eiffel,Trompe Le Monde,2022-12-01 10:38:41,A,Alec,3
Ben Folds Five,Alice Childress,Ben Folds Five,2022-12-01 10:42:20,A,Alice,4
Pearl Jam,Alive,Ten,2022-12-01 10:46:42,A,Alive,5
Puff Daddy & The Family,All About The Benjamins,No Way Out,2022-12-01 10:52:34,A,All,5
Nirvana,All Apologies,In Utero,2022-12-01 10:58:25,A,All,4
Nirvana,All Apologies,MTV Unplugged In New York,2022-12-01 11:02:44,A,All,4
Sinead O'Connor,All Apologies,Universal Mother,2022-12-01 11:07:30,A,All,2
Oasis,All Around The World,Be Here Now,2022-12-01 11:09:59,A,All,9
Rosanne Cash,All Come True,Interiors: The Full Sessions,2022-12-01 11:19:31,A,All,7
Color Me Badd,All For Love,C.M.B.,2022-12-01 11:26:44,A,All,3
Sister Hazel,All For You,...Somewhere More Familiar,2022-12-01 11:30:07,A,All,10
Kirsty MacColl,All I Ever Wanted,Electric Landlady,2022-12-01 11:40:38,A,All,3
Air,All I Need,Moon Safari,2022-12-01 11:44:14,A,All,4
Alanis Morissette,All I Really Want,Jagged Little Pill,2022-12-01 11:48:20,A,All,10
Toad The Wet Sprocket,All I Want,Fear,2022-12-01 11:58:40,A,All,3
311,All Mixed Up,311,2022-12-01 12:02:24,A,All,2
Bruce Springsteen,All Or Nothin' At All,Human Touch,2022-12-01 12:05:22,A,All,3
The Replacements,All Shook Down,All Shook Down,2022-12-01 12:09:19,A,All,4
Ace Of Base,All That She Wants,The Sign,2022-12-01 12:13:56,A,All,3
John Prine,All The Best,The Missing Years,2022-12-01 12:17:22,A,All,3
blink-182,All The Small Things,Enema of the State,2022-12-01 12:20:51,A,All,4
The Subdudes,All The Time In The World,Primitive Streak,2022-12-01 12:25:14,A,All,4
Prefab Sprout,All The World Loves Lovers,Jordan: The Comeback,2022-12-01 12:29:45,A,All,5
World Party,All The Young Dudes,Ost - Clueless,2022-12-01 12:35:11,A,All,10
Elvis Costello,All This Useless Beauty,All This Useless Beauty,2022-12-01 12:45:41,A,All,9
Jamiroquai,Alright,Travelling Without Moving,2022-12-01 12:54:53,A,Alright,4
Supergrass,Alright,I Should Coco,2022-12-01 12:59:43,A,Alright,2
Mariah Carey,Always Be My Baby,Daydream,2022-12-01 13:02:38,A,Always,4
Lenny Kravitz,Always On The Run,Mama Said,2022-12-01 13:06:56,A,Always,9
Grandaddy,A.M. 180,Under The Western Freeway,2022-12-01 13:16:12,A,A,3
Love Spit Love,Am I Wrong (Angus version),Angus Soundtrack,2022-12-01 13:19:37,A,Am,4
Bad Religion,American Jesus,Recipe For Hate,2022-12-01 13:23:46,A,American,3
Francis Dunnery,American Life In The Summertime,Fearless,2022-12-01 13:26:57,A,American,4
Violent Femmes,American Music,Why Do Birds Sing?,2022-12-01 13:31:04,A,American,3
Lenny Kravitz,American Woman (Timbaland Remix),(single),2022-12-01 13:34:42,A,American,4
Luna,Anesthesia,Lunapark,2022-12-01 13:39:10,A,Anesthesia,3
Sarah McLachlan,Angel,Surfacing,2022-12-01 13:42:54,A,Angel,4
Bonnie Raitt & John Prine,Angel From Montgomery,The Bonnie Raitt Collection,2022-12-01 13:47:14,A,Angel,5
Ani DiFranco,Angry Anymore,Up Up Up Up Up Up,2022-12-01 13:52:21,A,Angry,3
POE,Angry Johnny,Hello,2022-12-01 13:55:41,A,Angry,4
Suede,Animal Nitrate,Suede,2022-12-01 14:00:34,A,Animal,3
Counting Crows,Anna Begins,August And Everything After,2022-12-01 14:03:45,A,Anna,5
Cowboy Junkies,Anniversary Song,"Pale Sun, Crescent Moon",2022-12-01 14:08:55,A,Anniversary,4
Real McCoy,Another Night,Another Night,2022-12-01 14:13:36,A,Another,3
Toni Braxton,Another Sad Love Song,Toni Braxton,2022-12-01 14:17:29,A,Another,4
The Poozies,Another Train,Chantoozies,2022-12-01 14:22:27,A,Another,5
Dave Matthews Band,Ants Marching,Under The Table And Dreaming,2022-12-01 14:28:10,A,Ants,8
Enya,Anywhere Is,The Memory Of Trees,2022-12-01 14:36:55,A,Anywhere,5
Erykah Badu,Apple Tree,Baduizm,2022-12-01 14:42:36,A,Apple,4
Rufus Wainwright,April Fools,Rufus Wainwright,2022-12-01 14:46:53,A,April,5
Lenny Kravitz,Are You Gonna Go My Way,Are You Gonna Go My Way?,2022-12-01 14:52:01,A,Are,4
Dar Williams,Are You Out There,End Of Summer,2022-12-01 14:56:54,A,Are,3
Aaliyah,Are You That Somebody,Dr. Dolittle Soundtrack,2022-12-01 15:00:26,A,Are,4
Ben Folds Five,Army,The Unauthorized Biography Of Reinhold Messner,2022-12-01 15:04:48,A,Army,4
Bj rk,Army Of Me,Post,2022-12-01 15:09:44,A,Army,3
Daft Punk,Around The World,Homework,2022-12-01 15:13:35,A,Around,12
Maxwell,Ascension (Don't Ever Wonder),Maxwell's Urban Hang Suite,2022-12-01 15:25:48,A,Ascension,5
Talk Talk,Ascension Day,Laughing Stock,2022-12-01 15:31:30,A,Ascension,6
Rage Against The Machine,Ashes In The Fall,The Battle Of Los Angeles,2022-12-01 15:37:36,A,Ashes,6
Happy Rhodes,Ashes To Ashes,Rhode Songs,2022-12-01 15:44:05,A,Ashes,3
Ben Arnold,Astral Freak,Almost Speechless,2022-12-01 15:47:42,A,Astral,4
The Band,Atlantic City,JERICHO,2022-12-01 15:51:53,A,Atlantic,6
Outkast,ATLiens,ATLiens,2022-12-01 15:58:09,A,ATLiens,4
Uncle Tupelo,Atomic Power,"March 16-20, 1992",2022-12-01 16:02:16,A,Atomic,1
Yo La Tengo,Autumn Sweater,I Can Hear The Heart Beating As One,2022-12-01 16:04:02,A,Autumn,5
Smashing Pumpkins,Ava Adore,Adore,2022-12-01 16:10:01,A,Ava,5
A Tribe Called Quest,Award Tour,Midnight Marauders,2022-12-01 16:15:41,A,Award,3
Pulp,Babies,His N Hers,2022-12-01 16:19:11,B,Babies,4
Robert Bradley's Blackwater Surprise,Baby,Time To Discover,2022-12-01 16:23:12,B,Baby,4
Elliott Smith,Baby Britain,Xo,2022-12-01 16:27:20,B,Baby,4
Chris Isaak,Baby Did A Bad Bad Thing,Forever Blue,2022-12-01 16:31:41,B,Baby,2
Steve Forbert,Baby Don't,The American In Me,2022-12-01 16:34:34,B,Baby,3
Sir Mix-A-Lot,Baby Got Back,Mack Daddy,2022-12-01 16:38:11,B,Baby,5
Sam Phillips,Baby I Can't Please You,Martinis & Bikinis,2022-12-01 16:43:56,B,Baby,3
Britney Spears,Baby One More Time,Baby One More Time,2022-12-01 16:47:31,B,Baby,3
TLC,Baby-Baby-Baby,Ooooooohhh... On the TLC Tip,2022-12-01 16:51:00,B,Baby-Baby-Baby,6
Alison Krauss,"Baby, Now That I've Found You",Now That I've Found You: A Collection,2022-12-01 16:57:12,B,Baby,4
David Gray,Babylon,White Ladder,2022-12-01 17:01:31,B,Babylon,3
Son Volt,Back Into Your World,Straightaways,2022-12-01 17:05:10,B,Back,4
Sonny Landreth,Back To Bayou Teche,Outward Bound,2022-12-01 17:10:09,B,Back,3
Meat Puppets,Backwater,Too High To Die,2022-12-01 17:13:53,B,Backwater,3
Social Distortion,Bad Luck,Somewhere Between Heaven And Hell,2022-12-01 17:17:41,B,Bad,5
The Black Crowes,Bad Luck Blue Eyes Goodbye,The Southern Harmony & Musical Companion,2022-12-01 17:23:24,B,Bad,6
Freedy Johnston,Bad Reputation,This Perfect World,2022-12-01 17:29:50,B,Bad,4
The Jayhawks,Bad Time,Tomorrow The Green Grass,2022-12-01 17:33:53,B,Bad,4
Sublime,Badfish,40oz. to Freedom,2022-12-01 17:38:37,B,Badfish,4
Social Distortion,Ball And Chain,Smewhere Between Heaven and Hell,2022-12-01 17:43:13,B,Ball,5
Elliott Smith,Ballad Of Big Nothing,Either/or,2022-12-01 17:48:53,B,Ballad,3
The Refreshments,Banditos,Fizzy Fuzzy Big & Buzzy,2022-12-01 17:52:41,B,Banditos,4
David Sanborn,Bang Bang,Upfront & Down Low,2022-12-01 17:56:53,B,Bang,5
Aqua,Barbie Girl,Aquarium,2022-12-01 18:01:54,B,Barbie,3
Duncan Sheik,Barely Breathing,Duncan Sheik,2022-12-01 18:05:07,B,Barely,4
Old 97's,Barrier Reef,Too Far To Care,2022-12-01 18:09:27,B,Barrier,5
Green Day,Basket Case,Dookie,2022-12-01 18:14:35,B,Basket,2
Richard Thompson,Bathsheeba Smiles,Mock Tudor,2022-12-01 18:17:29,B,Bathsheeba,4
Angelique Kidjo,Batonga,Logozo,2022-12-01 18:21:30,B,Batonga,6
Ben Folds Five,Battle Of Who Could Care Less,Whatever & Ever Amen,2022-12-01 18:27:59,B,Battle,6
October Project,Be My Hero,October Project,2022-12-01 18:34:50,B,Be,6
Barenaked Ladies,Be My Yoko Ono,Gordon,2022-12-01 18:40:58,B,Be,2
Massive Attack,Be Thankful For What You Got,Blue Lines,2022-12-01 18:43:40,B,Be,4
Yo La Tengo,Be Thankful For What You Got,Little Honda,2022-12-01 18:47:51,B,Be,4
Lyle Lovett,Bears,Step Inside This House,2022-12-01 18:52:45,B,Bears,4
Buckwheat Zydeco,Beast Of Burden,Where There's Smoke There's Fire,2022-12-01 18:56:50,B,Beast,4
Sensation,Beautiful Morning,Burger Habit,2022-12-01 19:00:50,B,Beautiful,3
"10,000 Maniacs",Because the Night (Live),"MTV Unplugged: 10,000 Maniacs",2022-12-01 19:04:40,B,Because,3
Susanna Hoffs,Beekeepers Blues,Susanna Hoffs,2022-12-01 19:08:20,B,Beekeepers,4
