Artist,Title,Album,Air Time,First Character,First Word,Year,Duration
Brandy,(Everything I Do) I Do It For You,Never Say Never,2022-12-08 08:34:47,(,(,1998,4
UB40,(I Can't Help) Falling in Love with You,Promises and Lies,2022-12-08 08:38:54,(,(,1993,4
Harry Connick Jr,(I Could Only) Whisper Your Name,She,2022-12-08 08:43:25,(,(,1994,4
The Subdudes,(You'll Be) Satisfied,Annunciation,2022-12-08 08:48:23,(,(,1994,6
Bob Dylan,'Til I Fell In Love With You,Time Out of Mind,2022-12-08 08:54:53,','Til,1997,5
Garbage,#1 Crush,Absolute Garbage,2022-12-08 09:00:40,#,#,0,4
Dave Matthews Band,#41,Crash,2022-12-08 09:05:14,#,#,1996,8
East Coast Family,1-4-All-4-1,1-4-All-4-1,2022-12-08 09:13:18,1,1-4-All-4-1,1996,4
Coolio,"1, 2, 3, 4 (Sumpin' New)",Gangsta's Paradise,2022-12-08 09:17:28,1,1,1995,3
Sonic Youth,100%,Dirty,2022-12-08 09:21:08,1,100,1992,2
Crystal Waters,100% Pure Love,Storyteller,2022-12-08 09:23:34,1,100,1994,5
Richard Thompson,1952 Vincent Black Lightning,Rumor and Sigh,2022-12-08 09:28:36,1,1952,1991,4
Smashing Pumpkins,1979,Melon Collie & The Infinite Sadness,2022-12-08 09:33:14,1,1979,1995,4
Spice Girls,2 Become 1,Spice,2022-12-08 09:37:29,2,2,1996,3
Lucinda Williams,2 Kool 2 B Forgotten,Car Wheels On A Gravel Road,2022-12-08 09:41:19,2,2,1998,5
MC Hammer,2 Legit 2 Quit,Too Legit To Quit,2022-12-08 09:47:14,2,2,1991,5
Hooverphonic,2 Wicky,Stealing Beauty Ost,2022-12-08 09:52:57,2,2,0,4
Matchbox Twenty,3 AM,Yourself or Someone Like You,2022-12-08 09:57:23,3,3,1996,4
Bahamadia,3 Tha Hard Way,Kollage,2022-12-08 10:01:29,3,3,1996,4
Ani DiFranco,32 Flavors,Not A Pretty Girl,2022-12-08 10:05:35,3,32,1995,8
Michelle Shocked,33 Rpm Soul,Arkansas Traveller,2022-12-08 10:13:44,3,33,0,3
Aimee Mann,4th Of July,Whatever,2022-12-08 10:17:20,4,4th,1993,3
Blue Rodeo,5 Days In May,Five Days In July,2022-12-08 10:20:49,5,5,1993,4
PJ Harvey,50 Ft. Queenie,Rid Of Me,2022-12-08 10:25:09,5,50,1993,3
Bruce Springsteen,57 Channels (And Nothin' On),Human Touch,2022-12-08 10:28:41,5,57,1992,2
Sneaker Pimps,6 Underground,Becoming X,2022-12-08 10:31:03,6,6,1996,4
Liz Phair,"6'1""",Exile In Guyville,2022-12-08 10:35:10,6,6'1,1993,2
The Wallflowers,6th Avenue Heartache,Bringing Down The Horse,2022-12-08 10:38:08,6,6th,1996,7
Prince & the New Power Generation,7,Love Symbol,2022-12-08 10:45:46,7,7,1992,4
Youssou N'Dour,7 Seconds,The Guide,2022-12-08 10:50:19,7,7,1994,5
Southern Culture On The Skids,8 Piece Box,Dirt Track Date,2022-12-08 10:56:13,8,8,1995,4
Souls of Mischief,'93 til Infinity,'93 til Infinity,2022-12-08 11:00:36,','93,1993,4
Suzanne Vega,99.9 F,99.9 F,2022-12-08 11:05:15,9,99,1992,3
