Artist,Title,Air Time
Jackson 5,ABC,2016-11-30 06:01:00
Elvis Presley,A Big Hunk O' Love,2016-11-30 06:04:00
Johnny Cash,A Boy Named Sue (live),2016-11-30 06:06:00
Joni Mitchell,A Case Of You,2016-11-30 06:10:00
Ernie K-Doe,A Certain Girl,2016-11-30 06:16:00
Warren Zevon,A Certain Girl,2016-11-30 06:19:00
Sheryl Crow,A Change,2016-11-30 06:24:00
Sam Cooke,A Change Is Gonna Come,2016-11-30 06:28:00
The Beatles,A Day In The Life,2016-11-30 06:31:00
Ray Barretto,A Deeper Shade Of Soul,2016-11-30 06:36:00
Todd Rundgren,A Dream Goes On Forever,2016-11-30 06:40:00
Edwyn Collins,A Girl Like You,2016-11-30 06:43:00
The Smithereens,A Girl Like You,2016-11-30 06:47:00
Poco,A Good Feelin' To Know,2016-11-30 06:52:00
Sugar,A Good Idea,2016-11-30 06:56:00
The Beatles,A Hard Day's Night,2016-11-30 07:01:00
Bob Dylan,A Hard Rain's A-gonna Fall,2016-11-30 07:03:00
Simon & Garfunkel,A Hazy Shade Of Winter,2016-11-30 07:13:00
Tom Petty,A Higher Place,2016-11-30 07:15:00
NRBQ,A Little Bit Of Bad,2016-11-30 07:19:00
Elvis Presley & JXL,A Little Less Conversation (radio Edit Remix),2016-11-30 07:25:00
Michael Hedges,A Love Bizarre,2016-11-30 07:29:00
Neil Young,A Man Needs A Maid,2016-11-30 07:33:00
Los Lobos,A Matter Of Time,2016-11-30 07:38:00
The Plimsouls,A Million Miles Away,2016-11-30 07:44:00
Lou Rawls,A Natural Man,2016-11-30 07:47:00
Jim James,A New Life,2016-11-30 07:51:00
Procol Harum,A Salty Dog,2016-11-30 07:55:00
Wilco,A Shot In The Arm,2016-11-30 08:00:00
Coldplay,A Sky Full of Stars,2016-11-30 08:04:00
Leon Russell,A Song For You,2016-11-30 08:11:00
The Flaming Lips,A Spoonful Weighs A Ton,2016-11-30 08:16:00
Herb Alpert & The Tijuana Brass,A Taste of Honey,2016-11-30 08:21:00
Dion & The Belmonts,A Teenager In Love,2016-11-30 08:24:00
Genesis,A Trick Of The Tail,2016-11-30 08:26:00
The Kinks,A Well Respected Man,2016-11-30 08:31:00
Procol Harum,A Whiter Shade Of Pale,2016-11-30 08:34:00
Nirvana,About A Girl,2016-11-30 08:41:00
Steve Miller Band,Abracadabra,2016-11-30 08:44:00
Bob Dylan,Absolutely Sweet Marie,2016-11-30 08:51:00
Jason & The Scorchers,Absolutely Sweet Marie,2016-11-30 08:56:00
The Band,Acadian Driftwood,2016-11-30 09:00:00
Counting Crows,Accidentally In Love,2016-11-30 09:07:00
Warren Zevon,Accidently Like A Martyr,2016-11-30 09:12:00
Elvis Costello,Accidents Will Happen,2016-11-30 09:15:00
Bobby Womack,Across 110th Street,2016-11-30 09:18:00
The Band,Across The Great Divide,2016-11-30 09:22:00
The Beatles,Across The Universe,2016-11-30 09:26:00
