Artist,Title
Grand Funk Railroad,I'm Your Captain
Prince,1999
Carole King,You've Got A Friend
Santana,Smooth
The Rolling Stones,Shattered
Elvis Costello,Man Out Of Time
Vampire Weekend,A-Punk
The Beatles,Got To Get You Into My Life
M83,Midnight City
Sonic Youth,Teenage Riot
Oasis,Don't Look Back In Anger
Eminem,Lose Yourself
Dave Matthews Band,Crush
The Rolling Stones,Under My Thumb
My Morning Jacket,Wordless Chorus
The Clash,Rudie Can't Fail
Steppenwolf,Born To Be Wild
The Rolling Stones,Tumbling Dice
The Rolling Stones,Happy
U2,Mysterious Ways
Phish,Bouncing Around The Room
Simon & Garfunkel,The Only Living Boy In New York
The Beatles,The End
Pink Floyd,On The Turning Away
The Strokes,Last Nite
Citizen Cope,Sideways
Joni Mitchell,Help Me
Carole King,So Far Away
Pearl Jam,Black
Death Cab For Cutie,I Will Follow You Into The Dark
Hozier,From Eden
Mott The Hoople,All The Young Dudes
Otis Redding,These Arms Of Mine
Billy Joel,Captain Jack
Michael Jackson,Billie Jean
Billy Joel,New York State Of Mind
Smashing Pumpkins,Tonight Tonight
James Taylor,Carolina In My Mind
The Who,Pinball Wizard
Willie Nelson,Crazy
Paul Simon,Late In The Evening
Gnarls Barkley,Crazy
Michael Jackson,Beat It
The Rolling Stones,Ruby Tuesday
New Order,Love Vigilantes
U2,A Sort Of Homecoming
Jimi Hendrix,Fire
The Cure,In Between Days
Bruce Springsteen,Brilliant Disguise
Coldplay,The Scientist
Beck,Lost Cause
Dr. Dog,That Old Black Hole
Joni Mitchell,Free Man In Paris
Heart,Crazy On You
The Beatles,I've Just Seen A Face
Dusty Springfield,Son Of A Preacher Man
Counting Crows,Rain King
My Morning Jacket,Steam Engine
John Mayall,Room To Move
The Kinks,All Day And All Of The Night
