Artist,Title,Air Time,Play,Year,Letter,First Word
Joni Mitchell,A Case Of You,2017-11-29 06:03:00,0,1971,A,A
Leon Russell,A Song For You,2017-11-29 07:37:00,0,1970,A,A
Led Zeppelin,Achilles Last Stand,2017-11-29 08:30:00,0,1976,A,Achilles
The Beatles,Across The Universe,2017-11-29 08:53:00,0,1970,A,Across
Bill Withers,Ain't No Sunshine,2017-11-29 10:29:00,0,1971,A,Ain't
Steely Dan,Aja,2017-11-29 11:29:00,0,1977,A,Aja
Elvis Costello,Alison,2017-11-29 11:57:00,0,1977,A,Alison
The Rolling Stones,All Down The Line,2017-11-29 12:22:00,0,1972,A,All
Mott The Hoople,All The Young Dudes,2017-11-29 13:42:00,0,1972,A,All
Van Morrison,And It Stoned Me,2017-11-29 15:44:00,0,1970,A,And
Jimi Hendrix,Angel,2017-11-29 16:16:00,0,1971,A,Angel
John Prine,Angel From Montgomery,2017-11-29 16:33:00,0,1971,A,Angel
The Rolling Stones,Angie,2017-11-29 16:44:00,0,1973,A,Angie
Jethro Tull,Aqualung,2017-11-29 18:47:00,0,1971,A,Aqualung
Stevie Wonder,As,2017-11-29 19:40:00,0,1976,A,As
Bruce Springsteen,Backstreets,2017-11-29 23:25:00,0,1975,B,Backstreets
Bruce Springsteen,Badlands,2017-11-30 00:24:00,0,1978,B,Badlands
The Who,Bargain,2017-11-30 01:22:00,0,1971,B,Bargain
The Rolling Stones,Beast Of Burden,2017-11-30 02:42:00,0,1978,B,Beast
Patti Smith,Because The Night,2017-11-30 03:18:00,0,1978,B,Because
The Who,Behind Blue Eyes,2017-11-30 03:42:00,0,1971,B,Behind
Joni Mitchell,Big Yellow Taxi,2017-11-30 05:37:00,0,1970,B,Big
Weather Report,Birdland,2017-11-30 06:17:00,0,1977,B,Birdland
Led Zeppelin,Black Dog,2017-11-30 07:49:00,0,1971,B,Black
Joni Mitchell,Blue,2017-11-30 09:49:00,0,1971,B,Blue
Willie Nelson,Blue Eyes Crying In The Rain,2017-11-30 09:57:00,0,1975,B,Blue
Queen,Bohemian Rhapsody,2017-11-30 10:57:00,0,1975,B,Bohemian
Bruce Springsteen,Born To Run,2017-11-30 12:34:00,0,1975,B,Born
